"area_code","year","high.tech.occupations","total.jobs","rate"
"1200002","2014",1060,140230,0.00755901019753263
"1300001","2014",NA,154890,NA
"1300003","2014",460,82440,0.00557981562348375
"1500001","2014",1500,164060,0.00914299646470803
"1600002","2014",NA,18020,NA
"1600004","2014",NA,49690,NA
"1700002","2014",NA,179890,NA
"1700004","2014",NA,142190,NA
"1800002","2014",NA,151160,NA
"1900001","2014",NA,100600,NA
"1900003","2014",450,85540,0.00526069675005845
"2000001","2014",NA,388460,NA
"2100002","2014",NA,169530,NA
"2100004","2014",NA,108190,NA
"2200002","2014",630,79160,0.00795856493178373
"2200004","2014",NA,135340,NA
"2300002","2014",2600,192090,0.0135353219844864
"2400003","2014",2460,43080,0.0571030640668524
"2500004","2014",NA,23450,NA
"2600002","2014",NA,72920,NA
"2600004","2014",3260,295100,0.0110471026770586
"2700002","2014",290,53210,0.00545010336402932
"2700004","2014",1810,173360,0.0104407014305491
"2800002","2014",NA,102850,NA
"2800004","2014",NA,95040,NA
"2900002","2014",510,87150,0.00585197934595525
"2900004","2014",NA,71310,NA
"3000002","2014",210,36970,0.0056802813091696
"3000004","2014",730,69180,0.0105521827117664
"3100002","2014",980,105640,0.00927678909503976
"3100004","2014",180,48160,0.0037375415282392
"3200002","2014",1540,55800,0.0275985663082437
"3300002","2014",NA,99050,NA
"3300004","2014",380,39910,0.00952142320220496
"3500002","2014",1180,132090,0.00893330305095011
"3500004","2014",NA,14800,NA
"3600001","2014",NA,184180,NA
"3600003","2014",NA,125830,NA
"3700001","2014",1620,175290,0.00924182782817046
"3700003","2014",2710,255860,0.010591729852263
"3800001","2014",NA,82670,NA
"3800003","2014",170,41680,0.00407869481765835
"3900001","2014",NA,235670,NA
"3900003","2014",770,113920,0.00675912921348315
"4000001","2014",2180,115150,0.0189318280503691
"4000003","2014",700,68510,0.0102174864983214
"4100001","2014",420,68930,0.00609313796605252
"4100003","2014",550,65970,0.00833712293466727
"4200001","2014",1820,164570,0.0110591237771161
"4200003","2014",NA,142210,NA
"4500001","2014",760,111880,0.00679299249195567
"4500003","2014",240,45490,0.00527588480984832
"4600001","2014",370,32980,0.0112189205579139
"4600003","2014",230,34160,0.00673302107728337
"4700002","2014",NA,133710,NA
"4700004","2014",NA,142860,NA
"4800002","2014",NA,82810,NA
"4800004","2014",910,147230,0.00618080554234871
"4800006","2014",1270,135830,0.00934992269748951
"4900004","2014",490,52810,0.00927854572997538
"5000002","2014",NA,74010,NA
"5100002","2014",370,65220,0.00567310640907697
"5100004","2014",1160,118650,0.00977665402444164
"5300002","2014",440,61260,0.00718250081619327
"5300004","2014",NA,57790,NA
"5400002","2014",1700,142620,0.0119197868461646
"5500002","2014",NA,174590,NA
"5500004","2014",380,65290,0.00582018685863072
"5600001","2014",NA,40720,NA
"5600003","2014",570,49590,0.0114942528735632
"7200001","2014",40,9450,0.00423280423280423
