"","msa.fips","year","nonfarm.personal.income"
"new.row.4395","16860",2008,17951333
"new.row.4396","16860",2009,17435464
"new.row.4397","16860",2010,18274852
"new.row.4398","16860",2011,19148905
"new.row.4399","16860",2012,20009935
"new.row.4400","19140",1969,205907
"new.row.4401","19140",1970,224094
"new.row.4402","19140",1971,259416
"new.row.4403","19140",1972,305453
"new.row.4404","19140",1973,344726
"new.row.4405","19140",1974,366002
"new.row.4406","19140",1975,383045
"new.row.4407","19140",1976,441324
"new.row.4408","19140",1977,500354
"new.row.4409","19140",1978,559623
"new.row.4410","19140",1979,628833
"new.row.4411","19140",1980,681991
"new.row.4412","19140",1981,745535
"new.row.4413","19140",1982,779779
"new.row.4414","19140",1983,888692
"new.row.4415","19140",1984,989430
"new.row.4416","19140",1985,1068469
"new.row.4417","19140",1986,1172567
"new.row.4418","19140",1987,1292373
"new.row.4419","19140",1988,1394208
"new.row.4420","19140",1989,1505750
"new.row.4421","19140",1990,1576432
"new.row.4422","19140",1991,1630755
"new.row.4423","19140",1992,1788922
"new.row.4424","19140",1993,1918958
"new.row.4425","19140",1994,2059214
"new.row.4426","19140",1995,2165823
"new.row.4427","19140",1996,2315875
"new.row.4428","19140",1997,2428614
"new.row.4429","19140",1998,2602952
"new.row.4430","19140",1999,2686127
"new.row.4431","19140",2000,2874357
"new.row.4432","19140",2001,2998845
"new.row.4433","19140",2002,3114372
"new.row.4434","19140",2003,3267293
"new.row.4435","19140",2004,3451862
"new.row.4436","19140",2005,3562758
"new.row.4437","19140",2006,3736421
"new.row.4438","19140",2007,3947604
"new.row.4439","19140",2008,3873009
"new.row.4440","19140",2009,3767385
"new.row.4441","19140",2010,3751836
"new.row.4442","19140",2011,3959141
"new.row.4443","19140",2012,4071969
"new.row.4444","23580",1969,173421
"new.row.4445","23580",1970,191834
"new.row.4446","23580",1971,208438
"new.row.4447","23580",1972,236355
"new.row.4448","23580",1973,262118
"new.row.4449","23580",1974,293474
"new.row.4450","23580",1975,320904
"new.row.4451","23580",1976,362741
"new.row.4452","23580",1977,413525
"new.row.4453","23580",1978,477515
"new.row.4454","23580",1979,547794
"new.row.4455","23580",1980,630396
"new.row.4456","23580",1981,705307
"new.row.4457","23580",1982,754517
"new.row.4458","23580",1983,831500
"new.row.4459","23580",1984,952556
"new.row.4460","23580",1985,1057262
"new.row.4461","23580",1986,1160298
"new.row.4462","23580",1987,1251291
"new.row.4463","23580",1988,1357901
"new.row.4464","23580",1989,1467923
"new.row.4465","23580",1990,1565527
"new.row.4466","23580",1991,1642762
"new.row.4467","23580",1992,1794628
"new.row.4468","23580",1993,1947557
"new.row.4469","23580",1994,2145850
"new.row.4470","23580",1995,2300725
"new.row.4471","23580",1996,2501065
"new.row.4472","23580",1997,2665140
"new.row.4473","23580",1998,2963046
"new.row.4474","23580",1999,3255640
"new.row.4475","23580",2000,3553209
"new.row.4476","23580",2001,3713842
"new.row.4477","23580",2002,3858809
"new.row.4478","23580",2003,4032420
"new.row.4479","23580",2004,4252698
"new.row.4480","23580",2005,4762319
"new.row.4481","23580",2006,5188688
"new.row.4482","23580",2007,5424009
"new.row.4483","23580",2008,5578201
"new.row.4484","23580",2009,5392497
"new.row.4485","23580",2010,5479516
"new.row.4486","23580",2011,5903674
"new.row.4487","23580",2012,6060210
"new.row.4488","25980",1969,59948
"new.row.4489","25980",1970,75094
"new.row.4490","25980",1971,79723
"new.row.4491","25980",1972,87228
"new.row.4492","25980",1973,93832
"new.row.4493","25980",1974,104499
"new.row.4494","25980",1975,123530
"new.row.4495","25980",1976,171443
"new.row.4496","25980",1977,228061
"new.row.4497","25980",1978,265719
"new.row.4498","25980",1979,307064
"new.row.4499","25980",1980,354728
"new.row.4500","25980",1981,396171
"new.row.4501","25980",1982,446868
"new.row.4502","25980",1983,452054
"new.row.4503","25980",1984,485954
"new.row.4504","25980",1985,526708
"new.row.4505","25980",1986,556132
"new.row.4506","25980",1987,590929
"new.row.4507","25980",1988,613615
"new.row.4508","25980",1989,654090
"new.row.4509","25980",1990,657611
"new.row.4510","25980",1991,717657
"new.row.4511","25980",1992,859382
"new.row.4512","25980",1993,902332
"new.row.4513","25980",1994,948639
"new.row.4514","25980",1995,1020447
"new.row.4515","25980",1996,1072597
"new.row.4516","25980",1997,1112429
"new.row.4517","25980",1998,1153414
"new.row.4518","25980",1999,1225759
"new.row.4519","25980",2000,1285620
"new.row.4520","25980",2001,1353993
"new.row.4521","25980",2002,1432262
"new.row.4522","25980",2003,1595889
"new.row.4523","25980",2004,1691816
"new.row.4524","25980",2005,1798273
"new.row.4525","25980",2006,1865524
"new.row.4526","25980",2007,1952171
"new.row.4527","25980",2008,2078768
"new.row.4528","25980",2009,2138679
"new.row.4529","25980",2010,2178892
"new.row.4530","25980",2011,2265290
"new.row.4531","25980",2012,2307938
"new.row.4532","31420",1969,600937
"new.row.4533","31420",1970,657812
"new.row.4534","31420",1971,724508
"new.row.4535","31420",1972,786984
"new.row.4536","31420",1973,844472
"new.row.4537","31420",1974,936434
"new.row.4538","31420",1975,1038128
"new.row.4539","31420",1976,1125374
"new.row.4540","31420",1977,1219268
"new.row.4541","31420",1978,1327218
"new.row.4542","31420",1979,1473004
"new.row.4543","31420",1980,1647644
"new.row.4544","31420",1981,1859749
"new.row.4545","31420",1982,1993433
"new.row.4546","31420",1983,2152108
"new.row.4547","31420",1984,2357777
"new.row.4548","31420",1985,2510597
"new.row.4549","31420",1986,2674914
"new.row.4550","31420",1987,2851221
"new.row.4551","31420",1988,3075699
"new.row.4552","31420",1989,3310339
"new.row.4553","31420",1990,3443993
"new.row.4554","31420",1991,3609563
"new.row.4555","31420",1992,3847774
"new.row.4556","31420",1993,4012586
"new.row.4557","31420",1994,4253970
"new.row.4558","31420",1995,4560370
"new.row.4559","31420",1996,4890460
"new.row.4560","31420",1997,5047572
"new.row.4561","31420",1998,5358225
"new.row.4562","31420",1999,5529338
"new.row.4563","31420",2000,5803446
"new.row.4564","31420",2001,6016526
"new.row.4565","31420",2002,6370449
"new.row.4566","31420",2003,6451687
"new.row.4567","31420",2004,6709373
"new.row.4568","31420",2005,7002433
"new.row.4569","31420",2006,7391322
"new.row.4570","31420",2007,7675152
"new.row.4571","31420",2008,7941052
"new.row.4572","31420",2009,7797226
"new.row.4573","31420",2010,7948267
"new.row.4574","31420",2011,8372652
"new.row.4575","31420",2012,8561502
"new.row.4576","40660",1969,225074
"new.row.4577","40660",1970,247979
"new.row.4578","40660",1971,270250
"new.row.4579","40660",1972,301623
"new.row.4580","40660",1973,339137
"new.row.4581","40660",1974,375801
"new.row.4582","40660",1975,400249
"new.row.4583","40660",1976,443509
"new.row.4584","40660",1977,485796
"new.row.4585","40660",1978,529321
"new.row.4586","40660",1979,585236
"new.row.4587","40660",1980,648726
"new.row.4588","40660",1981,709530
"new.row.4589","40660",1982,737418
"new.row.4590","40660",1983,793832
"new.row.4591","40660",1984,860767
"new.row.4592","40660",1985,918277
"new.row.4593","40660",1986,993671
"new.row.4594","40660",1987,1069812
"new.row.4595","40660",1988,1147720
"new.row.4596","40660",1989,1229585
"new.row.4597","40660",1990,1316006
"new.row.4598","40660",1991,1388093
"new.row.4599","40660",1992,1495506
"new.row.4600","40660",1993,1554098
"new.row.4601","40660",1994,1655362
"new.row.4602","40660",1995,1712882
"new.row.4603","40660",1996,1823521
"new.row.4604","40660",1997,1896142
"new.row.4605","40660",1998,1973975
"new.row.4606","40660",1999,2072851
"new.row.4607","40660",2000,2169079
"new.row.4608","40660",2001,2304095
"new.row.4609","40660",2002,2417409
"new.row.4610","40660",2003,2520062
"new.row.4611","40660",2004,2666241
"new.row.4612","40660",2005,2710565
"new.row.4613","40660",2006,2860884
"new.row.4614","40660",2007,2984788
"new.row.4615","40660",2008,3072878
"new.row.4616","40660",2009,3030202
"new.row.4617","40660",2010,3098467
"new.row.4618","40660",2011,3201749
"new.row.4619","40660",2012,3281742
"new.row.4620","42340",1969,695652
"new.row.4621","42340",1970,741226
"new.row.4622","42340",1971,785436
"new.row.4623","42340",1972,838557
"new.row.4624","42340",1973,914852
"new.row.4625","42340",1974,1011985
"new.row.4626","42340",1975,1184274
"new.row.4627","42340",1976,1345766
"new.row.4628","42340",1977,1502895
"new.row.4629","42340",1978,1698764
"new.row.4630","42340",1979,1853650
"new.row.4631","42340",1980,2094576
"new.row.4632","42340",1981,2394000
"new.row.4633","42340",1982,2591553
"new.row.4634","42340",1983,2770621
"new.row.4635","42340",1984,3026083
"new.row.4636","42340",1985,3265445
"new.row.4637","42340",1986,3530939
"new.row.4638","42340",1987,3755942
"new.row.4639","42340",1988,4019090
"new.row.4640","42340",1989,4363074
"new.row.4641","42340",1990,4625971
"new.row.4642","42340",1991,4830432
"new.row.4643","42340",1992,5263487
"new.row.4644","42340",1993,5479659
"new.row.4645","42340",1994,5834515
"new.row.4646","42340",1995,6175077
"new.row.4647","42340",1996,6555401
"new.row.4648","42340",1997,6790297
"new.row.4649","42340",1998,7362345
"new.row.4650","42340",1999,7654621
"new.row.4651","42340",2000,8092263
"new.row.4652","42340",2001,8441877
"new.row.4653","42340",2002,8718961
"new.row.4654","42340",2003,9243507
"new.row.4655","42340",2004,9904221
"new.row.4656","42340",2005,10605962
"new.row.4657","42340",2006,11603457
"new.row.4658","42340",2007,12486794
"new.row.4659","42340",2008,12994612
"new.row.4660","42340",2009,12868518
"new.row.4661","42340",2010,13275673
"new.row.4662","42340",2011,14335248
"new.row.4663","42340",2012,14716864
"new.row.4664","46660",1969,200758
"new.row.4665","46660",1970,225105
"new.row.4666","46660",1971,249515
"new.row.4667","46660",1972,281184
"new.row.4668","46660",1973,308094
"new.row.4669","46660",1974,340740
"new.row.4670","46660",1975,362662
"new.row.4671","46660",1976,411201
"new.row.4672","46660",1977,455440
"new.row.4673","46660",1978,521448
"new.row.4674","46660",1979,581126
"new.row.4675","46660",1980,632552
"new.row.4676","46660",1981,709267
"new.row.4677","46660",1982,768234
"new.row.4678","46660",1983,833864
"new.row.4679","46660",1984,918047
"new.row.4680","46660",1985,988803
"new.row.4681","46660",1986,1041586
"new.row.4682","46660",1987,1111200
"new.row.4683","46660",1988,1201329
"new.row.4684","46660",1989,1313095
"new.row.4685","46660",1990,1380165
"new.row.4686","46660",1991,1459000
"new.row.4687","46660",1992,1567962
"new.row.4688","46660",1993,1671434
"new.row.4689","46660",1994,1784123
"new.row.4690","46660",1995,1941208
"new.row.4691","46660",1996,2058859
"new.row.4692","46660",1997,2187563
"new.row.4693","46660",1998,2342170
"new.row.4694","46660",1999,2429070
"new.row.4695","46660",2000,2546501
"new.row.4696","46660",2001,2655622
"new.row.4697","46660",2002,2812016
"new.row.4698","46660",2003,2941128
"new.row.4699","46660",2004,3109919
"new.row.4700","46660",2005,3269303
"new.row.4701","46660",2006,3452543
"new.row.4702","46660",2007,3671093
"new.row.4703","46660",2008,3955970
"new.row.4704","46660",2009,4007494
"new.row.4705","46660",2010,4141244
"new.row.4706","46660",2011,4430012
"new.row.4707","46660",2012,4576086
"new.row.4708","47580",1969,303270
"new.row.4709","47580",1970,356541
"new.row.4710","47580",1971,394368
"new.row.4711","47580",1972,422842
"new.row.4712","47580",1973,463746
"new.row.4713","47580",1974,520457
"new.row.4714","47580",1975,571321
"new.row.4715","47580",1976,608591
"new.row.4716","47580",1977,677957
"new.row.4717","47580",1978,745686
"new.row.4718","47580",1979,810987
"new.row.4719","47580",1980,894337
"new.row.4720","47580",1981,1012040
"new.row.4721","47580",1982,1110507
"new.row.4722","47580",1983,1214428
"new.row.4723","47580",1984,1319947
"new.row.4724","47580",1985,1423512
"new.row.4725","47580",1986,1517723
"new.row.4726","47580",1987,1595432
"new.row.4727","47580",1988,1724916
"new.row.4728","47580",1989,1879143
"new.row.4729","47580",1990,2023389
"new.row.4730","47580",1991,2108001
"new.row.4731","47580",1992,2255910
"new.row.4732","47580",1993,2375224
"new.row.4733","47580",1994,2480555
"new.row.4734","47580",1995,2665174
"new.row.4735","47580",1996,2803354
"new.row.4736","47580",1997,2983333
"new.row.4737","47580",1998,3176655
"new.row.4738","47580",1999,3378698
"new.row.4739","47580",2000,3580265
"new.row.4740","47580",2001,3847767
"new.row.4741","47580",2002,4102672
"new.row.4742","47580",2003,4340915
"new.row.4743","47580",2004,4514272
"new.row.4744","47580",2005,4798298
"new.row.4745","47580",2006,5114818
"new.row.4746","47580",2007,5442986
"new.row.4747","47580",2008,5737605
"new.row.4748","47580",2009,5802975
"new.row.4749","47580",2010,6026770
"new.row.4750","47580",2011,6388573
"new.row.4751","47580",2012,6544721
"new.row.4752","27980",1969,140859
"new.row.4753","27980",1970,163348
"new.row.4754","27980",1971,183612
"new.row.4755","27980",1972,204044
"new.row.4756","27980",1973,231634
"new.row.4757","27980",1974,270512
"new.row.4758","27980",1975,326688
"new.row.4759","27980",1976,369843
"new.row.4760","27980",1977,420136
"new.row.4761","27980",1978,484407
"new.row.4762","27980",1979,560557
"new.row.4763","27980",1980,635796
"new.row.4764","27980",1981,716065
"new.row.4765","27980",1982,774696
"new.row.4766","27980",1983,876804
"new.row.4767","27980",1984,970572
"new.row.4768","27980",1985,1067162
"new.row.4769","27980",1986,1159089
"new.row.4770","27980",1987,1261078
"new.row.4771","27980",1988,1436006
"new.row.4772","27980",1989,1690501
"new.row.4773","27980",1990,1886401
"new.row.4774","27980",1991,2010305
"new.row.4775","27980",1992,2209067
"new.row.4776","27980",1993,2387772
"new.row.4777","27980",1994,2478687
"new.row.4778","27980",1995,2552344
"new.row.4779","27980",1996,2583818
"new.row.4780","27980",1997,2672544
"new.row.4781","27980",1998,2785892
"new.row.4782","27980",1999,2977236
"new.row.4783","27980",2000,3188866
"new.row.4784","27980",2001,3346313
"new.row.4785","27980",2002,3526025
"new.row.4786","27980",2003,3705858
"new.row.4787","27980",2004,4066997
"new.row.4788","27980",2005,4397090
"new.row.4789","27980",2006,4811425
"new.row.4790","27980",2007,5121444
"new.row.4791","27980",2008,5341902
"new.row.4792","27980",2009,5145823
"new.row.4793","27980",2010,5283768
"new.row.4794","27980",2011,5648674
"new.row.4795","27980",2012,5903319
"new.row.4796","46520",1969,3105403
"new.row.4797","46520",1970,3605557
"new.row.4798","46520",1971,3899110
"new.row.4799","46520",1972,4301165
"new.row.4800","46520",1973,4763121
"new.row.4801","46520",1974,5240729
"new.row.4802","46520",1975,5795417
"new.row.4803","46520",1976,6238895
"new.row.4804","46520",1977,6717660
"new.row.4805","46520",1978,7463418
"new.row.4806","46520",1979,8335859
"new.row.4807","46520",1980,9340086
"new.row.4808","46520",1981,10234562
"new.row.4809","46520",1982,10774157
"new.row.4810","46520",1983,11764252
"new.row.4811","46520",1984,12692361
"new.row.4812","46520",1985,13497350
"new.row.4813","46520",1986,14248524
"new.row.4814","46520",1987,15174385
"new.row.4815","46520",1988,16563044
"new.row.4816","46520",1989,18351907
"new.row.4817","46520",1990,19923526
"new.row.4818","46520",1991,20988059
"new.row.4819","46520",1992,22608175
"new.row.4820","46520",1993,23309940
"new.row.4821","46520",1994,23763033
"new.row.4822","46520",1995,24203236
"new.row.4823","46520",1996,24128566
"new.row.4824","46520",1997,24944498
"new.row.4825","46520",1998,25143973
"new.row.4826","46520",1999,25717711
"new.row.4827","46520",2000,27062722
"new.row.4828","46520",2001,27889881
"new.row.4829","46520",2002,28988765
"new.row.4830","46520",2003,30413886
"new.row.4831","46520",2004,32783209
"new.row.4832","46520",2005,34940852
"new.row.4833","46520",2006,37433913
"new.row.4834","46520",2007,39617671
"new.row.4835","46520",2008,41464400
"new.row.4836","46520",2009,42295827
"new.row.4837","46520",2010,43177029
"new.row.4838","46520",2011,45584329
"new.row.4839","46520",2012,47315321
"new.row.4840","14260",1969,642547
"new.row.4841","14260",1970,728087
"new.row.4842","14260",1971,823226
"new.row.4843","14260",1972,935185
"new.row.4844","14260",1973,1059418
"new.row.4845","14260",1974,1215729
"new.row.4846","14260",1975,1420423
"new.row.4847","14260",1976,1626192
"new.row.4848","14260",1977,1852109
"new.row.4849","14260",1978,2149536
"new.row.4850","14260",1979,2381964
"new.row.4851","14260",1980,2628096
"new.row.4852","14260",1981,2907956
"new.row.4853","14260",1982,3094300
"new.row.4854","14260",1983,3304446
"new.row.4855","14260",1984,3617718
"new.row.4856","14260",1985,3867737
"new.row.4857","14260",1986,3999018
"new.row.4858","14260",1987,4215839
"new.row.4859","14260",1988,4630518
"new.row.4860","14260",1989,5083793
"new.row.4861","14260",1990,5541390
"new.row.4862","14260",1991,5962317
"new.row.4863","14260",1992,6705909
"new.row.4864","14260",1993,7465109
"new.row.4865","14260",1994,8365909
"new.row.4866","14260",1995,9120557
"new.row.4867","14260",1996,9659913
"new.row.4868","14260",1997,10205893
"new.row.4869","14260",1998,11209598
"new.row.4870","14260",1999,12259269
"new.row.4871","14260",2000,13785795
"new.row.4872","14260",2001,14267626
"new.row.4873","14260",2002,14858030
"new.row.4874","14260",2003,15525285
"new.row.4875","14260",2004,16877083
"new.row.4876","14260",2005,17965065
"new.row.4877","14260",2006,20347404
"new.row.4878","14260",2007,20983651
"new.row.4879","14260",2008,20475733
"new.row.4880","14260",2009,20162767
"new.row.4881","14260",2010,20652174
"new.row.4882","14260",2011,21373755
"new.row.4883","14260",2012,22236526
"new.row.4884","17660",1969,114477
"new.row.4885","17660",1970,124045
"new.row.4886","17660",1971,140691
"new.row.4887","17660",1972,162331
"new.row.4888","17660",1973,189928
"new.row.4889","17660",1974,217451
"new.row.4890","17660",1975,249865
"new.row.4891","17660",1976,290876
"new.row.4892","17660",1977,337611
"new.row.4893","17660",1978,404597
"new.row.4894","17660",1979,466998
"new.row.4895","17660",1980,518902
"new.row.4896","17660",1981,568615
"new.row.4897","17660",1982,588218
"new.row.4898","17660",1983,656843
"new.row.4899","17660",1984,728155
"new.row.4900","17660",1985,767702
"new.row.4901","17660",1986,803116
"new.row.4902","17660",1987,838675
"new.row.4903","17660",1988,920408
"new.row.4904","17660",1989,1027807
"new.row.4905","17660",1990,1129259
"new.row.4906","17660",1991,1229075
"new.row.4907","17660",1992,1398985
"new.row.4908","17660",1993,1553610
"new.row.4909","17660",1994,1716947
"new.row.4910","17660",1995,1848686
"new.row.4911","17660",1996,1992997
"new.row.4912","17660",1997,2121485
"new.row.4913","17660",1998,2316355
"new.row.4914","17660",1999,2454795
"new.row.4915","17660",2000,2654070
"new.row.4916","17660",2001,2809433
"new.row.4917","17660",2002,2856575
"new.row.4918","17660",2003,3030356
"new.row.4919","17660",2004,3356344
"new.row.4920","17660",2005,3710060
"new.row.4921","17660",2006,4061361
"new.row.4922","17660",2007,4342855
"new.row.4923","17660",2008,4460309
"new.row.4924","17660",2009,4372349
"new.row.4925","17660",2010,4486430
"new.row.4926","17660",2011,4742174
"new.row.4927","17660",2012,4931728
"new.row.4928","26820",1969,201878
"new.row.4929","26820",1970,222265
"new.row.4930","26820",1971,243493
"new.row.4931","26820",1972,274629
"new.row.4932","26820",1973,304686
"new.row.4933","26820",1974,348904
"new.row.4934","26820",1975,403850
"new.row.4935","26820",1976,467094
"new.row.4936","26820",1977,526201
"new.row.4937","26820",1978,588864
"new.row.4938","26820",1979,645066
"new.row.4939","26820",1980,712019
"new.row.4940","26820",1981,774997
"new.row.4941","26820",1982,813874
"new.row.4942","26820",1983,867261
"new.row.4943","26820",1984,957226
"new.row.4944","26820",1985,1042677
"new.row.4945","26820",1986,1089270
"new.row.4946","26820",1987,1143349
"new.row.4947","26820",1988,1226497
"new.row.4948","26820",1989,1332564
"new.row.4949","26820",1990,1431049
"new.row.4950","26820",1991,1517207
"new.row.4951","26820",1992,1639707
"new.row.4952","26820",1993,1728394
"new.row.4953","26820",1994,1816731
"new.row.4954","26820",1995,1883772
"new.row.4955","26820",1996,1934502
"new.row.4956","26820",1997,2035368
"new.row.4957","26820",1998,2158539
"new.row.4958","26820",1999,2280040
"new.row.4959","26820",2000,2435059
"new.row.4960","26820",2001,2611891
"new.row.4961","26820",2002,2707310
"new.row.4962","26820",2003,2913721
"new.row.4963","26820",2004,3131179
"new.row.4964","26820",2005,3431815
"new.row.4965","26820",2006,3736413
"new.row.4966","26820",2007,3988467
"new.row.4967","26820",2008,4185989
"new.row.4968","26820",2009,4163109
"new.row.4969","26820",2010,4243000
"new.row.4970","26820",2011,4442373
"new.row.4971","26820",2012,4558697
"new.row.4972","30300",1969,145524
"new.row.4973","30300",1970,156272
"new.row.4974","30300",1971,171688
"new.row.4975","30300",1972,189678
"new.row.4976","30300",1973,210690
"new.row.4977","30300",1974,237163
"new.row.4978","30300",1975,272167
"new.row.4979","30300",1976,301037
"new.row.4980","30300",1977,331154
"new.row.4981","30300",1978,373564
"new.row.4982","30300",1979,416693
"new.row.4983","30300",1980,461247
"new.row.4984","30300",1981,498759
"new.row.4985","30300",1982,520598
"new.row.4986","30300",1983,562140
"new.row.4987","30300",1984,600244
"new.row.4988","30300",1985,620725
"new.row.4989","30300",1986,638570
"new.row.4990","30300",1987,663380
"new.row.4991","30300",1988,707047
"new.row.4992","30300",1989,767618
"new.row.4993","30300",1990,823786
"new.row.4994","30300",1991,883058
"new.row.4995","30300",1992,967246
"new.row.4996","30300",1993,1035641
"new.row.4997","30300",1994,1102391
"new.row.4998","30300",1995,1144790
"new.row.4999","30300",1996,1213796
"new.row.5000","30300",1997,1288660
"new.row.5001","30300",1998,1366793
"new.row.5002","30300",1999,1425732
"new.row.5003","30300",2000,1481293
"new.row.5004","30300",2001,1535460
"new.row.5005","30300",2002,1555569
"new.row.5006","30300",2003,1614184
"new.row.5007","30300",2004,1685188
"new.row.5008","30300",2005,1734198
"new.row.5009","30300",2006,1850659
"new.row.5010","30300",2007,1981311
"new.row.5011","30300",2008,2069626
"new.row.5012","30300",2009,2050105
"new.row.5013","30300",2010,2098281
"new.row.5014","30300",2011,2169324
"new.row.5015","30300",2012,2232554
"new.row.5016","30860",1969,114048
"new.row.5017","30860",1970,126798
"new.row.5018","30860",1971,142538
"new.row.5019","30860",1972,160914
"new.row.5020","30860",1973,178935
"new.row.5021","30860",1974,201742
"new.row.5022","30860",1975,231912
"new.row.5023","30860",1976,267972
"new.row.5024","30860",1977,300276
"new.row.5025","30860",1978,343784
"new.row.5026","30860",1979,395298
"new.row.5027","30860",1980,448284
"new.row.5028","30860",1981,501666
"new.row.5029","30860",1982,536534
"new.row.5030","30860",1983,588929
"new.row.5031","30860",1984,642894
"new.row.5032","30860",1985,689561
"new.row.5033","30860",1986,743766
"new.row.5034","30860",1987,798810
"new.row.5035","30860",1988,846529
"new.row.5036","30860",1989,929957
"new.row.5037","30860",1990,990143
"new.row.5038","30860",1991,1061990
"new.row.5039","30860",1992,1150823
"new.row.5040","30860",1993,1250763
"new.row.5041","30860",1994,1343895
"new.row.5042","30860",1995,1444594
"new.row.5043","30860",1996,1548745
"new.row.5044","30860",1997,1678449
"new.row.5045","30860",1998,1789208
"new.row.5046","30860",1999,1865169
"new.row.5047","30860",2000,1972318
"new.row.5048","30860",2001,2065894
"new.row.5049","30860",2002,2164455
"new.row.5050","30860",2003,2299204
"new.row.5051","30860",2004,2503027
"new.row.5052","30860",2005,2643156
"new.row.5053","30860",2006,2830600
"new.row.5054","30860",2007,3070726
"new.row.5055","30860",2008,3309834
"new.row.5056","30860",2009,3278048
"new.row.5057","30860",2010,3390809
"new.row.5058","30860",2011,3599824
"new.row.5059","30860",2012,3687883
"new.row.5060","38540",1969,157779
"new.row.5061","38540",1970,174921
"new.row.5062","38540",1971,191866
"new.row.5063","38540",1972,214193
"new.row.5064","38540",1973,241726
"new.row.5065","38540",1974,278254
"new.row.5066","38540",1975,323176
"new.row.5067","38540",1976,379774
"new.row.5068","38540",1977,419956
"new.row.5069","38540",1978,474389
"new.row.5070","38540",1979,526143
"new.row.5071","38540",1980,567389
"new.row.5072","38540",1981,613919
"new.row.5073","38540",1982,650916
"new.row.5074","38540",1983,689152
"new.row.5075","38540",1984,728633
"new.row.5076","38540",1985,782480
"new.row.5077","38540",1986,777830
"new.row.5078","38540",1987,797858
"new.row.5079","38540",1988,832678
"new.row.5080","38540",1989,891523
"new.row.5081","38540",1990,939792
"new.row.5082","38540",1991,1005635
"new.row.5083","38540",1992,1089682
"new.row.5084","38540",1993,1174604
"new.row.5085","38540",1994,1239231
"new.row.5086","38540",1995,1301631
"new.row.5087","38540",1996,1371783
"new.row.5088","38540",1997,1437459
"new.row.5089","38540",1998,1520509
"new.row.5090","38540",1999,1568093
"new.row.5091","38540",2000,1640187
"new.row.5092","38540",2001,1734007
"new.row.5093","38540",2002,1804411
"new.row.5094","38540",2003,1883454
"new.row.5095","38540",2004,2004387
"new.row.5096","38540",2005,2097071
"new.row.5097","38540",2006,2236583
"new.row.5098","38540",2007,2342739
"new.row.5099","38540",2008,2357565
"new.row.5100","38540",2009,2328828
"new.row.5101","38540",2010,2365128
"new.row.5102","38540",2011,2446000
"new.row.5103","38540",2012,2490655
"new.row.5104","14010",1969,421387
"new.row.5105","14010",1970,462164
"new.row.5106","14010",1971,508776
"new.row.5107","14010",1972,565088
"new.row.5108","14010",1973,632339
"new.row.5109","14010",1974,705463
"new.row.5110","14010",1975,804734
"new.row.5111","14010",1976,888894
"new.row.5112","14010",1977,990032
"new.row.5113","14010",1978,1097785
"new.row.5114","14010",1979,1222118
"new.row.5115","14010",1980,1356116
"new.row.5116","14010",1981,1512929
"new.row.5117","14010",1982,1642436
"new.row.5118","14010",1983,1743330
"new.row.5119","14010",1984,1881390
"new.row.5120","14010",1985,1954011
"new.row.5121","14010",1986,1988101
"new.row.5122","14010",1987,2083451
"new.row.5123","14010",1988,2248121
"new.row.5124","14010",1989,2491280
"new.row.5125","14010",1990,2674285
"new.row.5126","14010",1991,2791360
"new.row.5127","14010",1992,3049056
"new.row.5128","14010",1993,3180437
"new.row.5129","14010",1994,3414739
"new.row.5130","14010",1995,3670977
"new.row.5131","14010",1996,3858900
"new.row.5132","14010",1997,4086065
"new.row.5133","14010",1998,4395744
"new.row.5134","14010",1999,4714878
"new.row.5135","14010",2000,4973663
"new.row.5136","14010",2001,5226738
"new.row.5137","14010",2002,5391101
"new.row.5138","14010",2003,5609781
"new.row.5139","14010",2004,5822004
"new.row.5140","14010",2005,5972578
"new.row.5141","14010",2006,6468402
"new.row.5142","14010",2007,6734127
"new.row.5143","14010",2008,7078237
"new.row.5144","14010",2009,7121188
"new.row.5145","14010",2010,7330016
"new.row.5146","14010",2011,7676579
"new.row.5147","14010",2012,8001221
"new.row.5148","16020",1969,190142
"new.row.5149","16020",1970,212363
"new.row.5150","16020",1971,233695
"new.row.5151","16020",1972,251445
"new.row.5152","16020",1973,277370
"new.row.5153","16020",1974,319590
"new.row.5154","16020",1975,361548
"new.row.5155","16020",1976,406376
"new.row.5156","16020",1977,447806
"new.row.5157","16020",1978,505498
"new.row.5158","16020",1979,563950
"new.row.5159","16020",1980,628819
"new.row.5160","16020",1981,702618
"new.row.5161","16020",1982,743033
"new.row.5162","16020",1983,802656
"new.row.5163","16020",1984,877255
"new.row.5164","16020",1985,930632
"new.row.5165","16020",1986,993496
"new.row.5166","16020",1987,1053008
"new.row.5167","16020",1988,1108130
"new.row.5168","16020",1989,1186455
"new.row.5169","16020",1990,1226043
"new.row.5170","16020",1991,1295700
"new.row.5171","16020",1992,1390741
"new.row.5172","16020",1993,1471773
"new.row.5173","16020",1994,1556972
"new.row.5174","16020",1995,1660888
"new.row.5175","16020",1996,1730021
"new.row.5176","16020",1997,1829265
"new.row.5177","16020",1998,1937921
"new.row.5178","16020",1999,2048172
"new.row.5179","16020",2000,2185284
"new.row.5180","16020",2001,2241078
"new.row.5181","16020",2002,2362954
"new.row.5182","16020",2003,2449260
"new.row.5183","16020",2004,2549350
"new.row.5184","16020",2005,2633138
"new.row.5185","16020",2006,2784794
