"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row.1558","31080",1987,147788772
"new.row.1559","31080",1988,159497009
"new.row.1560","31080",1989,167029930
"new.row.1561","31080",1990,177146851
"new.row.1562","31080",1991,179138017
"new.row.1563","31080",1992,186723687
"new.row.1564","31080",1993,187413816
"new.row.1565","31080",1994,191296657
"new.row.1566","31080",1995,197811807
"new.row.1567","31080",1996,209162649
"new.row.1568","31080",1997,222099736
"new.row.1569","31080",1998,243627839
"new.row.1570","31080",1999,259825047
"new.row.1571","31080",2000,278132402
"new.row.1572","31080",2001,293799001
"new.row.1573","31080",2002,302084233
"new.row.1574","31080",2003,313322924
"new.row.1575","31080",2004,330659574
"new.row.1576","31080",2005,342442491
"new.row.1577","31080",2006,362544757
"new.row.1578","31080",2007,370462382
"new.row.1579","31080",2008,374821515
"new.row.1580","31080",2009,353566379
"new.row.1581","31080",2010,358631031
"new.row.1582","31080",2011,379665572
"new.row.1583","31080",2012,395231380
"new.row.1584","31460",1969,99618
"new.row.1585","31460",1970,108403
"new.row.1586","31460",1971,119024
"new.row.1587","31460",1972,145053
"new.row.1588","31460",1973,184520
"new.row.1589","31460",1974,209596
"new.row.1590","31460",1975,209111
"new.row.1591","31460",1976,246115
"new.row.1592","31460",1977,286790
"new.row.1593","31460",1978,307996
"new.row.1594","31460",1979,440439
"new.row.1595","31460",1980,480709
"new.row.1596","31460",1981,425780
"new.row.1597","31460",1982,427565
"new.row.1598","31460",1983,418971
"new.row.1599","31460",1984,481327
"new.row.1600","31460",1985,506933
"new.row.1601","31460",1986,576670
"new.row.1602","31460",1987,687167
"new.row.1603","31460",1988,728701
"new.row.1604","31460",1989,765439
"new.row.1605","31460",1990,836393
"new.row.1606","31460",1991,887174
"new.row.1607","31460",1992,1019464
"new.row.1608","31460",1993,1043035
"new.row.1609","31460",1994,1057130
"new.row.1610","31460",1995,1041442
"new.row.1611","31460",1996,1151749
"new.row.1612","31460",1997,1272205
"new.row.1613","31460",1998,1322541
"new.row.1614","31460",1999,1421447
"new.row.1615","31460",2000,1493235
"new.row.1616","31460",2001,1581812
"new.row.1617","31460",2002,1739667
"new.row.1618","31460",2003,1840524
"new.row.1619","31460",2004,2163453
"new.row.1620","31460",2005,2250155
"new.row.1621","31460",2006,2322871
"new.row.1622","31460",2007,2504626
"new.row.1623","31460",2008,2469233
"new.row.1624","31460",2009,2249136
"new.row.1625","31460",2010,2506005
"new.row.1626","31460",2011,2816015
"new.row.1627","31460",2012,2959296
"new.row.1628","32900",1969,292924
"new.row.1629","32900",1970,317254
"new.row.1630","32900",1971,331205
"new.row.1631","32900",1972,377080
"new.row.1632","32900",1973,450912
"new.row.1633","32900",1974,496678
"new.row.1634","32900",1975,564031
"new.row.1635","32900",1976,635909
"new.row.1636","32900",1977,695386
"new.row.1637","32900",1978,708492
"new.row.1638","32900",1979,821828
"new.row.1639","32900",1980,917136
"new.row.1640","32900",1981,870004
"new.row.1641","32900",1982,916092
"new.row.1642","32900",1983,931796
"new.row.1643","32900",1984,1118714
"new.row.1644","32900",1985,1205875
"new.row.1645","32900",1986,1311746
"new.row.1646","32900",1987,1506023
"new.row.1647","32900",1988,1580783
"new.row.1648","32900",1989,1693186
"new.row.1649","32900",1990,1805770
"new.row.1650","32900",1991,1862828
"new.row.1651","32900",1992,1961763
"new.row.1652","32900",1993,2020637
"new.row.1653","32900",1994,2075939
"new.row.1654","32900",1995,1935245
"new.row.1655","32900",1996,2193225
"new.row.1656","32900",1997,2303654
"new.row.1657","32900",1998,2452728
"new.row.1658","32900",1999,2593894
"new.row.1659","32900",2000,2755951
"new.row.1660","32900",2001,2951341
"new.row.1661","32900",2002,3137909
"new.row.1662","32900",2003,3433704
"new.row.1663","32900",2004,3862105
"new.row.1664","32900",2005,3917601
"new.row.1665","32900",2006,3975242
"new.row.1666","32900",2007,4519069
"new.row.1667","32900",2008,4260428
"new.row.1668","32900",2009,4039841
"new.row.1669","32900",2010,4172776
"new.row.1670","32900",2011,4740596
"new.row.1671","32900",2012,4844533
"new.row.1672","33700",1969,520615
"new.row.1673","33700",1970,561880
"new.row.1674","33700",1971,603717
"new.row.1675","33700",1972,690640
"new.row.1676","33700",1973,794968
"new.row.1677","33700",1974,894556
"new.row.1678","33700",1975,950573
"new.row.1679","33700",1976,1062089
"new.row.1680","33700",1977,1259280
"new.row.1681","33700",1978,1408292
"new.row.1682","33700",1979,1597019
"new.row.1683","33700",1980,1730306
"new.row.1684","33700",1981,1825729
"new.row.1685","33700",1982,1935059
"new.row.1686","33700",1983,2032690
"new.row.1687","33700",1984,2306491
"new.row.1688","33700",1985,2567158
"new.row.1689","33700",1986,2793210
"new.row.1690","33700",1987,3166752
"new.row.1691","33700",1988,3463057
"new.row.1692","33700",1989,3776159
"new.row.1693","33700",1990,4159988
"new.row.1694","33700",1991,4349157
"new.row.1695","33700",1992,4560159
"new.row.1696","33700",1993,4735269
"new.row.1697","33700",1994,4866407
"new.row.1698","33700",1995,4940048
"new.row.1699","33700",1996,5338891
"new.row.1700","33700",1997,5855127
"new.row.1701","33700",1998,6455800
"new.row.1702","33700",1999,6826015
"new.row.1703","33700",2000,7566750
"new.row.1704","33700",2001,7830487
"new.row.1705","33700",2002,8300262
"new.row.1706","33700",2003,8733645
"new.row.1707","33700",2004,9469593
"new.row.1708","33700",2005,9864239
"new.row.1709","33700",2006,10181424
"new.row.1710","33700",2007,10483934
"new.row.1711","33700",2008,10231258
"new.row.1712","33700",2009,9836883
"new.row.1713","33700",2010,10008296
"new.row.1714","33700",2011,10696504
"new.row.1715","33700",2012,11140615
"new.row.1716","34900",1969,251546
"new.row.1717","34900",1970,262039
"new.row.1718","34900",1971,283079
"new.row.1719","34900",1972,302704
"new.row.1720","34900",1973,343153
"new.row.1721","34900",1974,386210
"new.row.1722","34900",1975,449284
"new.row.1723","34900",1976,496062
"new.row.1724","34900",1977,549164
"new.row.1725","34900",1978,629268
"new.row.1726","34900",1979,695799
"new.row.1727","34900",1980,744765
"new.row.1728","34900",1981,822261
"new.row.1729","34900",1982,877154
"new.row.1730","34900",1983,916852
"new.row.1731","34900",1984,1009882
"new.row.1732","34900",1985,1090323
"new.row.1733","34900",1986,1191547
"new.row.1734","34900",1987,1260944
"new.row.1735","34900",1988,1385817
"new.row.1736","34900",1989,1492671
"new.row.1737","34900",1990,1621684
"new.row.1738","34900",1991,1722719
"new.row.1739","34900",1992,1790848
"new.row.1740","34900",1993,1837599
"new.row.1741","34900",1994,1934980
"new.row.1742","34900",1995,2005201
"new.row.1743","34900",1996,2145362
"new.row.1744","34900",1997,2319282
"new.row.1745","34900",1998,2515022
"new.row.1746","34900",1999,2838065
"new.row.1747","34900",2000,3161241
"new.row.1748","34900",2001,3282038
"new.row.1749","34900",2002,3410956
"new.row.1750","34900",2003,3527243
"new.row.1751","34900",2004,3740195
"new.row.1752","34900",2005,3989417
"new.row.1753","34900",2006,4146309
"new.row.1754","34900",2007,4339222
"new.row.1755","34900",2008,4370967
"new.row.1756","34900",2009,4215052
"new.row.1757","34900",2010,4223191
"new.row.1758","34900",2011,4462641
"new.row.1759","34900",2012,4872745
"new.row.1760","37100",1969,1219939
"new.row.1761","37100",1970,1275289
"new.row.1762","37100",1971,1391986
"new.row.1763","37100",1972,1581059
"new.row.1764","37100",1973,1791178
"new.row.1765","37100",1974,2014025
"new.row.1766","37100",1975,2256355
"new.row.1767","37100",1976,2504793
"new.row.1768","37100",1977,2921554
"new.row.1769","37100",1978,3470825
"new.row.1770","37100",1979,3934135
"new.row.1771","37100",1980,4495899
"new.row.1772","37100",1981,4969731
"new.row.1773","37100",1982,5366654
"new.row.1774","37100",1983,5800568
"new.row.1775","37100",1984,6477610
"new.row.1776","37100",1985,7079509
"new.row.1777","37100",1986,7840763
"new.row.1778","37100",1987,8714873
"new.row.1779","37100",1988,9609365
"new.row.1780","37100",1989,10181621
"new.row.1781","37100",1990,11068339
"new.row.1782","37100",1991,11535271
"new.row.1783","37100",1992,11922614
"new.row.1784","37100",1993,12461217
"new.row.1785","37100",1994,12904742
"new.row.1786","37100",1995,13531422
"new.row.1787","37100",1996,14012008
"new.row.1788","37100",1997,15128700
"new.row.1789","37100",1998,15849451
"new.row.1790","37100",1999,17128738
"new.row.1791","37100",2000,18854489
"new.row.1792","37100",2001,19502165
"new.row.1793","37100",2002,20136528
"new.row.1794","37100",2003,21317181
"new.row.1795","37100",2004,23085491
"new.row.1796","37100",2005,24187276
"new.row.1797","37100",2006,25356019
"new.row.1798","37100",2007,26071773
"new.row.1799","37100",2008,25590034
"new.row.1800","37100",2009,24542855
"new.row.1801","37100",2010,25037193
"new.row.1802","37100",2011,26369226
"new.row.1803","37100",2012,27315327
"new.row.1804","39820",1969,212930
"new.row.1805","39820",1970,223572
"new.row.1806","39820",1971,244867
"new.row.1807","39820",1972,268935
"new.row.1808","39820",1973,305072
"new.row.1809","39820",1974,337132
"new.row.1810","39820",1975,373321
"new.row.1811","39820",1976,437745
"new.row.1812","39820",1977,492339
"new.row.1813","39820",1978,579069
"new.row.1814","39820",1979,650130
"new.row.1815","39820",1980,687247
"new.row.1816","39820",1981,700192
"new.row.1817","39820",1982,730836
"new.row.1818","39820",1983,790606
"new.row.1819","39820",1984,878043
"new.row.1820","39820",1985,924440
"new.row.1821","39820",1986,1003214
"new.row.1822","39820",1987,1130196
"new.row.1823","39820",1988,1261753
"new.row.1824","39820",1989,1381466
"new.row.1825","39820",1990,1515078
"new.row.1826","39820",1991,1617967
"new.row.1827","39820",1992,1716123
"new.row.1828","39820",1993,1775890
"new.row.1829","39820",1994,1884301
"new.row.1830","39820",1995,1936634
"new.row.1831","39820",1996,2008050
"new.row.1832","39820",1997,2136135
"new.row.1833","39820",1998,2237845
"new.row.1834","39820",1999,2372544
"new.row.1835","39820",2000,2524779
"new.row.1836","39820",2001,2667072
"new.row.1837","39820",2002,2886956
"new.row.1838","39820",2003,3032086
"new.row.1839","39820",2004,3173552
"new.row.1840","39820",2005,3300971
"new.row.1841","39820",2006,3455712
"new.row.1842","39820",2007,3515528
"new.row.1843","39820",2008,3367571
"new.row.1844","39820",2009,3163012
"new.row.1845","39820",2010,3146703
"new.row.1846","39820",2011,3286142
"new.row.1847","39820",2012,3355051
"new.row.1848","40140",1969,3192255
"new.row.1849","40140",1970,3497396
"new.row.1850","40140",1971,3770027
"new.row.1851","40140",1972,4260081
"new.row.1852","40140",1973,4721233
"new.row.1853","40140",1974,5198758
"new.row.1854","40140",1975,5770933
"new.row.1855","40140",1976,6560785
"new.row.1856","40140",1977,7436835
"new.row.1857","40140",1978,8670007
"new.row.1858","40140",1979,9784504
"new.row.1859","40140",1980,11006190
"new.row.1860","40140",1981,12268091
"new.row.1861","40140",1982,13043200
"new.row.1862","40140",1983,14401362
"new.row.1863","40140",1984,16449667
"new.row.1864","40140",1985,18618137
"new.row.1865","40140",1986,20936140
"new.row.1866","40140",1987,23711107
"new.row.1867","40140",1988,26543980
"new.row.1868","40140",1989,29298087
"new.row.1869","40140",1990,32815291
"new.row.1870","40140",1991,33613213
"new.row.1871","40140",1992,34897666
"new.row.1872","40140",1993,35450968
"new.row.1873","40140",1994,36433312
"new.row.1874","40140",1995,37518731
"new.row.1875","40140",1996,39077703
"new.row.1876","40140",1997,41936020
"new.row.1877","40140",1998,46186701
"new.row.1878","40140",1999,49525081
"new.row.1879","40140",2000,53624684
"new.row.1880","40140",2001,57708315
"new.row.1881","40140",2002,61220243
"new.row.1882","40140",2003,65735772
"new.row.1883","40140",2004,71890693
"new.row.1884","40140",2005,76946550
"new.row.1885","40140",2006,82296444
"new.row.1886","40140",2007,84736127
"new.row.1887","40140",2008,83578905
"new.row.1888","40140",2009,79031794
"new.row.1889","40140",2010,79930249
"new.row.1890","40140",2011,85285132
"new.row.1891","40140",2012,88246895
"new.row.1892","40900",1969,2754862
"new.row.1893","40900",1970,3000991
"new.row.1894","40900",1971,3277982
"new.row.1895","40900",1972,3631731
"new.row.1896","40900",1973,3978351
"new.row.1897","40900",1974,4416032
"new.row.1898","40900",1975,4861495
"new.row.1899","40900",1976,5373061
"new.row.1900","40900",1977,6034363
"new.row.1901","40900",1978,6910969
"new.row.1902","40900",1979,7782039
"new.row.1903","40900",1980,8463893
"new.row.1904","40900",1981,8978768
"new.row.1905","40900",1982,9474819
"new.row.1906","40900",1983,10189525
"new.row.1907","40900",1984,11574426
"new.row.1908","40900",1985,12941534
"new.row.1909","40900",1986,14293926
"new.row.1910","40900",1987,15777926
"new.row.1911","40900",1988,17258293
"new.row.1912","40900",1989,18905435
"new.row.1913","40900",1990,20964732
"new.row.1914","40900",1991,22174289
"new.row.1915","40900",1992,23389470
"new.row.1916","40900",1993,23920915
"new.row.1917","40900",1994,25449768
"new.row.1918","40900",1995,27006719
"new.row.1919","40900",1996,28307661
"new.row.1920","40900",1997,30393405
"new.row.1921","40900",1998,33213492
"new.row.1922","40900",1999,36261500
"new.row.1923","40900",2000,40231428
"new.row.1924","40900",2001,42992134
"new.row.1925","40900",2002,45460124
"new.row.1926","40900",2003,48256590
"new.row.1927","40900",2004,51473621
"new.row.1928","40900",2005,54380018
"new.row.1929","40900",2006,57173568
"new.row.1930","40900",2007,58917020
"new.row.1931","40900",2008,59390862
"new.row.1932","40900",2009,57194100
"new.row.1933","40900",2010,57347654
"new.row.1934","40900",2011,60518963
"new.row.1935","40900",2012,63076588
"new.row.1936","41500",1969,914495
"new.row.1937","41500",1970,957021
"new.row.1938","41500",1971,1084921
"new.row.1939","41500",1972,1165428
"new.row.1940","41500",1973,1301706
"new.row.1941","41500",1974,1440852
"new.row.1942","41500",1975,1501359
"new.row.1943","41500",1976,1558817
"new.row.1944","41500",1977,1722216
"new.row.1945","41500",1978,1989490
"new.row.1946","41500",1979,2099738
"new.row.1947","41500",1980,2296818
"new.row.1948","41500",1981,2573835
"new.row.1949","41500",1982,2728252
"new.row.1950","41500",1983,3094657
"new.row.1951","41500",1984,3268625
"new.row.1952","41500",1985,3453460
"new.row.1953","41500",1986,3791854
"new.row.1954","41500",1987,4123633
"new.row.1955","41500",1988,4318550
"new.row.1956","41500",1989,4439833
"new.row.1957","41500",1990,4759002
"new.row.1958","41500",1991,4840531
"new.row.1959","41500",1992,5325960
"new.row.1960","41500",1993,5397230
"new.row.1961","41500",1994,5369227
"new.row.1962","41500",1995,5713356
"new.row.1963","41500",1996,5870025
"new.row.1964","41500",1997,6463980
"new.row.1965","41500",1998,7089182
"new.row.1966","41500",1999,7730913
"new.row.1967","41500",2000,8679603
"new.row.1968","41500",2001,8718289
"new.row.1969","41500",2002,9163198
"new.row.1970","41500",2003,9682754
"new.row.1971","41500",2004,9768774
"new.row.1972","41500",2005,10164982
"new.row.1973","41500",2006,10701201
"new.row.1974","41500",2007,10851841
"new.row.1975","41500",2008,10631379
"new.row.1976","41500",2009,10721409
"new.row.1977","41500",2010,10598158
"new.row.1978","41500",2011,10881895
"new.row.1979","41500",2012,11246367
"new.row.1980","41740",1969,4591310
"new.row.1981","41740",1970,4911780
"new.row.1982","41740",1971,5227531
"new.row.1983","41740",1972,5815359
"new.row.1984","41740",1973,6343960
"new.row.1985","41740",1974,6931526
"new.row.1986","41740",1975,7612944
"new.row.1987","41740",1976,8539221
"new.row.1988","41740",1977,9560442
"new.row.1989","41740",1978,11000308
"new.row.1990","41740",1979,12443286
"new.row.1991","41740",1980,14110151
"new.row.1992","41740",1981,15637492
"new.row.1993","41740",1982,16753279
"new.row.1994","41740",1983,18023587
"new.row.1995","41740",1984,20392337
"new.row.1996","41740",1985,22612895
"new.row.1997","41740",1986,24922946
"new.row.1998","41740",1987,27366859
"new.row.1999","41740",1988,30263899
"new.row.2000","41740",1989,32298623
"new.row.2001","41740",1990,34298585
"new.row.2002","41740",1991,35922452
"new.row.2003","41740",1992,37542825
"new.row.2004","41740",1993,38033375
"new.row.2005","41740",1994,39112231
"new.row.2006","41740",1995,40540806
"new.row.2007","41740",1996,43622831
"new.row.2008","41740",1997,47214193
"new.row.2009","41740",1998,53318992
"new.row.2010","41740",1999,59248966
"new.row.2011","41740",2000,65712246
"new.row.2012","41740",2001,68722340
"new.row.2013","41740",2002,72290190
"new.row.2014","41740",2003,76096480
"new.row.2015","41740",2004,81142496
"new.row.2016","41740",2005,84434062
"new.row.2017","41740",2006,88859864
"new.row.2018","41740",2007,91069232
"new.row.2019","41740",2008,93045158
"new.row.2020","41740",2009,89674650
"new.row.2021","41740",2010,91712837
"new.row.2022","41740",2011,97591850
"new.row.2023","41740",2012,102198292
"new.row.2024","41860",1969,12252214
"new.row.2025","41860",1970,13040067
"new.row.2026","41860",1971,13744347
"new.row.2027","41860",1972,14952703
"new.row.2028","41860",1973,15878143
"new.row.2029","41860",1974,17233052
"new.row.2030","41860",1975,18880113
"new.row.2031","41860",1976,20790470
"new.row.2032","41860",1977,22846602
"new.row.2033","41860",1978,25711013
"new.row.2034","41860",1979,28611711
"new.row.2035","41860",1980,31776907
"new.row.2036","41860",1981,34621933
"new.row.2037","41860",1982,36769024
"new.row.2038","41860",1983,40092487
"new.row.2039","41860",1984,44141670
"new.row.2040","41860",1985,47551815
"new.row.2041","41860",1986,51231361
"new.row.2042","41860",1987,54944229
"new.row.2043","41860",1988,60299954
"new.row.2044","41860",1989,63146969
"new.row.2045","41860",1990,66975712
"new.row.2046","41860",1991,70569423
"new.row.2047","41860",1992,75002205
"new.row.2048","41860",1993,77636128
"new.row.2049","41860",1994,80443873
"new.row.2050","41860",1995,85678974
"new.row.2051","41860",1996,93422137
"new.row.2052","41860",1997,101031741
"new.row.2053","41860",1998,113069777
"new.row.2054","41860",1999,127061315
"new.row.2055","41860",2000,149267514
"new.row.2056","41860",2001,149695311
"new.row.2057","41860",2002,144271694
"new.row.2058","41860",2003,145298015
"new.row.2059","41860",2004,152178750
"new.row.2060","41860",2005,158778036
"new.row.2061","41860",2006,167847981
"new.row.2062","41860",2007,176093210
"new.row.2063","41860",2008,177311042
"new.row.2064","41860",2009,169248991
"new.row.2065","41860",2010,175021941
"new.row.2066","41860",2011,189619941
"new.row.2067","41860",2012,204781022
"new.row.2068","41940",1969,4123477
"new.row.2069","41940",1970,4363643
"new.row.2070","41940",1971,4626177
"new.row.2071","41940",1972,5151458
"new.row.2072","41940",1973,5754030
"new.row.2073","41940",1974,6385299
"new.row.2074","41940",1975,6934410
"new.row.2075","41940",1976,7808579
"new.row.2076","41940",1977,8862745
"new.row.2077","41940",1978,10240304
"new.row.2078","41940",1979,11932161
"new.row.2079","41940",1980,13580998
"new.row.2080","41940",1981,15024875
"new.row.2081","41940",1982,16455025
"new.row.2082","41940",1983,18193443
"new.row.2083","41940",1984,20287765
"new.row.2084","41940",1985,21455351
"new.row.2085","41940",1986,22296850
"new.row.2086","41940",1987,23930023
"new.row.2087","41940",1988,26300063
"new.row.2088","41940",1989,27856464
"new.row.2089","41940",1990,28989646
"new.row.2090","41940",1991,30253598
"new.row.2091","41940",1992,32628972
"new.row.2092","41940",1993,32917455
"new.row.2093","41940",1994,34118995
"new.row.2094","41940",1995,37698883
"new.row.2095","41940",1996,41035939
"new.row.2096","41940",1997,46119505
"new.row.2097","41940",1998,49959225
"new.row.2098","41940",1999,57399736
"new.row.2099","41940",2000,73976327
"new.row.2100","41940",2001,65748183
"new.row.2101","41940",2002,58703724
"new.row.2102","41940",2003,58457827
"new.row.2103","41940",2004,61659214
"new.row.2104","41940",2005,64118353
"new.row.2105","41940",2006,69374461
"new.row.2106","41940",2007,73616943
"new.row.2107","41940",2008,73035790
"new.row.2108","41940",2009,68720302
"new.row.2109","41940",2010,74312398
"new.row.2110","41940",2011,81995098
"new.row.2111","41940",2012,89351884
"new.row.2112","42020",1969,247877
"new.row.2113","42020",1970,268274
"new.row.2114","42020",1971,299140
"new.row.2115","42020",1972,340737
"new.row.2116","42020",1973,379696
"new.row.2117","42020",1974,433534
"new.row.2118","42020",1975,481482
"new.row.2119","42020",1976,553240
"new.row.2120","42020",1977,612696
"new.row.2121","42020",1978,736515
"new.row.2122","42020",1979,830088
"new.row.2123","42020",1980,896831
"new.row.2124","42020",1981,958991
"new.row.2125","42020",1982,1004857
"new.row.2126","42020",1983,1271148
"new.row.2127","42020",1984,1389040
"new.row.2128","42020",1985,1472666
"new.row.2129","42020",1986,1628790
"new.row.2130","42020",1987,1821808
"new.row.2131","42020",1988,2000838
"new.row.2132","42020",1989,2149340
"new.row.2133","42020",1990,2282316
"new.row.2134","42020",1991,2396232
"new.row.2135","42020",1992,2554866
"new.row.2136","42020",1993,2628868
"new.row.2137","42020",1994,2716054
"new.row.2138","42020",1995,2895540
"new.row.2139","42020",1996,3136388
"new.row.2140","42020",1997,3464818
"new.row.2141","42020",1998,3766896
"new.row.2142","42020",1999,4050082
"new.row.2143","42020",2000,4404280
"new.row.2144","42020",2001,4625812
"new.row.2145","42020",2002,4942637
"new.row.2146","42020",2003,5207420
"new.row.2147","42020",2004,5568589
"new.row.2148","42020",2005,5810008
"new.row.2149","42020",2006,6111760
"new.row.2150","42020",2007,6252445
"new.row.2151","42020",2008,6208387
"new.row.2152","42020",2009,5994898
"new.row.2153","42020",2010,6083816
"new.row.2154","42020",2011,6502757
"new.row.2155","42020",2012,6767041
"new.row.2156","42100",1969,336320
"new.row.2157","42100",1970,359635
"new.row.2158","42100",1971,398214
"new.row.2159","42100",1972,458250
"new.row.2160","42100",1973,532019
"new.row.2161","42100",1974,599370
"new.row.2162","42100",1975,669021
"new.row.2163","42100",1976,786362
"new.row.2164","42100",1977,922993
"new.row.2165","42100",1978,1079103
"new.row.2166","42100",1979,1235281
"new.row.2167","42100",1980,1407612
"new.row.2168","42100",1981,1543084
"new.row.2169","42100",1982,1640987
"new.row.2170","42100",1983,1876671
"new.row.2171","42100",1984,2093352
"new.row.2172","42100",1985,2207422
"new.row.2173","42100",1986,2393395
"new.row.2174","42100",1987,2635259
"new.row.2175","42100",1988,2920491
"new.row.2176","42100",1989,3034218
"new.row.2177","42100",1990,3365973
"new.row.2178","42100",1991,3548317
"new.row.2179","42100",1992,3806833
"new.row.2180","42100",1993,3906240
"new.row.2181","42100",1994,4040136
"new.row.2182","42100",1995,4336509
"new.row.2183","42100",1996,4705434
"new.row.2184","42100",1997,5114929
"new.row.2185","42100",1998,5614163
"new.row.2186","42100",1999,6340905
"new.row.2187","42100",2000,7541933
"new.row.2188","42100",2001,7356966
"new.row.2189","42100",2002,7157286
"new.row.2190","42100",2003,7237667
"new.row.2191","42100",2004,7543387
"new.row.2192","42100",2005,7730995
"new.row.2193","42100",2006,8214752
"new.row.2194","42100",2007,8490065
"new.row.2195","42100",2008,8267064
"new.row.2196","42100",2009,7827344
"new.row.2197","42100",2010,8055838
"new.row.2198","42100",2011,8650904
"new.row.2199","42100",2012,9114026
"new.row.2200","42200",1969,850228
"new.row.2201","42200",1970,896470
"new.row.2202","42200",1971,947781
"new.row.2203","42200",1972,1043111
"new.row.2204","42200",1973,1150494
"new.row.2205","42200",1974,1242524
"new.row.2206","42200",1975,1361603
"new.row.2207","42200",1976,1523601
"new.row.2208","42200",1977,1679920
"new.row.2209","42200",1978,1935174
"new.row.2210","42200",1979,2151950
"new.row.2211","42200",1980,2386509
"new.row.2212","42200",1981,2575116
"new.row.2213","42200",1982,2758508
"new.row.2214","42200",1983,3011649
"new.row.2215","42200",1984,3398192
"new.row.2216","42200",1985,3703151
"new.row.2217","42200",1986,3994493
"new.row.2218","42200",1987,4281539
"new.row.2219","42200",1988,4615286
"new.row.2220","42200",1989,4908287
"new.row.2221","42200",1990,5098924
"new.row.2222","42200",1991,5431832
"new.row.2223","42200",1992,5572711
"new.row.2224","42200",1993,5664271
"new.row.2225","42200",1994,5623347
"new.row.2226","42200",1995,5787426
"new.row.2227","42200",1996,6018957
"new.row.2228","42200",1997,6341240
"new.row.2229","42200",1998,6873196
"new.row.2230","42200",1999,7236289
"new.row.2231","42200",2000,8015515
"new.row.2232","42200",2001,8080459
"new.row.2233","42200",2002,8434456
"new.row.2234","42200",2003,8960842
"new.row.2235","42200",2004,9535268
"new.row.2236","42200",2005,10082096
"new.row.2237","42200",2006,10426529
"new.row.2238","42200",2007,10685811
"new.row.2239","42200",2008,10868507
"new.row.2240","42200",2009,10689142
"new.row.2241","42200",2010,10703591
"new.row.2242","42200",2011,11362641
"new.row.2243","42200",2012,11923914
"new.row.2244","42220",1969,593764
"new.row.2245","42220",1970,640473
"new.row.2246","42220",1971,708865
"new.row.2247","42220",1972,814918
"new.row.2248","42220",1973,923464
"new.row.2249","42220",1974,1026425
"new.row.2250","42220",1975,1150488
"new.row.2251","42220",1976,1332571
"new.row.2252","42220",1977,1519573
"new.row.2253","42220",1978,1793617
"new.row.2254","42220",1979,2041406
"new.row.2255","42220",1980,2269852
"new.row.2256","42220",1981,2504575
"new.row.2257","42220",1982,2644720
"new.row.2258","42220",1983,2896610
"new.row.2259","42220",1984,3304179
"new.row.2260","42220",1985,3596794
"new.row.2261","42220",1986,3925536
"new.row.2262","42220",1987,4283871
"new.row.2263","42220",1988,4714473
"new.row.2264","42220",1989,5151237
"new.row.2265","42220",1990,5673831
"new.row.2266","42220",1991,5927442
"new.row.2267","42220",1992,6241382
"new.row.2268","42220",1993,6534299
"new.row.2269","42220",1994,6874710
"new.row.2270","42220",1995,7075267
"new.row.2271","42220",1996,7637798
"new.row.2272","42220",1997,8524962
"new.row.2273","42220",1998,9421528
"new.row.2274","42220",1999,10098229
"new.row.2275","42220",2000,11780760
"new.row.2276","42220",2001,12034069
"new.row.2277","42220",2002,12160360
"new.row.2278","42220",2003,12280561
"new.row.2279","42220",2004,12725926
"new.row.2280","42220",2005,13194531
"new.row.2281","42220",2006,13645171
"new.row.2282","42220",2007,13914469
"new.row.2283","42220",2008,13633982
"new.row.2284","42220",2009,12811330
"new.row.2285","42220",2010,12827686
"new.row.2286","42220",2011,13487517
"new.row.2287","42220",2012,14232266
"new.row.2288","44700",1969,888029
"new.row.2289","44700",1970,938170
"new.row.2290","44700",1971,1015846
"new.row.2291","44700",1972,1120304
"new.row.2292","44700",1973,1244771
"new.row.2293","44700",1974,1404594
"new.row.2294","44700",1975,1489814
"new.row.2295","44700",1976,1615385
"new.row.2296","44700",1977,1780368
"new.row.2297","44700",1978,1995698
"new.row.2298","44700",1979,2247159
"new.row.2299","44700",1980,2478716
"new.row.2300","44700",1981,2604311
"new.row.2301","44700",1982,2705135
"new.row.2302","44700",1983,2791806
"new.row.2303","44700",1984,3199527
"new.row.2304","44700",1985,3487595
"new.row.2305","44700",1986,3803512
"new.row.2306","44700",1987,4268936
"new.row.2307","44700",1988,4637562
"new.row.2308","44700",1989,4946839
"new.row.2309","44700",1990,5275118
"new.row.2310","44700",1991,5495909
"new.row.2311","44700",1992,5839764
"new.row.2312","44700",1993,6110413
"new.row.2313","44700",1994,6363597
"new.row.2314","44700",1995,6519210
"new.row.2315","44700",1996,6900004
"new.row.2316","44700",1997,7532701
"new.row.2317","44700",1998,8064588
"new.row.2318","44700",1999,8725875
"new.row.2319","44700",2000,9687371
"new.row.2320","44700",2001,9979799
"new.row.2321","44700",2002,10549497
"new.row.2322","44700",2003,11227328
"new.row.2323","44700",2004,11972884
"new.row.2324","44700",2005,12455866
"new.row.2325","44700",2006,12903932
"new.row.2326","44700",2007,13433190
"new.row.2327","44700",2008,13220760
"new.row.2328","44700",2009,12674766
"new.row.2329","44700",2010,12587666
"new.row.2330","44700",2011,13345689
"new.row.2331","44700",2012,13777720
"new.row.2332","46700",1969,512835
"new.row.2333","46700",1970,547054
"new.row.2334","46700",1971,606667
"new.row.2335","46700",1972,671639
"new.row.2336","46700",1973,742730
"new.row.2337","46700",1974,851128
"new.row.2338","46700",1975,955301
"new.row.2339","46700",1976,1054964
