"","msa.fips","year","personal.current.transfer.receipts"
"new.row.355","22520",2009,172772
"new.row.356","22520",2010,179416
"new.row.357","22520",2011,147563
"new.row.358","22520",2012,149287
"new.row.359","22520",2013,192394
"new.row.360","23460",1969,8532
"new.row.361","23460",1970,8599
"new.row.362","23460",1971,9177
"new.row.363","23460",1972,10763
"new.row.364","23460",1973,13702
"new.row.365","23460",1974,15399
"new.row.366","23460",1975,16159
"new.row.367","23460",1976,18012
"new.row.368","23460",1977,21210
"new.row.369","23460",1978,24693
"new.row.370","23460",1979,28850
"new.row.371","23460",1980,30744
"new.row.372","23460",1981,35958
"new.row.373","23460",1982,35539
"new.row.374","23460",1983,38283
"new.row.375","23460",1984,42113
"new.row.376","23460",1985,45289
"new.row.377","23460",1986,45215
"new.row.378","23460",1987,49246
"new.row.379","23460",1988,54667
"new.row.380","23460",1989,57048
"new.row.381","23460",1990,58204
"new.row.382","23460",1991,60193
"new.row.383","23460",1992,64430
"new.row.384","23460",1993,68737
"new.row.385","23460",1994,74944
"new.row.386","23460",1995,79704
"new.row.387","23460",1996,78930
"new.row.388","23460",1997,82058
"new.row.389","23460",1998,83857
"new.row.390","23460",1999,85059
"new.row.391","23460",2000,86657
"new.row.392","23460",2001,87179
"new.row.393","23460",2002,90787
"new.row.394","23460",2003,92611
"new.row.395","23460",2004,97888
"new.row.396","23460",2005,104022
"new.row.397","23460",2006,110209
"new.row.398","23460",2007,114800
"new.row.399","23460",2008,119228
"new.row.400","23460",2009,117820
"new.row.401","23460",2010,119382
"new.row.402","23460",2011,99457
"new.row.403","23460",2012,100932
"new.row.404","23460",2013,128680
"new.row.405","26620",1969,19453
"new.row.406","26620",1970,20671
"new.row.407","26620",1971,22015
"new.row.408","26620",1972,25033
"new.row.409","26620",1973,31407
"new.row.410","26620",1974,35288
"new.row.411","26620",1975,37458
"new.row.412","26620",1976,43014
"new.row.413","26620",1977,49318
"new.row.414","26620",1978,57286
"new.row.415","26620",1979,66042
"new.row.416","26620",1980,72893
"new.row.417","26620",1981,89321
"new.row.418","26620",1982,100517
"new.row.419","26620",1983,123682
"new.row.420","26620",1984,144143
"new.row.421","26620",1985,173675
"new.row.422","26620",1986,193219
