"","msa.fips","year","supplements.to.wages.and.salaries"
"new.row.3266","19660",1979,138786
"new.row.3267","19660",1980,157893
"new.row.3268","19660",1981,184100
"new.row.3269","19660",1982,205047
"new.row.3270","19660",1983,235340
"new.row.3271","19660",1984,271708
"new.row.3272","19660",1985,311655
"new.row.3273","19660",1986,353787
"new.row.3274","19660",1987,388222
"new.row.3275","19660",1988,430749
"new.row.3276","19660",1989,492660
"new.row.3277","19660",1990,535365
"new.row.3278","19660",1991,564686
"new.row.3279","19660",1992,631632
"new.row.3280","19660",1993,689358
"new.row.3281","19660",1994,730459
"new.row.3282","19660",1995,751873
"new.row.3283","19660",1996,785535
"new.row.3284","19660",1997,797061
"new.row.3285","19660",1998,837962
"new.row.3286","19660",1999,908743
"new.row.3287","19660",2000,953771
"new.row.3288","19660",2001,1002022
"new.row.3289","19660",2002,1107836
"new.row.3290","19660",2003,1222698
"new.row.3291","19660",2004,1338739
"new.row.3292","19660",2005,1450962
"new.row.3293","19660",2006,1480470
"new.row.3294","19660",2007,1536513
"new.row.3295","19660",2008,1543836
"new.row.3296","19660",2009,1457774
"new.row.3297","19660",2010,1519619
"new.row.3298","19660",2011,1462236
"new.row.3299","19660",2012,1517461
"new.row.3300","23540",1969,30758
"new.row.3301","23540",1970,35618
"new.row.3302","23540",1971,44130
"new.row.3303","23540",1972,55660
"new.row.3304","23540",1973,63459
"new.row.3305","23540",1974,73166
"new.row.3306","23540",1975,85420
"new.row.3307","23540",1976,92371
"new.row.3308","23540",1977,105853
"new.row.3309","23540",1978,123305
"new.row.3310","23540",1979,141219
"new.row.3311","23540",1980,155583
"new.row.3312","23540",1981,177125
"new.row.3313","23540",1982,198692
"new.row.3314","23540",1983,226603
"new.row.3315","23540",1984,262102
"new.row.3316","23540",1985,299235
"new.row.3317","23540",1986,322437
"new.row.3318","23540",1987,341614
"new.row.3319","23540",1988,380794
"new.row.3320","23540",1989,437589
"new.row.3321","23540",1990,481614
"new.row.3322","23540",1991,515692
"new.row.3323","23540",1992,582576
"new.row.3324","23540",1993,624126
"new.row.3325","23540",1994,668551
"new.row.3326","23540",1995,693474
"new.row.3327","23540",1996,727305
"new.row.3328","23540",1997,753878
"new.row.3329","23540",1998,806778
"new.row.3330","23540",1999,863848
"new.row.3331","23540",2000,898938
"new.row.3332","23540",2001,951932
"new.row.3333","23540",2002,1013754
"new.row.3334","23540",2003,1047535
"new.row.3335","23540",2004,1236109
"new.row.3336","23540",2005,1314831
"new.row.3337","23540",2006,1350423
"new.row.3338","23540",2007,1400669
"new.row.3339","23540",2008,1445945
"new.row.3340","23540",2009,1421934
"new.row.3341","23540",2010,1512243
"new.row.3342","23540",2011,1475782
"new.row.3343","23540",2012,1522575
"new.row.3344","26140",1969,2310
"new.row.3345","26140",1970,2923
"new.row.3346","26140",1971,3604
"new.row.3347","26140",1972,4917
"new.row.3348","26140",1973,7055
"new.row.3349","26140",1974,7250
"new.row.3350","26140",1975,8698
"new.row.3351","26140",1976,9929
"new.row.3352","26140",1977,11858
"new.row.3353","26140",1978,14400
"new.row.3354","26140",1979,17690
"new.row.3355","26140",1980,21505
"new.row.3356","26140",1981,27262
"new.row.3357","26140",1982,32626
"new.row.3358","26140",1983,36897
"new.row.3359","26140",1984,44102
"new.row.3360","26140",1985,56070
"new.row.3361","26140",1986,59755
"new.row.3362","26140",1987,67550
"new.row.3363","26140",1988,71754
"new.row.3364","26140",1989,83114
"new.row.3365","26140",1990,94496
"new.row.3366","26140",1991,100370
"new.row.3367","26140",1992,113342
"new.row.3368","26140",1993,122850
"new.row.3369","26140",1994,131040
"new.row.3370","26140",1995,132981
"new.row.3371","26140",1996,140828
"new.row.3372","26140",1997,146623
"new.row.3373","26140",1998,155011
"new.row.3374","26140",1999,175309
"new.row.3375","26140",2000,184418
"new.row.3376","26140",2001,200839
"new.row.3377","26140",2002,214464
"new.row.3378","26140",2003,232001
"new.row.3379","26140",2004,246219
"new.row.3380","26140",2005,271581
"new.row.3381","26140",2006,282261
"new.row.3382","26140",2007,291498
"new.row.3383","26140",2008,295760
"new.row.3384","26140",2009,294923
"new.row.3385","26140",2010,323131
"new.row.3386","26140",2011,307922
"new.row.3387","26140",2012,304601
"new.row.3388","27260",1969,243735
"new.row.3389","27260",1970,274174
"new.row.3390","27260",1971,318453
"new.row.3391","27260",1972,365302
"new.row.3392","27260",1973,401818
"new.row.3393","27260",1974,463081
"new.row.3394","27260",1975,538318
"new.row.3395","27260",1976,579731
"new.row.3396","27260",1977,652235
"new.row.3397","27260",1978,726445
"new.row.3398","27260",1979,803265
"new.row.3399","27260",1980,896327
"new.row.3400","27260",1981,1032743
"new.row.3401","27260",1982,1141057
"new.row.3402","27260",1983,1278752
"new.row.3403","27260",1984,1451854
"new.row.3404","27260",1985,1626072
"new.row.3405","27260",1986,1812059
"new.row.3406","27260",1987,1928564
"new.row.3407","27260",1988,2076882
"new.row.3408","27260",1989,2292400
"new.row.3409","27260",1990,2467343
"new.row.3410","27260",1991,2575767
"new.row.3411","27260",1992,2793428
"new.row.3412","27260",1993,2945109
"new.row.3413","27260",1994,3091283
"new.row.3414","27260",1995,3198373
"new.row.3415","27260",1996,3399734
"new.row.3416","27260",1997,3538005
"new.row.3417","27260",1998,3794402
"new.row.3418","27260",1999,3933023
"new.row.3419","27260",2000,4192116
"new.row.3420","27260",2001,4513853
"new.row.3421","27260",2002,4846824
"new.row.3422","27260",2003,5314360
"new.row.3423","27260",2004,5657308
"new.row.3424","27260",2005,6071876
"new.row.3425","27260",2006,6173579
"new.row.3426","27260",2007,6461806
"new.row.3427","27260",2008,6597375
"new.row.3428","27260",2009,6311495
"new.row.3429","27260",2010,6646795
"new.row.3430","27260",2011,6568093
"new.row.3431","27260",2012,6789939
"new.row.3432","29460",1969,48609
"new.row.3433","29460",1970,55074
"new.row.3434","29460",1971,63036
"new.row.3435","29460",1972,76847
"new.row.3436","29460",1973,93310
"new.row.3437","29460",1974,112444
"new.row.3438","29460",1975,137997
"new.row.3439","29460",1976,150362
"new.row.3440","29460",1977,179099
"new.row.3441","29460",1978,209070
"new.row.3442","29460",1979,248613
"new.row.3443","29460",1980,285847
"new.row.3444","29460",1981,328311
"new.row.3445","29460",1982,336367
"new.row.3446","29460",1983,369344
"new.row.3447","29460",1984,410561
"new.row.3448","29460",1985,447685
"new.row.3449","29460",1986,487033
"new.row.3450","29460",1987,530004
"new.row.3451","29460",1988,593500
"new.row.3452","29460",1989,678364
"new.row.3453","29460",1990,725873
"new.row.3454","29460",1991,745817
"new.row.3455","29460",1992,814889
"new.row.3456","29460",1993,857743
"new.row.3457","29460",1994,934487
"new.row.3458","29460",1995,959876
"new.row.3459","29460",1996,1021464
"new.row.3460","29460",1997,1038731
"new.row.3461","29460",1998,1121907
"new.row.3462","29460",1999,1179449
"new.row.3463","29460",2000,1232005
"new.row.3464","29460",2001,1333912
"new.row.3465","29460",2002,1403085
"new.row.3466","29460",2003,1505433
"new.row.3467","29460",2004,1620620
"new.row.3468","29460",2005,1773379
"new.row.3469","29460",2006,1783568
"new.row.3470","29460",2007,1847011
"new.row.3471","29460",2008,1896889
"new.row.3472","29460",2009,1830159
"new.row.3473","29460",2010,1914982
"new.row.3474","29460",2011,1831186
"new.row.3475","29460",2012,1892515
"new.row.3476","33100",1969,590598
"new.row.3477","33100",1970,693269
"new.row.3478","33100",1971,798966
"new.row.3479","33100",1972,977476
"new.row.3480","33100",1973,1161952
"new.row.3481","33100",1974,1305813
"new.row.3482","33100",1975,1488456
"new.row.3483","33100",1976,1634709
"new.row.3484","33100",1977,1919801
"new.row.3485","33100",1978,2260430
"new.row.3486","33100",1979,2667213
"new.row.3487","33100",1980,3091419
"new.row.3488","33100",1981,3561761
"new.row.3489","33100",1982,3907249
"new.row.3490","33100",1983,4388776
"new.row.3491","33100",1984,4894246
"new.row.3492","33100",1985,5410353
"new.row.3493","33100",1986,6047345
"new.row.3494","33100",1987,6608604
"new.row.3495","33100",1988,7318447
"new.row.3496","33100",1989,8081814
"new.row.3497","33100",1990,8773928
"new.row.3498","33100",1991,9119221
"new.row.3499","33100",1992,10013288
"new.row.3500","33100",1993,10893293
"new.row.3501","33100",1994,11619079
"new.row.3502","33100",1995,12009021
"new.row.3503","33100",1996,12635701
"new.row.3504","33100",1997,12900004
"new.row.3505","33100",1998,13764438
"new.row.3506","33100",1999,14760192
"new.row.3507","33100",2000,15603703
"new.row.3508","33100",2001,17832971
"new.row.3509","33100",2002,19057759
"new.row.3510","33100",2003,20151441
"new.row.3511","33100",2004,21385069
"new.row.3512","33100",2005,23305505
"new.row.3513","33100",2006,23285495
"new.row.3514","33100",2007,24252507
"new.row.3515","33100",2008,24695361
"new.row.3516","33100",2009,23393145
"new.row.3517","33100",2010,24328185
"new.row.3518","33100",2011,23988682
"new.row.3519","33100",2012,24854586
"new.row.3520","34940",1969,7372
"new.row.3521","34940",1970,9138
"new.row.3522","34940",1971,10665
"new.row.3523","34940",1972,13091
"new.row.3524","34940",1973,17969
"new.row.3525","34940",1974,21115
"new.row.3526","34940",1975,23344
"new.row.3527","34940",1976,25995
"new.row.3528","34940",1977,33564
"new.row.3529","34940",1978,43294
"new.row.3530","34940",1979,52558
"new.row.3531","34940",1980,61228
"new.row.3532","34940",1981,73071
"new.row.3533","34940",1982,78617
"new.row.3534","34940",1983,89950
"new.row.3535","34940",1984,106760
"new.row.3536","34940",1985,125387
"new.row.3537","34940",1986,149566
"new.row.3538","34940",1987,176109
"new.row.3539","34940",1988,209532
"new.row.3540","34940",1989,253378
"new.row.3541","34940",1990,285572
"new.row.3542","34940",1991,297889
"new.row.3543","34940",1992,326354
"new.row.3544","34940",1993,360514
"new.row.3545","34940",1994,389793
"new.row.3546","34940",1995,407471
"new.row.3547","34940",1996,444544
"new.row.3548","34940",1997,482495
"new.row.3549","34940",1998,526016
"new.row.3550","34940",1999,588044
"new.row.3551","34940",2000,651192
"new.row.3552","34940",2001,777871
"new.row.3553","34940",2002,854606
"new.row.3554","34940",2003,971371
"new.row.3555","34940",2004,1060370
"new.row.3556","34940",2005,1173655
"new.row.3557","34940",2006,1177239
"new.row.3558","34940",2007,1212921
"new.row.3559","34940",2008,1162770
"new.row.3560","34940",2009,1066774
"new.row.3561","34940",2010,1112526
"new.row.3562","34940",2011,1096999
"new.row.3563","34940",2012,1147042
"new.row.3564","35840",1969,36832
"new.row.3565","35840",1970,43306
"new.row.3566","35840",1971,50874
"new.row.3567","35840",1972,63242
"new.row.3568","35840",1973,78592
"new.row.3569","35840",1974,91116
"new.row.3570","35840",1975,102759
"new.row.3571","35840",1976,114947
"new.row.3572","35840",1977,141219
"new.row.3573","35840",1978,174794
"new.row.3574","35840",1979,208532
"new.row.3575","35840",1980,236155
"new.row.3576","35840",1981,272531
"new.row.3577","35840",1982,303626
"new.row.3578","35840",1983,355270
"new.row.3579","35840",1984,411845
"new.row.3580","35840",1985,455729
"new.row.3581","35840",1986,517604
"new.row.3582","35840",1987,575627
"new.row.3583","35840",1988,638722
"new.row.3584","35840",1989,728115
"new.row.3585","35840",1990,808477
"new.row.3586","35840",1991,856611
"new.row.3587","35840",1992,958372
"new.row.3588","35840",1993,1035688
"new.row.3589","35840",1994,1141553
"new.row.3590","35840",1995,1219344
"new.row.3591","35840",1996,1231481
"new.row.3592","35840",1997,1290859
"new.row.3593","35840",1998,1373417
"new.row.3594","35840",1999,1471530
"new.row.3595","35840",2000,1649430
"new.row.3596","35840",2001,1608197
"new.row.3597","35840",2002,1805893
"new.row.3598","35840",2003,1936976
"new.row.3599","35840",2004,2127215
"new.row.3600","35840",2005,2361797
"new.row.3601","35840",2006,2391048
"new.row.3602","35840",2007,2419546
"new.row.3603","35840",2008,2346215
"new.row.3604","35840",2009,2202736
"new.row.3605","35840",2010,2244688
"new.row.3606","35840",2011,2193926
"new.row.3607","35840",2012,2284086
"new.row.3608","36100",1969,12253
"new.row.3609","36100",1970,14642
"new.row.3610","36100",1971,17876
"new.row.3611","36100",1972,22527
"new.row.3612","36100",1973,27322
"new.row.3613","36100",1974,30514
"new.row.3614","36100",1975,34193
"new.row.3615","36100",1976,38082
"new.row.3616","36100",1977,44711
"new.row.3617","36100",1978,53362
"new.row.3618","36100",1979,65044
"new.row.3619","36100",1980,74856
"new.row.3620","36100",1981,87630
"new.row.3621","36100",1982,98747
"new.row.3622","36100",1983,114903
"new.row.3623","36100",1984,132730
"new.row.3624","36100",1985,154169
"new.row.3625","36100",1986,178374
"new.row.3626","36100",1987,197451
"new.row.3627","36100",1988,222993
"new.row.3628","36100",1989,252052
"new.row.3629","36100",1990,274393
"new.row.3630","36100",1991,288305
"new.row.3631","36100",1992,327600
"new.row.3632","36100",1993,359591
"new.row.3633","36100",1994,380115
"new.row.3634","36100",1995,392437
"new.row.3635","36100",1996,419497
"new.row.3636","36100",1997,434001
"new.row.3637","36100",1998,469813
"new.row.3638","36100",1999,508628
"new.row.3639","36100",2000,525951
"new.row.3640","36100",2001,551629
"new.row.3641","36100",2002,600339
"new.row.3642","36100",2003,667116
"new.row.3643","36100",2004,728082
"new.row.3644","36100",2005,805060
"new.row.3645","36100",2006,842821
"new.row.3646","36100",2007,869036
"new.row.3647","36100",2008,880300
"new.row.3648","36100",2009,816429
"new.row.3649","36100",2010,843670
"new.row.3650","36100",2011,819212
"new.row.3651","36100",2012,848053
"new.row.3652","36740",1969,133159
"new.row.3653","36740",1970,153804
"new.row.3654","36740",1971,188126
"new.row.3655","36740",1972,241009
"new.row.3656","36740",1973,289716
"new.row.3657","36740",1974,319189
"new.row.3658","36740",1975,359540
"new.row.3659","36740",1976,410109
"new.row.3660","36740",1977,475363
"new.row.3661","36740",1978,566374
"new.row.3662","36740",1979,670614
"new.row.3663","36740",1980,772743
"new.row.3664","36740",1981,926087
"new.row.3665","36740",1982,1069446
"new.row.3666","36740",1983,1234077
"new.row.3667","36740",1984,1424589
"new.row.3668","36740",1985,1618071
"new.row.3669","36740",1986,1870566
"new.row.3670","36740",1987,2048692
"new.row.3671","36740",1988,2321177
"new.row.3672","36740",1989,2668342
"new.row.3673","36740",1990,2929923
"new.row.3674","36740",1991,3049619
"new.row.3675","36740",1992,3383960
"new.row.3676","36740",1993,3658429
"new.row.3677","36740",1994,3873966
"new.row.3678","36740",1995,3965203
"new.row.3679","36740",1996,4266571
"new.row.3680","36740",1997,4507160
"new.row.3681","36740",1998,4955556
"new.row.3682","36740",1999,5367722
"new.row.3683","36740",2000,5772425
"new.row.3684","36740",2001,6224415
"new.row.3685","36740",2002,6726585
"new.row.3686","36740",2003,7269206
"new.row.3687","36740",2004,7895089
"new.row.3688","36740",2005,8724029
"new.row.3689","36740",2006,8784783
"new.row.3690","36740",2007,9265221
"new.row.3691","36740",2008,9531818
"new.row.3692","36740",2009,9007437
"new.row.3693","36740",2010,9370573
"new.row.3694","36740",2011,9192685
"new.row.3695","36740",2012,9705170
"new.row.3696","37340",1969,91665
"new.row.3697","37340",1970,90266
"new.row.3698","37340",1971,99309
"new.row.3699","37340",1972,112610
"new.row.3700","37340",1973,123705
"new.row.3701","37340",1974,128942
"new.row.3702","37340",1975,149687
"new.row.3703","37340",1976,164359
"new.row.3704","37340",1977,187603
"new.row.3705","37340",1978,217303
"new.row.3706","37340",1979,257771
"new.row.3707","37340",1980,298229
"new.row.3708","37340",1981,343346
"new.row.3709","37340",1982,387528
"new.row.3710","37340",1983,441792
"new.row.3711","37340",1984,496091
"new.row.3712","37340",1985,554521
"new.row.3713","37340",1986,603645
"new.row.3714","37340",1987,643988
"new.row.3715","37340",1988,731500
"new.row.3716","37340",1989,828409
"new.row.3717","37340",1990,897141
"new.row.3718","37340",1991,961833
"new.row.3719","37340",1992,1056208
"new.row.3720","37340",1993,1108087
"new.row.3721","37340",1994,1152529
"new.row.3722","37340",1995,1168185
"new.row.3723","37340",1996,1187441
"new.row.3724","37340",1997,1228879
"new.row.3725","37340",1998,1285093
"new.row.3726","37340",1999,1352034
"new.row.3727","37340",2000,1449816
"new.row.3728","37340",2001,1491352
"new.row.3729","37340",2002,1609681
"new.row.3730","37340",2003,1765718
"new.row.3731","37340",2004,1921441
"new.row.3732","37340",2005,2057552
"new.row.3733","37340",2006,2037695
"new.row.3734","37340",2007,2093500
"new.row.3735","37340",2008,2164155
"new.row.3736","37340",2009,2112808
"new.row.3737","37340",2010,2196229
"new.row.3738","37340",2011,2113812
"new.row.3739","37340",2012,2139542
"new.row.3740","37460",1969,28264
"new.row.3741","37460",1970,33244
"new.row.3742","37460",1971,38178
"new.row.3743","37460",1972,42126
"new.row.3744","37460",1973,47815
"new.row.3745","37460",1974,54848
"new.row.3746","37460",1975,63842
"new.row.3747","37460",1976,73387
"new.row.3748","37460",1977,79370
"new.row.3749","37460",1978,90769
"new.row.3750","37460",1979,100869
"new.row.3751","37460",1980,113610
"new.row.3752","37460",1981,132034
"new.row.3753","37460",1982,146459
"new.row.3754","37460",1983,162273
"new.row.3755","37460",1984,184303
"new.row.3756","37460",1985,203841
"new.row.3757","37460",1986,219761
"new.row.3758","37460",1987,223613
"new.row.3759","37460",1988,245260
"new.row.3760","37460",1989,268178
"new.row.3761","37460",1990,293454
"new.row.3762","37460",1991,319554
"new.row.3763","37460",1992,348187
"new.row.3764","37460",1993,363822
"new.row.3765","37460",1994,378380
"new.row.3766","37460",1995,387106
"new.row.3767","37460",1996,406928
"new.row.3768","37460",1997,417776
"new.row.3769","37460",1998,429246
"new.row.3770","37460",1999,446911
"new.row.3771","37460",2000,453199
"new.row.3772","37460",2001,482748
"new.row.3773","37460",2002,547506
"new.row.3774","37460",2003,617781
"new.row.3775","37460",2004,672656
"new.row.3776","37460",2005,739571
"new.row.3777","37460",2006,757886
"new.row.3778","37460",2007,770915
"new.row.3779","37460",2008,792395
"new.row.3780","37460",2009,778965
"new.row.3781","37460",2010,830177
"new.row.3782","37460",2011,814369
"new.row.3783","37460",2012,811415
"new.row.3784","37860",1969,101118
"new.row.3785","37860",1970,115246
"new.row.3786","37860",1971,141018
"new.row.3787","37860",1972,158026
"new.row.3788","37860",1973,164067
"new.row.3789","37860",1974,188370
"new.row.3790","37860",1975,216034
"new.row.3791","37860",1976,223866
"new.row.3792","37860",1977,249484
"new.row.3793","37860",1978,275375
"new.row.3794","37860",1979,311017
"new.row.3795","37860",1980,340538
"new.row.3796","37860",1981,394775
"new.row.3797","37860",1982,432394
"new.row.3798","37860",1983,473553
"new.row.3799","37860",1984,516640
"new.row.3800","37860",1985,552260
"new.row.3801","37860",1986,595873
"new.row.3802","37860",1987,612889
"new.row.3803","37860",1988,652075
"new.row.3804","37860",1989,715823
"new.row.3805","37860",1990,764975
"new.row.3806","37860",1991,802606
"new.row.3807","37860",1992,884299
"new.row.3808","37860",1993,891860
"new.row.3809","37860",1994,919544
"new.row.3810","37860",1995,918616
"new.row.3811","37860",1996,970436
"new.row.3812","37860",1997,1024629
"new.row.3813","37860",1998,1070553
"new.row.3814","37860",1999,1120566
"new.row.3815","37860",2000,1169804
"new.row.3816","37860",2001,1228313
"new.row.3817","37860",2002,1302690
"new.row.3818","37860",2003,1438378
"new.row.3819","37860",2004,1536767
"new.row.3820","37860",2005,1627113
"new.row.3821","37860",2006,1676948
"new.row.3822","37860",2007,1730406
"new.row.3823","37860",2008,1789756
"new.row.3824","37860",2009,1778354
"new.row.3825","37860",2010,1889583
"new.row.3826","37860",2011,1896107
"new.row.3827","37860",2012,1950168
"new.row.3828","38940",1969,14213
"new.row.3829","38940",1970,16757
"new.row.3830","38940",1971,19508
"new.row.3831","38940",1972,25103
"new.row.3832","38940",1973,31314
"new.row.3833","38940",1974,36640
"new.row.3834","38940",1975,43727
"new.row.3835","38940",1976,51014
"new.row.3836","38940",1977,60269
"new.row.3837","38940",1978,71770
"new.row.3838","38940",1979,88965
"new.row.3839","38940",1980,110330
"new.row.3840","38940",1981,124467
"new.row.3841","38940",1982,139082
"new.row.3842","38940",1983,156707
"new.row.3843","38940",1984,173114
"new.row.3844","38940",1985,193655
"new.row.3845","38940",1986,224913
"new.row.3846","38940",1987,258523
"new.row.3847","38940",1988,294511
"new.row.3848","38940",1989,342228
"new.row.3849","38940",1990,378778
"new.row.3850","38940",1991,386717
"new.row.3851","38940",1992,425616
"new.row.3852","38940",1993,453348
"new.row.3853","38940",1994,477075
"new.row.3854","38940",1995,495661
"new.row.3855","38940",1996,524889
"new.row.3856","38940",1997,539822
"new.row.3857","38940",1998,572856
"new.row.3858","38940",1999,626766
"new.row.3859","38940",2000,661260
"new.row.3860","38940",2001,718094
"new.row.3861","38940",2002,794535
"new.row.3862","38940",2003,869495
"new.row.3863","38940",2004,984389
"new.row.3864","38940",2005,1103616
"new.row.3865","38940",2006,1130336
"new.row.3866","38940",2007,1204662
"new.row.3867","38940",2008,1202153
"new.row.3868","38940",2009,1139560
"new.row.3869","38940",2010,1189700
"new.row.3870","38940",2011,1156415
"new.row.3871","38940",2012,1185480
"new.row.3872","39460",1969,2838
"new.row.3873","39460",1970,3501
"new.row.3874","39460",1971,4302
"new.row.3875","39460",1972,6022
"new.row.3876","39460",1973,7445
"new.row.3877","39460",1974,8556
"new.row.3878","39460",1975,10044
"new.row.3879","39460",1976,11836
"new.row.3880","39460",1977,15200
"new.row.3881","39460",1978,19683
"new.row.3882","39460",1979,22310
"new.row.3883","39460",1980,26122
"new.row.3884","39460",1981,31423
"new.row.3885","39460",1982,33572
"new.row.3886","39460",1983,39680
"new.row.3887","39460",1984,45216
"new.row.3888","39460",1985,51797
"new.row.3889","39460",1986,61802
"new.row.3890","39460",1987,70222
"new.row.3891","39460",1988,81913
"new.row.3892","39460",1989,98272
"new.row.3893","39460",1990,111825
"new.row.3894","39460",1991,116655
"new.row.3895","39460",1992,133191
"new.row.3896","39460",1993,143486
"new.row.3897","39460",1994,155733
"new.row.3898","39460",1995,161439
"new.row.3899","39460",1996,174526
"new.row.3900","39460",1997,177762
"new.row.3901","39460",1998,190572
"new.row.3902","39460",1999,210186
"new.row.3903","39460",2000,223505
"new.row.3904","39460",2001,238496
"new.row.3905","39460",2002,257417
"new.row.3906","39460",2003,278112
"new.row.3907","39460",2004,308170
"new.row.3908","39460",2005,339855
"new.row.3909","39460",2006,356628
"new.row.3910","39460",2007,359153
"new.row.3911","39460",2008,357576
"new.row.3912","39460",2009,338258
"new.row.3913","39460",2010,355207
"new.row.3914","39460",2011,346928
"new.row.3915","39460",2012,357080
"new.row.3916","42680",1969,7112
"new.row.3917","42680",1970,7404
"new.row.3918","42680",1971,9246
"new.row.3919","42680",1972,12206
"new.row.3920","42680",1973,15707
"new.row.3921","42680",1974,17360
"new.row.3922","42680",1975,20128
"new.row.3923","42680",1976,24124
"new.row.3924","42680",1977,29637
"new.row.3925","42680",1978,35061
"new.row.3926","42680",1979,40280
"new.row.3927","42680",1980,42695
"new.row.3928","42680",1981,51764
"new.row.3929","42680",1982,52786
"new.row.3930","42680",1983,58148
"new.row.3931","42680",1984,67129
"new.row.3932","42680",1985,76581
"new.row.3933","42680",1986,88363
"new.row.3934","42680",1987,96657
"new.row.3935","42680",1988,111782
"new.row.3936","42680",1989,136283
"new.row.3937","42680",1990,146409
"new.row.3938","42680",1991,145075
"new.row.3939","42680",1992,158976
"new.row.3940","42680",1993,168352
"new.row.3941","42680",1994,181679
"new.row.3942","42680",1995,189145
"new.row.3943","42680",1996,204034
"new.row.3944","42680",1997,213373
"new.row.3945","42680",1998,229589
"new.row.3946","42680",1999,254977
"new.row.3947","42680",2000,264003
"new.row.3948","42680",2001,281971
"new.row.3949","42680",2002,302408
"new.row.3950","42680",2003,343585
"new.row.3951","42680",2004,381646
"new.row.3952","42680",2005,404408
"new.row.3953","42680",2006,417609
"new.row.3954","42680",2007,441447
"new.row.3955","42680",2008,447003
"new.row.3956","42680",2009,419931
"new.row.3957","42680",2010,418085
"new.row.3958","42680",2011,403666
"new.row.3959","42680",2012,427707
"new.row.3960","42700",1969,4258
"new.row.3961","42700",1970,4771
"new.row.3962","42700",1971,5646
"new.row.3963","42700",1972,6724
"new.row.3964","42700",1973,8168
"new.row.3965","42700",1974,9965
"new.row.3966","42700",1975,11839
"new.row.3967","42700",1976,13452
"new.row.3968","42700",1977,16003
"new.row.3969","42700",1978,18964
"new.row.3970","42700",1979,21917
"new.row.3971","42700",1980,24554
"new.row.3972","42700",1981,28108
"new.row.3973","42700",1982,30278
"new.row.3974","42700",1983,34841
"new.row.3975","42700",1984,39310
"new.row.3976","42700",1985,44539
"new.row.3977","42700",1986,50421
"new.row.3978","42700",1987,54396
"new.row.3979","42700",1988,60630
"new.row.3980","42700",1989,70037
"new.row.3981","42700",1990,78612
"new.row.3982","42700",1991,83964
"new.row.3983","42700",1992,92531
"new.row.3984","42700",1993,97927
"new.row.3985","42700",1994,105462
"new.row.3986","42700",1995,106679
"new.row.3987","42700",1996,109483
"new.row.3988","42700",1997,110412
"new.row.3989","42700",1998,114769
"new.row.3990","42700",1999,125527
"new.row.3991","42700",2000,125676
"new.row.3992","42700",2001,139535
"new.row.3993","42700",2002,154475
"new.row.3994","42700",2003,168201
"new.row.3995","42700",2004,187334
"new.row.3996","42700",2005,197625
"new.row.3997","42700",2006,206381
"new.row.3998","42700",2007,215700
"new.row.3999","42700",2008,214512
"new.row.4000","42700",2009,215981
"new.row.4001","42700",2010,222478
"new.row.4002","42700",2011,218956
"new.row.4003","42700",2012,223660
"new.row.4004","45220",1969,41451
"new.row.4005","45220",1970,47764
"new.row.4006","45220",1971,59762
"new.row.4007","45220",1972,74598
"new.row.4008","45220",1973,84713
"new.row.4009","45220",1974,97275
"new.row.4010","45220",1975,112885
"new.row.4011","45220",1976,121940
"new.row.4012","45220",1977,137246
"new.row.4013","45220",1978,159184
"new.row.4014","45220",1979,187594
"new.row.4015","45220",1980,204885
"new.row.4016","45220",1981,234745
"new.row.4017","45220",1982,258229
"new.row.4018","45220",1983,290940
"new.row.4019","45220",1984,323838
"new.row.4020","45220",1985,361978
"new.row.4021","45220",1986,411701
"new.row.4022","45220",1987,451199
"new.row.4023","45220",1988,511459
"new.row.4024","45220",1989,595124
"new.row.4025","45220",1990,669011
"new.row.4026","45220",1991,725597
"new.row.4027","45220",1992,824968
"new.row.4028","45220",1993,884843
"new.row.4029","45220",1994,955367
"new.row.4030","45220",1995,1009880
"new.row.4031","45220",1996,1071451
"new.row.4032","45220",1997,1123583
"new.row.4033","45220",1998,1193005
"new.row.4034","45220",1999,1293058
"new.row.4035","45220",2000,1339636
"new.row.4036","45220",2001,1413706
"new.row.4037","45220",2002,1494363
"new.row.4038","45220",2003,1586660
"new.row.4039","45220",2004,1712583
"new.row.4040","45220",2005,1788618
"new.row.4041","45220",2006,1798043
"new.row.4042","45220",2007,1874590
"new.row.4043","45220",2008,1938332
"new.row.4044","45220",2009,1873582
"new.row.4045","45220",2010,1970487
"new.row.4046","45220",2011,1910157
"new.row.4047","45220",2012,1928743
"new.row.4048","45300",1969,239918
"new.row.4049","45300",1970,279028
"new.row.4050","45300",1971,324692
"new.row.4051","45300",1972,404964
"new.row.4052","45300",1973,481411
"new.row.4053","45300",1974,548852
"new.row.4054","45300",1975,636005
"new.row.4055","45300",1976,696253
"new.row.4056","45300",1977,812669
"new.row.4057","45300",1978,961434
"new.row.4058","45300",1979,1130944
"new.row.4059","45300",1980,1287983
"new.row.4060","45300",1981,1504236
"new.row.4061","45300",1982,1686716
"new.row.4062","45300",1983,1957624
"new.row.4063","45300",1984,2245045
"new.row.4064","45300",1985,2515037
"new.row.4065","45300",1986,2806343
"new.row.4066","45300",1987,3038588
"new.row.4067","45300",1988,3370415
"new.row.4068","45300",1989,3773335
"new.row.4069","45300",1990,4102278
"new.row.4070","45300",1991,4285428
"new.row.4071","45300",1992,4774892
"new.row.4072","45300",1993,5103915
