"","msa.fips","year","wages.and.salaries"
"new.row.7627","30340",1984,543692
"new.row.7628","30340",1985,574597
"new.row.7629","30340",1986,620312
"new.row.7630","30340",1987,691043
"new.row.7631","30340",1988,760542
"new.row.7632","30340",1989,807713
"new.row.7633","30340",1990,824742
"new.row.7634","30340",1991,824653
"new.row.7635","30340",1992,849555
"new.row.7636","30340",1993,893860
"new.row.7637","30340",1994,945655
"new.row.7638","30340",1995,986295
"new.row.7639","30340",1996,1021586
"new.row.7640","30340",1997,1080207
"new.row.7641","30340",1998,1163472
"new.row.7642","30340",1999,1262716
"new.row.7643","30340",2000,1346386
"new.row.7644","30340",2001,1394470
"new.row.7645","30340",2002,1494734
"new.row.7646","30340",2003,1551552
"new.row.7647","30340",2004,1597871
"new.row.7648","30340",2005,1620629
"new.row.7649","30340",2006,1715354
"new.row.7650","30340",2007,1798411
"new.row.7651","30340",2008,1855917
"new.row.7652","30340",2009,1794094
"new.row.7653","30340",2010,1823207
"new.row.7654","30340",2011,1861498
"new.row.7655","30340",2012,1916485
"new.row.7656","38860",1969,783146
"new.row.7657","38860",1970,832252
"new.row.7658","38860",1971,870912
"new.row.7659","38860",1972,967447
"new.row.7660","38860",1973,1046774
"new.row.7661","38860",1974,1129452
"new.row.7662","38860",1975,1207975
"new.row.7663","38860",1976,1365258
"new.row.7664","38860",1977,1498021
"new.row.7665","38860",1978,1690458
"new.row.7666","38860",1979,1871912
"new.row.7667","38860",1980,2095311
"new.row.7668","38860",1981,2316556
"new.row.7669","38860",1982,2536384
"new.row.7670","38860",1983,2730999
"new.row.7671","38860",1984,3025800
"new.row.7672","38860",1985,3289327
"new.row.7673","38860",1986,3690314
"new.row.7674","38860",1987,4130124
"new.row.7675","38860",1988,4626174
"new.row.7676","38860",1989,4957419
"new.row.7677","38860",1990,5151869
"new.row.7678","38860",1991,5072690
"new.row.7679","38860",1992,5273808
"new.row.7680","38860",1993,5390289
"new.row.7681","38860",1994,5639168
"new.row.7682","38860",1995,5884144
"new.row.7683","38860",1996,6158545
"new.row.7684","38860",1997,6620309
"new.row.7685","38860",1998,7102844
"new.row.7686","38860",1999,7659622
"new.row.7687","38860",2000,8094895
"new.row.7688","38860",2001,8577455
"new.row.7689","38860",2002,8854486
"new.row.7690","38860",2003,9322197
"new.row.7691","38860",2004,9948433
"new.row.7692","38860",2005,10068484
"new.row.7693","38860",2006,10638210
"new.row.7694","38860",2007,11133866
"new.row.7695","38860",2008,11493445
"new.row.7696","38860",2009,11158589
"new.row.7697","38860",2010,11341827
"new.row.7698","38860",2011,11650375
"new.row.7699","38860",2012,11945797
"new.row.7700","12580",1969,5940607
"new.row.7701","12580",1970,6376078
"new.row.7702","12580",1971,6788812
"new.row.7703","12580",1972,7348231
"new.row.7704","12580",1973,8101400
"new.row.7705","12580",1974,8892906
"new.row.7706","12580",1975,9320928
"new.row.7707","12580",1976,10077811
"new.row.7708","12580",1977,10882090
"new.row.7709","12580",1978,12097291
"new.row.7710","12580",1979,13226079
"new.row.7711","12580",1980,14412361
"new.row.7712","12580",1981,15735309
"new.row.7713","12580",1982,16360992
"new.row.7714","12580",1983,17568169
"new.row.7715","12580",1984,19215644
"new.row.7716","12580",1985,20813104
"new.row.7717","12580",1986,22291948
"new.row.7718","12580",1987,24267194
"new.row.7719","12580",1988,26506071
"new.row.7720","12580",1989,28177613
"new.row.7721","12580",1990,29819196
"new.row.7722","12580",1991,30246855
"new.row.7723","12580",1992,31078797
"new.row.7724","12580",1993,31979961
"new.row.7725","12580",1994,33431122
"new.row.7726","12580",1995,34852908
"new.row.7727","12580",1996,36533319
"new.row.7728","12580",1997,38872219
"new.row.7729","12580",1998,41403155
"new.row.7730","12580",1999,44463873
"new.row.7731","12580",2000,47708842
"new.row.7732","12580",2001,50298411
"new.row.7733","12580",2002,52152278
"new.row.7734","12580",2003,54134867
"new.row.7735","12580",2004,58005874
"new.row.7736","12580",2005,61252358
"new.row.7737","12580",2006,64813351
"new.row.7738","12580",2007,67807539
"new.row.7739","12580",2008,69385772
"new.row.7740","12580",2009,68623378
"new.row.7741","12580",2010,70323599
"new.row.7742","12580",2011,73197994
"new.row.7743","12580",2012,76625239
"new.row.7744","15680",1969,94684
"new.row.7745","15680",1970,106217
"new.row.7746","15680",1971,113747
"new.row.7747","15680",1972,127678
"new.row.7748","15680",1973,131455
"new.row.7749","15680",1974,147214
"new.row.7750","15680",1975,138852
"new.row.7751","15680",1976,150661
"new.row.7752","15680",1977,163046
"new.row.7753","15680",1978,176730
"new.row.7754","15680",1979,191312
"new.row.7755","15680",1980,216951
"new.row.7756","15680",1981,263328
"new.row.7757","15680",1982,282954
"new.row.7758","15680",1983,303968
"new.row.7759","15680",1984,337529
"new.row.7760","15680",1985,365796
"new.row.7761","15680",1986,406493
"new.row.7762","15680",1987,465269
"new.row.7763","15680",1988,547764
"new.row.7764","15680",1989,603025
"new.row.7765","15680",1990,656033
"new.row.7766","15680",1991,702719
"new.row.7767","15680",1992,733988
"new.row.7768","15680",1993,736911
"new.row.7769","15680",1994,763437
"new.row.7770","15680",1995,803392
"new.row.7771","15680",1996,885712
"new.row.7772","15680",1997,1095212
"new.row.7773","15680",1998,1284304
"new.row.7774","15680",1999,1324147
"new.row.7775","15680",2000,1431788
"new.row.7776","15680",2001,1512213
"new.row.7777","15680",2002,1653604
"new.row.7778","15680",2003,1818790
"new.row.7779","15680",2004,1940618
"new.row.7780","15680",2005,2005471
"new.row.7781","15680",2006,2169662
"new.row.7782","15680",2007,2316469
"new.row.7783","15680",2008,2370106
"new.row.7784","15680",2009,2545289
"new.row.7785","15680",2010,2791080
"new.row.7786","15680",2011,2963176
"new.row.7787","15680",2012,3005561
"new.row.7788","19060",1969,235176
"new.row.7789","19060",1970,252361
"new.row.7790","19060",1971,265356
"new.row.7791","19060",1972,280989
"new.row.7792","19060",1973,303939
"new.row.7793","19060",1974,321718
"new.row.7794","19060",1975,321681
"new.row.7795","19060",1976,348662
"new.row.7796","19060",1977,386357
"new.row.7797","19060",1978,431230
"new.row.7798","19060",1979,468920
"new.row.7799","19060",1980,506717
"new.row.7800","19060",1981,534847
"new.row.7801","19060",1982,533438
"new.row.7802","19060",1983,546955
"new.row.7803","19060",1984,573942
"new.row.7804","19060",1985,598445
"new.row.7805","19060",1986,609410
"new.row.7806","19060",1987,644749
"new.row.7807","19060",1988,694923
"new.row.7808","19060",1989,723887
"new.row.7809","19060",1990,751372
"new.row.7810","19060",1991,759004
"new.row.7811","19060",1992,756024
"new.row.7812","19060",1993,776190
"new.row.7813","19060",1994,808197
"new.row.7814","19060",1995,831780
"new.row.7815","19060",1996,869801
"new.row.7816","19060",1997,916380
"new.row.7817","19060",1998,939292
"new.row.7818","19060",1999,966460
"new.row.7819","19060",2000,1005870
"new.row.7820","19060",2001,1057625
"new.row.7821","19060",2002,1103143
"new.row.7822","19060",2003,1134459
"new.row.7823","19060",2004,1172404
"new.row.7824","19060",2005,1221451
"new.row.7825","19060",2006,1281792
"new.row.7826","19060",2007,1309224
"new.row.7827","19060",2008,1369161
"new.row.7828","19060",2009,1404469
"new.row.7829","19060",2010,1436949
"new.row.7830","19060",2011,1468399
"new.row.7831","19060",2012,1483934
"new.row.7832","25180",1969,330686
"new.row.7833","25180",1970,338258
"new.row.7834","25180",1971,353870
"new.row.7835","25180",1972,395319
"new.row.7836","25180",1973,441196
"new.row.7837","25180",1974,493123
"new.row.7838","25180",1975,524972
"new.row.7839","25180",1976,566275
"new.row.7840","25180",1977,638488
"new.row.7841","25180",1978,726897
"new.row.7842","25180",1979,821309
"new.row.7843","25180",1980,841595
"new.row.7844","25180",1981,899094
"new.row.7845","25180",1982,900934
"new.row.7846","25180",1983,941619
"new.row.7847","25180",1984,1067526
"new.row.7848","25180",1985,1128739
"new.row.7849","25180",1986,1184601
"new.row.7850","25180",1987,1293161
"new.row.7851","25180",1988,1385312
"new.row.7852","25180",1989,1480755
"new.row.7853","25180",1990,1576177
"new.row.7854","25180",1991,1666270
"new.row.7855","25180",1992,1740908
"new.row.7856","25180",1993,1795114
"new.row.7857","25180",1994,1919014
"new.row.7858","25180",1995,2043451
"new.row.7859","25180",1996,2147648
"new.row.7860","25180",1997,2295264
"new.row.7861","25180",1998,2420877
"new.row.7862","25180",1999,2583066
"new.row.7863","25180",2000,2723172
"new.row.7864","25180",2001,2885833
"new.row.7865","25180",2002,2940107
"new.row.7866","25180",2003,3071301
"new.row.7867","25180",2004,3258085
"new.row.7868","25180",2005,3475667
"new.row.7869","25180",2006,3702261
"new.row.7870","25180",2007,3768705
"new.row.7871","25180",2008,3844376
"new.row.7872","25180",2009,3715224
"new.row.7873","25180",2010,3751347
"new.row.7874","25180",2011,3927323
"new.row.7875","25180",2012,4100953
"new.row.7876","12700",1969,188835
"new.row.7877","12700",1970,207889
"new.row.7878","12700",1971,233260
"new.row.7879","12700",1972,261043
"new.row.7880","12700",1973,291658
"new.row.7881","12700",1974,307811
"new.row.7882","12700",1975,324172
"new.row.7883","12700",1976,365205
"new.row.7884","12700",1977,414769
"new.row.7885","12700",1978,471366
"new.row.7886","12700",1979,524897
"new.row.7887","12700",1980,581578
"new.row.7888","12700",1981,654991
"new.row.7889","12700",1982,708530
"new.row.7890","12700",1983,791997
"new.row.7891","12700",1984,923326
"new.row.7892","12700",1985,1047274
"new.row.7893","12700",1986,1190509
"new.row.7894","12700",1987,1363302
"new.row.7895","12700",1988,1483707
"new.row.7896","12700",1989,1500391
"new.row.7897","12700",1990,1504933
"new.row.7898","12700",1991,1498381
"new.row.7899","12700",1992,1566246
"new.row.7900","12700",1993,1641304
"new.row.7901","12700",1994,1738834
"new.row.7902","12700",1995,1863736
"new.row.7903","12700",1996,1988756
"new.row.7904","12700",1997,2131341
"new.row.7905","12700",1998,2331116
"new.row.7906","12700",1999,2679546
"new.row.7907","12700",2000,2785523
"new.row.7908","12700",2001,2950244
"new.row.7909","12700",2002,3100988
"new.row.7910","12700",2003,3268989
"new.row.7911","12700",2004,3449897
"new.row.7912","12700",2005,3486463
"new.row.7913","12700",2006,3604978
"new.row.7914","12700",2007,3733494
"new.row.7915","12700",2008,3806185
"new.row.7916","12700",2009,3694845
"new.row.7917","12700",2010,3719979
"new.row.7918","12700",2011,3820528
"new.row.7919","12700",2012,3964177
"new.row.7920","14460",1969,11675692
"new.row.7921","14460",1970,12565090
"new.row.7922","14460",1971,13258507
"new.row.7923","14460",1972,14333107
"new.row.7924","14460",1973,15611010
"new.row.7925","14460",1974,16598803
"new.row.7926","14460",1975,17151530
"new.row.7927","14460",1976,18452987
"new.row.7928","14460",1977,20202535
"new.row.7929","14460",1978,22560021
"new.row.7930","14460",1979,25351194
"new.row.7931","14460",1980,28426403
"new.row.7932","14460",1981,31366603
"new.row.7933","14460",1982,34089221
"new.row.7934","14460",1983,37516770
"new.row.7935","14460",1984,42478543
"new.row.7936","14460",1985,46701314
"new.row.7937","14460",1986,50738386
"new.row.7938","14460",1987,55519440
"new.row.7939","14460",1988,60953672
"new.row.7940","14460",1989,63130086
"new.row.7941","14460",1990,64182896
"new.row.7942","14460",1991,63697950
"new.row.7943","14460",1992,66561384
"new.row.7944","14460",1993,69125566
"new.row.7945","14460",1994,72428891
"new.row.7946","14460",1995,77543144
"new.row.7947","14460",1996,82672768
"new.row.7948","14460",1997,89597579
"new.row.7949","14460",1998,97597212
"new.row.7950","14460",1999,106901762
"new.row.7951","14460",2000,121682509
"new.row.7952","14460",2001,123545976
"new.row.7953","14460",2002,119815480
"new.row.7954","14460",2003,120675275
"new.row.7955","14460",2004,127741649
"new.row.7956","14460",2005,131911943
"new.row.7957","14460",2006,140112359
"new.row.7958","14460",2007,149984325
"new.row.7959","14460",2008,154357005
"new.row.7960","14460",2009,147832617
"new.row.7961","14460",2010,153131351
"new.row.7962","14460",2011,160247653
"new.row.7963","14460",2012,166879741
"new.row.7964","38340",1969,380631
"new.row.7965","38340",1970,398766
"new.row.7966","38340",1971,418926
"new.row.7967","38340",1972,449813
"new.row.7968","38340",1973,504447
"new.row.7969","38340",1974,544820
"new.row.7970","38340",1975,544268
"new.row.7971","38340",1976,568933
"new.row.7972","38340",1977,600006
"new.row.7973","38340",1978,661961
"new.row.7974","38340",1979,720881
"new.row.7975","38340",1980,778880
"new.row.7976","38340",1981,839047
"new.row.7977","38340",1982,886243
"new.row.7978","38340",1983,943228
"new.row.7979","38340",1984,1050700
"new.row.7980","38340",1985,1132276
"new.row.7981","38340",1986,1211469
"new.row.7982","38340",1987,1287052
"new.row.7983","38340",1988,1375691
"new.row.7984","38340",1989,1449955
"new.row.7985","38340",1990,1466065
"new.row.7986","38340",1991,1420247
"new.row.7987","38340",1992,1441912
"new.row.7988","38340",1993,1469739
"new.row.7989","38340",1994,1498763
"new.row.7990","38340",1995,1563888
"new.row.7991","38340",1996,1633775
"new.row.7992","38340",1997,1742674
"new.row.7993","38340",1998,1832349
"new.row.7994","38340",1999,1902066
"new.row.7995","38340",2000,2010451
"new.row.7996","38340",2001,2054730
"new.row.7997","38340",2002,2146763
"new.row.7998","38340",2003,2134869
"new.row.7999","38340",2004,2244849
"new.row.8000","38340",2005,2343428
"new.row.8001","38340",2006,2425607
"new.row.8002","38340",2007,2516868
"new.row.8003","38340",2008,2567948
"new.row.8004","38340",2009,2468673
"new.row.8005","38340",2010,2458505
"new.row.8006","38340",2011,2531911
"new.row.8007","38340",2012,2567309
"new.row.8008","39300",1969,3332037
"new.row.8009","39300",1970,3559427
"new.row.8010","39300",1971,3720846
"new.row.8011","39300",1972,4080640
"new.row.8012","39300",1973,4382846
"new.row.8013","39300",1974,4512758
"new.row.8014","39300",1975,4610573
"new.row.8015","39300",1976,5132679
"new.row.8016","39300",1977,5589962
"new.row.8017","39300",1978,6192515
"new.row.8018","39300",1979,6836253
"new.row.8019","39300",1980,7383129
"new.row.8020","39300",1981,7950388
"new.row.8021","39300",1982,8363187
"new.row.8022","39300",1983,8989256
"new.row.8023","39300",1984,9962884
"new.row.8024","39300",1985,10741563
"new.row.8025","39300",1986,11603646
"new.row.8026","39300",1987,12631233
"new.row.8027","39300",1988,13806194
"new.row.8028","39300",1989,14531017
"new.row.8029","39300",1990,14882085
"new.row.8030","39300",1991,14568941
"new.row.8031","39300",1992,15243033
"new.row.8032","39300",1993,15923393
"new.row.8033","39300",1994,16541626
"new.row.8034","39300",1995,17417469
"new.row.8035","39300",1996,18106245
"new.row.8036","39300",1997,19252456
"new.row.8037","39300",1998,20512398
"new.row.8038","39300",1999,21702350
"new.row.8039","39300",2000,23244269
"new.row.8040","39300",2001,24082227
"new.row.8041","39300",2002,24987863
"new.row.8042","39300",2003,26219002
"new.row.8043","39300",2004,27354707
"new.row.8044","39300",2005,28136671
"new.row.8045","39300",2006,29505341
"new.row.8046","39300",2007,30422484
"new.row.8047","39300",2008,30941006
"new.row.8048","39300",2009,29787904
"new.row.8049","39300",2010,30482499
"new.row.8050","39300",2011,31537201
"new.row.8051","39300",2012,32425510
"new.row.8052","44140",1969,1415844
"new.row.8053","44140",1970,1477302
"new.row.8054","44140",1971,1539289
"new.row.8055","44140",1972,1655713
"new.row.8056","44140",1973,1817588
"new.row.8057","44140",1974,1915928
"new.row.8058","44140",1975,1947466
"new.row.8059","44140",1976,2103647
"new.row.8060","44140",1977,2312283
"new.row.8061","44140",1978,2563603
"new.row.8062","44140",1979,2834885
"new.row.8063","44140",1980,3069001
"new.row.8064","44140",1981,3273467
"new.row.8065","44140",1982,3423722
"new.row.8066","44140",1983,3667690
"new.row.8067","44140",1984,4051492
"new.row.8068","44140",1985,4375887
"new.row.8069","44140",1986,4716482
"new.row.8070","44140",1987,5193314
"new.row.8071","44140",1988,5685662
"new.row.8072","44140",1989,5918103
"new.row.8073","44140",1990,5996979
"new.row.8074","44140",1991,5866729
"new.row.8075","44140",1992,5996595
"new.row.8076","44140",1993,6148838
"new.row.8077","44140",1994,6358138
"new.row.8078","44140",1995,6618856
"new.row.8079","44140",1996,6926267
"new.row.8080","44140",1997,7313950
"new.row.8081","44140",1998,7694512
"new.row.8082","44140",1999,8079756
"new.row.8083","44140",2000,8599769
"new.row.8084","44140",2001,8950123
"new.row.8085","44140",2002,9181069
"new.row.8086","44140",2003,9395035
"new.row.8087","44140",2004,9728244
"new.row.8088","44140",2005,10023457
"new.row.8089","44140",2006,10372810
"new.row.8090","44140",2007,10788823
"new.row.8091","44140",2008,11223372
"new.row.8092","44140",2009,10951778
"new.row.8093","44140",2010,11032413
"new.row.8094","44140",2011,11322521
"new.row.8095","44140",2012,11737097
"new.row.8096","11460",1969,767791
"new.row.8097","11460",1970,769058
"new.row.8098","11460",1971,868018
"new.row.8099","11460",1972,964020
"new.row.8100","11460",1973,1120736
"new.row.8101","11460",1974,1169609
"new.row.8102","11460",1975,1221197
"new.row.8103","11460",1976,1473878
"new.row.8104","11460",1977,1712611
"new.row.8105","11460",1978,2031526
"new.row.8106","11460",1979,2270654
"new.row.8107","11460",1980,2362955
"new.row.8108","11460",1981,2537246
"new.row.8109","11460",1982,2576399
"new.row.8110","11460",1983,2783610
"new.row.8111","11460",1984,3129859
"new.row.8112","11460",1985,3451255
"new.row.8113","11460",1986,3643022
"new.row.8114","11460",1987,3839411
"new.row.8115","11460",1988,4187820
"new.row.8116","11460",1989,4447905
"new.row.8117","11460",1990,4741622
"new.row.8118","11460",1991,4739945
"new.row.8119","11460",1992,5007870
"new.row.8120","11460",1993,5187434
"new.row.8121","11460",1994,5515523
"new.row.8122","11460",1995,5634528
"new.row.8123","11460",1996,5922246
"new.row.8124","11460",1997,6408943
"new.row.8125","11460",1998,6931349
"new.row.8126","11460",1999,7621190
"new.row.8127","11460",2000,8139692
"new.row.8128","11460",2001,8076441
"new.row.8129","11460",2002,8400697
"new.row.8130","11460",2003,8572956
"new.row.8131","11460",2004,8777986
"new.row.8132","11460",2005,8944059
"new.row.8133","11460",2006,9079605
"new.row.8134","11460",2007,9409467
"new.row.8135","11460",2008,9100607
"new.row.8136","11460",2009,8789498
"new.row.8137","11460",2010,8990342
"new.row.8138","11460",2011,9228951
"new.row.8139","11460",2012,9658100
"new.row.8140","12980",1969,411197
"new.row.8141","12980",1970,412224
"new.row.8142","12980",1971,448109
"new.row.8143","12980",1972,492748
"new.row.8144","12980",1973,549542
"new.row.8145","12980",1974,579707
"new.row.8146","12980",1975,614818
"new.row.8147","12980",1976,690455
"new.row.8148","12980",1977,755257
"new.row.8149","12980",1978,835149
"new.row.8150","12980",1979,906762
"new.row.8151","12980",1980,913562
"new.row.8152","12980",1981,962857
"new.row.8153","12980",1982,953850
"new.row.8154","12980",1983,963467
"new.row.8155","12980",1984,994749
"new.row.8156","12980",1985,1095163
"new.row.8157","12980",1986,1151277
"new.row.8158","12980",1987,1261281
"new.row.8159","12980",1988,1355117
"new.row.8160","12980",1989,1410043
"new.row.8161","12980",1990,1479732
"new.row.8162","12980",1991,1554275
"new.row.8163","12980",1992,1665257
"new.row.8164","12980",1993,1695500
"new.row.8165","12980",1994,1806130
"new.row.8166","12980",1995,1900498
"new.row.8167","12980",1996,1956176
"new.row.8168","12980",1997,2088316
"new.row.8169","12980",1998,2136016
"new.row.8170","12980",1999,2127751
"new.row.8171","12980",2000,2189503
"new.row.8172","12980",2001,2184821
"new.row.8173","12980",2002,2305507
"new.row.8174","12980",2003,2310718
"new.row.8175","12980",2004,2377984
"new.row.8176","12980",2005,2408199
"new.row.8177","12980",2006,2455043
"new.row.8178","12980",2007,2503489
"new.row.8179","12980",2008,2580560
"new.row.8180","12980",2009,2490010
"new.row.8181","12980",2010,2532668
"new.row.8182","12980",2011,2530680
"new.row.8183","12980",2012,2665486
"new.row.8184","13020",1969,235284
"new.row.8185","13020",1970,234109
"new.row.8186","13020",1971,254238
"new.row.8187","13020",1972,270704
"new.row.8188","13020",1973,306638
"new.row.8189","13020",1974,329557
"new.row.8190","13020",1975,335022
"new.row.8191","13020",1976,382694
"new.row.8192","13020",1977,437080
"new.row.8193","13020",1978,474288
"new.row.8194","13020",1979,507923
"new.row.8195","13020",1980,517410
"new.row.8196","13020",1981,573795
"new.row.8197","13020",1982,564787
"new.row.8198","13020",1983,575740
"new.row.8199","13020",1984,611019
"new.row.8200","13020",1985,643481
"new.row.8201","13020",1986,682665
"new.row.8202","13020",1987,704682
"new.row.8203","13020",1988,759636
"new.row.8204","13020",1989,768349
"new.row.8205","13020",1990,822711
"new.row.8206","13020",1991,842903
"new.row.8207","13020",1992,892143
"new.row.8208","13020",1993,949071
"new.row.8209","13020",1994,1005586
"new.row.8210","13020",1995,1073388
"new.row.8211","13020",1996,1170627
"new.row.8212","13020",1997,1219996
"new.row.8213","13020",1998,1276004
"new.row.8214","13020",1999,1309367
"new.row.8215","13020",2000,1370271
"new.row.8216","13020",2001,1338526
"new.row.8217","13020",2002,1337687
"new.row.8218","13020",2003,1352627
"new.row.8219","13020",2004,1361213
"new.row.8220","13020",2005,1377213
"new.row.8221","13020",2006,1424155
"new.row.8222","13020",2007,1445916
"new.row.8223","13020",2008,1468966
"new.row.8224","13020",2009,1428644
"new.row.8225","13020",2010,1418048
"new.row.8226","13020",2011,1461463
"new.row.8227","13020",2012,1502483
"new.row.8228","19820",1969,14440159
"new.row.8229","19820",1970,14576808
"new.row.8230","19820",1971,15488485
"new.row.8231","19820",1972,17233975
"new.row.8232","19820",1973,19533294
"new.row.8233","19820",1974,20187355
"new.row.8234","19820",1975,19905440
"new.row.8235","19820",1976,22694562
"new.row.8236","19820",1977,25816721
"new.row.8237","19820",1978,29020111
"new.row.8238","19820",1979,31326455
"new.row.8239","19820",1980,31114246
"new.row.8240","19820",1981,32217739
"new.row.8241","19820",1982,31592335
"new.row.8242","19820",1983,33151497
"new.row.8243","19820",1984,37288717
"new.row.8244","19820",1985,41867356
"new.row.8245","19820",1986,44808658
"new.row.8246","19820",1987,46693960
"new.row.8247","19820",1988,50118190
"new.row.8248","19820",1989,52843833
"new.row.8249","19820",1990,54337588
"new.row.8250","19820",1991,54053377
"new.row.8251","19820",1992,57448942
"new.row.8252","19820",1993,60632291
"new.row.8253","19820",1994,65778428
"new.row.8254","19820",1995,70308795
"new.row.8255","19820",1996,73959332
"new.row.8256","19820",1997,78053385
"new.row.8257","19820",1998,84169393
"new.row.8258","19820",1999,89227052
"new.row.8259","19820",2000,94539277
"new.row.8260","19820",2001,92870118
"new.row.8261","19820",2002,91915589
"new.row.8262","19820",2003,93813168
"new.row.8263","19820",2004,95227507
"new.row.8264","19820",2005,97332046
"new.row.8265","19820",2006,96611317
"new.row.8266","19820",2007,98104404
"new.row.8267","19820",2008,96790801
"new.row.8268","19820",2009,86366284
"new.row.8269","19820",2010,87529118
"new.row.8270","19820",2011,93674236
"new.row.8271","19820",2012,97825154
"new.row.8272","22420",1969,1415983
"new.row.8273","22420",1970,1319470
"new.row.8274","22420",1971,1562464
"new.row.8275","22420",1972,1713983
"new.row.8276","22420",1973,1931395
"new.row.8277","22420",1974,1848423
"new.row.8278","22420",1975,1939942
"new.row.8279","22420",1976,2437901
"new.row.8280","22420",1977,2872512
"new.row.8281","22420",1978,3185892
"new.row.8282","22420",1979,3418102
"new.row.8283","22420",1980,3284925
"new.row.8284","22420",1981,3664632
"new.row.8285","22420",1982,3395840
"new.row.8286","22420",1983,3749700
"new.row.8287","22420",1984,4261005
"new.row.8288","22420",1985,4680120
"new.row.8289","22420",1986,4790841
"new.row.8290","22420",1987,4444539
"new.row.8291","22420",1988,4445545
"new.row.8292","22420",1989,4606504
"new.row.8293","22420",1990,4709596
"new.row.8294","22420",1991,4878141
"new.row.8295","22420",1992,4887068
"new.row.8296","22420",1993,5065798
"new.row.8297","22420",1994,5813031
"new.row.8298","22420",1995,6100605
"new.row.8299","22420",1996,6168192
"new.row.8300","22420",1997,6207242
"new.row.8301","22420",1998,6275150
"new.row.8302","22420",1999,6357151
"new.row.8303","22420",2000,6394018
"new.row.8304","22420",2001,6132453
"new.row.8305","22420",2002,6128451
"new.row.8306","22420",2003,6187579
"new.row.8307","22420",2004,6320358
"new.row.8308","22420",2005,6053655
"new.row.8309","22420",2006,6211605
"new.row.8310","22420",2007,6072441
"new.row.8311","22420",2008,5771553
"new.row.8312","22420",2009,5361466
"new.row.8313","22420",2010,5330887
"new.row.8314","22420",2011,5569200
"new.row.8315","22420",2012,5642193
"new.row.8316","24340",1969,1532851
"new.row.8317","24340",1970,1579075
"new.row.8318","24340",1971,1689426
"new.row.8319","24340",1972,1884952
"new.row.8320","24340",1973,2142982
"new.row.8321","24340",1974,2313915
"new.row.8322","24340",1975,2354165
"new.row.8323","24340",1976,2689415
"new.row.8324","24340",1977,3079165
"new.row.8325","24340",1978,3585087
"new.row.8326","24340",1979,4094325
"new.row.8327","24340",1980,4297371
"new.row.8328","24340",1981,4642660
"new.row.8329","24340",1982,4730645
"new.row.8330","24340",1983,5131373
"new.row.8331","24340",1984,5803321
"new.row.8332","24340",1985,6319315
"new.row.8333","24340",1986,6724424
"new.row.8334","24340",1987,7245224
"new.row.8335","24340",1988,8049557
"new.row.8336","24340",1989,8596687
"new.row.8337","24340",1990,9160331
"new.row.8338","24340",1991,9364275
"new.row.8339","24340",1992,10024967
"new.row.8340","24340",1993,10659280
"new.row.8341","24340",1994,11695575
"new.row.8342","24340",1995,12665238
"new.row.8343","24340",1996,13524307
"new.row.8344","24340",1997,14587549
"new.row.8345","24340",1998,15600478
"new.row.8346","24340",1999,16501860
"new.row.8347","24340",2000,17462696
"new.row.8348","24340",2001,17355625
"new.row.8349","24340",2002,17475601
"new.row.8350","24340",2003,17728706
"new.row.8351","24340",2004,18355220
"new.row.8352","24340",2005,18933674
"new.row.8353","24340",2006,19390689
"new.row.8354","24340",2007,19623574
"new.row.8355","24340",2008,19592706
"new.row.8356","24340",2009,18297080
"new.row.8357","24340",2010,18622953
"new.row.8358","24340",2011,19735193
"new.row.8359","24340",2012,21003773
"new.row.8360","27100",1969,384812
"new.row.8361","27100",1970,390888
"new.row.8362","27100",1971,395028
"new.row.8363","27100",1972,451591
"new.row.8364","27100",1973,514688
"new.row.8365","27100",1974,547437
"new.row.8366","27100",1975,562599
"new.row.8367","27100",1976,598728
"new.row.8368","27100",1977,669308
"new.row.8369","27100",1978,764275
"new.row.8370","27100",1979,832452
"new.row.8371","27100",1980,839256
"new.row.8372","27100",1981,888390
"new.row.8373","27100",1982,867615
"new.row.8374","27100",1983,875932
"new.row.8375","27100",1984,919035
"new.row.8376","27100",1985,948901
"new.row.8377","27100",1986,1002285
"new.row.8378","27100",1987,1111294
"new.row.8379","27100",1988,1166904
"new.row.8380","27100",1989,1232333
"new.row.8381","27100",1990,1276987
"new.row.8382","27100",1991,1282721
"new.row.8383","27100",1992,1338256
"new.row.8384","27100",1993,1403635
"new.row.8385","27100",1994,1492903
"new.row.8386","27100",1995,1583469
"new.row.8387","27100",1996,1656555
"new.row.8388","27100",1997,1737807
"new.row.8389","27100",1998,1795590
"new.row.8390","27100",1999,1948592
"new.row.8391","27100",2000,2037619
"new.row.8392","27100",2001,2046285
"new.row.8393","27100",2002,2061898
"new.row.8394","27100",2003,2044565
"new.row.8395","27100",2004,2135354
"new.row.8396","27100",2005,2195853
"new.row.8397","27100",2006,2195393
"new.row.8398","27100",2007,2234173
"new.row.8399","27100",2008,2235408
"new.row.8400","27100",2009,2088773
"new.row.8401","27100",2010,2133806
"new.row.8402","27100",2011,2267112
"new.row.8403","27100",2012,2350662
"new.row.8404","28020",1969,655659
"new.row.8405","28020",1970,684637
"new.row.8406","28020",1971,711513
"new.row.8407","28020",1972,779706
"new.row.8408","28020",1973,874112
"new.row.8409","28020",1974,955905
"new.row.8410","28020",1975,1005483
"new.row.8411","28020",1976,1124414
"new.row.8412","28020",1977,1253161
"new.row.8413","28020",1978,1406436
