"","area_code","year","high.tech.occupations","total.jobs","rate"
"267","0037964",2013,72250,1840120,0.0392637436688912
"268","0037980",2013,99510,2666990,0.0373117259532282
"269","0038060",2013,57780,1781210,0.0324386231831171
"270","0038220",2013,250,33170,0.00753693096171239
"271","0038300",2013,36540,1130750,0.0323148352863144
"272","0038540",2013,350,33670,0.0103950103950104
"273","0038660",2013,510,53430,0.00954519932622122
"274","0038900",2013,31930,1027440,0.0310772405201277
"275","0038940",2013,1060,124990,0.00848067845427634
"276","0039100",2013,3290,244500,0.0134560327198364
"277","0039140",2013,250,54030,0.00462705904127337
"278","0039340",2013,7320,187680,0.039002557544757
"279","0039380",2013,410,55440,0.0073953823953824
"280","0039460",2013,150,40900,0.00366748166259169
"281","0039540",2013,600,74250,0.00808080808080808
"282","0039580",2013,25300,533810,0.0473951405930949
"283","0039660",2013,870,60640,0.0143469656992084
"284","0039740",2013,2440,165800,0.0147165259348613
"285","0039820",2013,440,56890,0.00773422394093865
"286","0039900",2013,3380,191930,0.0176105871932475
"287","0040060",2013,19590,606070,0.0323229989935156
"288","0040140",2013,12820,1201500,0.0106699958385352
"289","0040220",2013,2290,149740,0.0152931748363831
"290","0040340",2013,2390,103960,0.0229896113889958
"291","0040380",2013,15540,493990,0.0314581266827264
"292","0040420",2013,1630,143210,0.0113818867397528
"293","0040580",2013,390,54900,0.00710382513661202
"294","0040660",2013,370,34730,0.0106536135905557
"295","0040900",2013,32450,837960,0.0387249988066256
"296","0040980",2013,970,82160,0.0118062317429406
"297","0041060",2013,1230,96930,0.0126895697926339
"298","0041100",2013,220,49730,0.00442388900060326
"299","0041140",2013,150,52170,0.00287521564117309
"300","0041180",2013,38740,1291420,0.0299979867123012
"301","0041420",2013,1510,142940,0.0105638729536869
"302","0041500",2013,1300,155210,0.0083757489852458
"303","0041540",2013,460,50780,0.00905868452146514
"304","0041620",2013,19560,644980,0.0303265217526125
"305","0041660",2013,350,45590,0.00767712217591577
"306","0041700",2013,18680,887670,0.0210438563880721
"307","0041740",2013,62950,1290610,0.0487753852829282
"308","0041780",2013,140,35490,0.00394477317554241
"309","0041860",2013,118140,2049560,0.0576416401569117
"310","0041884",2013,70590,1045700,0.0675050205603902
"311","0041900",2013,150,18930,0.00792393026941363
"312","0041940",2013,117680,930070,0.12652811078736
"313","0041980",2013,11070,721470,0.0153436733336105
"314","0042020",2013,1470,102340,0.0143638850889193
"315","0042044",2013,57200,1452430,0.039382276598528
"316","0042060",2013,5040,172640,0.0291936978683967
"317","0042100",2013,1460,85420,0.0170920159213299
"318","0042140",2013,630,59140,0.0106526885356781
"319","0042220",2013,2900,176850,0.0163980774667798
"320","0042340",2013,1590,152050,0.010457086484709
"321","0042540",2013,2700,250300,0.01078705553336
"322","0042644",2013,122740,1449770,0.0846617049600971
"323","0042660",2013,119120,1711330,0.069606680184418
"324","0042680",2013,280,46100,0.00607375271149675
"325","0043100",2013,690,55490,0.0124346729140386
"326","0043300",2013,120,41320,0.00290416263310745
"327","0043340",2013,1890,172230,0.0109736979620275
"328","0043580",2013,460,71070,0.00647249190938511
"329","0043620",2013,3250,141470,0.0229730684950873
"330","0043780",2013,1530,124570,0.0122822509432448
"331","0043900",2013,1770,121550,0.0145619086795557
"332","0044060",2013,3930,200200,0.0196303696303696
"333","0044100",2013,2350,103640,0.0226746429949826
"334","0044180",2013,2980,189080,0.0157605246456526
"335","0044220",2013,200,46890,0.00426530177010023
"336","0044300",2013,1930,65710,0.0293714807487445
"337","0044600",2013,450,40030,0.0112415688233825
"338","0044700",2013,1470,202710,0.00725173893739825
"339","0044940",2013,260,33690,0.00771742356782428
"340","0045060",2013,6780,301060,0.0225204278216967
"341","0045104",2013,3010,261560,0.0115078758219911
"342","0045220",2013,3730,156530,0.0238292978981665
"343","0045300",2013,29140,1151890,0.0252975544539843
"344","0045460",2013,580,66520,0.00871918220084185
"345","0045500",2013,300,52980,0.00566251415628539
"346","0045780",2013,4270,297490,0.0143534236444923
"347","0045820",2013,2110,108500,0.0194470046082949
"348","0045940",2013,9920,215960,0.0459344323022782
"349","0046060",2013,7770,351610,0.0220983476010352
"350","0046140",2013,7850,421760,0.0186124810318665
"351","0046220",2013,1290,91640,0.0140768223483195
"352","0046340",2013,1370,93020,0.0147280154805418
"353","0046540",2013,2260,121790,0.0185565317349536
"354","0046660",2013,320,49620,0.00644901249496171
"355","0046700",2013,1780,122030,0.014586577071212
"356","0047020",2013,220,51080,0.0043069694596711
"357","0047220",2013,330,58350,0.00565552699228792
"358","0047260",2013,24480,724560,0.0337860218615436
"359","0047300",2013,600,133100,0.00450788880540947
"360","0047380",2013,1070,102810,0.0104075479039004
"361","0047580",2013,2630,56700,0.0463844797178131
"362","0047644",2013,36150,1112130,0.032505192738259
"363","0047894",2013,145730,2367240,0.0615611429343877
"364","0047900",2013,180410,2929060,0.0615931390958191
"365","0047940",2013,790,89450,0.00883174958077138
"366","0048140",2013,1240,65330,0.0189805602326649
"367","0048300",2013,240,39110,0.00613653796982869
"368","0048424",2013,10300,525170,0.0196126968410229
"369","0048540",2013,500,62850,0.00795544948289578
"370","0048620",2013,8750,284210,0.0307870940501742
"371","0048660",2013,220,56010,0.00392787002321014
"372","0048700",2013,400,53550,0.00746965452847806
"373","0048864",2013,15620,325530,0.0479832887905877
"374","0048900",2013,2010,139070,0.0144531530883728
"375","0049020",2013,470,53370,0.00880644556867154
"376","0049180",2013,3530,205340,0.0171910002921983
"377","0049420",2013,510,80460,0.00633855331841909
"378","0049500",2013,40,10820,0.00369685767097967
"379","0049620",2013,2250,173250,0.012987012987013
"380","0049660",2013,2390,218770,0.010924715454587
"381","0049700",2013,140,37190,0.00376445280989513
"382","0049740",2013,570,58880,0.00968070652173913
"383","0070750",2013,430,63290,0.0067941222942013
"384","0070900",2013,1210,97080,0.0124639472599918
"385","0071650",2013,147240,2533640,0.0581140177767954
"386","0071654",2013,110490,1748940,0.0631754091049436
"387","0071950",2013,14140,420170,0.0336530451959921
"388","0072104",2013,750,89820,0.0083500334001336
"389","0072400",2013,3020,116840,0.0258473125641903
"390","0072850",2013,1300,68940,0.0188569770815202
"391","0073104",2013,15450,161000,0.0959627329192547
"392","0073450",2013,18800,559460,0.0336038322668287
"393","0073604",2013,1430,79610,0.0179625675166436
"394","0074204",2013,1150,61100,0.0188216039279869
"395","0074500",2013,330,46860,0.00704225352112676
"396","0074650",2013,370,46730,0.00791782580783223
"397","0074804",2013,7130,117190,0.0608413687174674
"398","0074950",2013,2330,101090,0.0230487684241765
"399","0075404",2013,5390,131800,0.0408952959028832
"400","0075550",2013,200,64030,0.00312353584257379
"401","0075700",2013,6260,272530,0.0229699482625766
"402","0076450",2013,2610,127400,0.0204866562009419
"403","0076524",2013,1410,101600,0.0138779527559055
"404","0076600",2013,100,33420,0.00299222022740874
"405","0076750",2013,4490,197620,0.0227203724319401
"406","0076900",2013,1960,56470,0.0347086948822384
"407","0077200",2013,13720,541730,0.0253262695438687
"408","0077350",2013,620,53730,0.0115391773683231
"409","0078100",2013,4770,289710,0.0164647406026716
"410","0078254",2013,640,42580,0.0150305307656177
"411","0078700",2013,540,63440,0.00851197982345523
"412","0079600",2013,7840,245320,0.0319582586010109
"413","0100001",2013,310,62850,0.00493237867939539
"414","0100002",2013,790,137240,0.00575633925969105
"415","0100003",2013,760,126840,0.00599180069378745
"416","0100004",2013,1370,83770,0.0163543034499224
"417","0200001",2013,450,35370,0.0127226463104326
"418","0200002",2013,1320,73870,0.0178692297279004
"419","0400001",2013,530,63940,0.00828902095714733
"420","0400002",2013,1540,59280,0.0259784075573549
"421","0500001",2013,250,77520,0.0032249742002064
"422","0500002",2013,500,101090,0.00494608764467306
"423","0500003",2013,810,124260,0.00651859005311444
"424","0500004",2013,360,68110,0.00528556746439583
"425","0600001",2013,180,37820,0.00475938656795346
"426","0600003",2013,650,93060,0.00698474102729422
"427","0600004",2013,30,27900,0.0010752688172043
"428","0600005",2013,710,60960,0.0116469816272966
"429","0800001",2013,370,64830,0.00570723430510566
"430","0800002",2013,930,102240,0.0090962441314554
