"","msa.fips","year","contributions.for.government.social.insurance"
"new.row.3696","36100",1975,24147
"new.row.3697","36100",1976,27176
"new.row.3698","36100",1977,30542
"new.row.3699","36100",1978,36357
"new.row.3700","36100",1979,44930
"new.row.3701","36100",1980,52422
"new.row.3702","36100",1981,64198
"new.row.3703","36100",1982,71612
"new.row.3704","36100",1983,80556
"new.row.3705","36100",1984,95426
"new.row.3706","36100",1985,109924
"new.row.3707","36100",1986,126021
"new.row.3708","36100",1987,138434
"new.row.3709","36100",1988,157496
"new.row.3710","36100",1989,174986
"new.row.3711","36100",1990,184248
"new.row.3712","36100",1991,193637
"new.row.3713","36100",1992,207277
"new.row.3714","36100",1993,225315
"new.row.3715","36100",1994,245865
"new.row.3716","36100",1995,261688
"new.row.3717","36100",1996,280098
"new.row.3718","36100",1997,295990
"new.row.3719","36100",1998,317186
"new.row.3720","36100",1999,336316
"new.row.3721","36100",2000,350111
"new.row.3722","36100",2001,377477
"new.row.3723","36100",2002,397793
"new.row.3724","36100",2003,434310
"new.row.3725","36100",2004,481878
"new.row.3726","36100",2005,537001
"new.row.3727","36100",2006,604533
"new.row.3728","36100",2007,618023
"new.row.3729","36100",2008,615875
"new.row.3730","36100",2009,585689
"new.row.3731","36100",2010,590464
"new.row.3732","36100",2011,547384
"new.row.3733","36100",2012,564092
"new.row.3734","36100",2013,645334
"new.row.3735","36740",1969,83766
"new.row.3736","36740",1970,95062
"new.row.3737","36740",1971,117558
"new.row.3738","36740",1972,149361
"new.row.3739","36740",1973,208780
"new.row.3740","36740",1974,233515
"new.row.3741","36740",1975,235913
"new.row.3742","36740",1976,268006
"new.row.3743","36740",1977,301156
"new.row.3744","36740",1978,363424
"new.row.3745","36740",1979,441872
"new.row.3746","36740",1980,516163
"new.row.3747","36740",1981,640439
"new.row.3748","36740",1982,736135
"new.row.3749","36740",1983,845668
"new.row.3750","36740",1984,1004967
"new.row.3751","36740",1985,1151298
"new.row.3752","36740",1986,1323854
"new.row.3753","36740",1987,1451403
"new.row.3754","36740",1988,1671725
"new.row.3755","36740",1989,1850611
"new.row.3756","36740",1990,2002404
"new.row.3757","36740",1991,2093963
"new.row.3758","36740",1992,2247477
"new.row.3759","36740",1993,2389447
"new.row.3760","36740",1994,2568551
"new.row.3761","36740",1995,2723279
"new.row.3762","36740",1996,2922087
"new.row.3763","36740",1997,3176979
"new.row.3764","36740",1998,3493809
"new.row.3765","36740",1999,3771267
"new.row.3766","36740",2000,4065861
"new.row.3767","36740",2001,4350734
"new.row.3768","36740",2002,4527738
"new.row.3769","36740",2003,4801770
"new.row.3770","36740",2004,5291566
"new.row.3771","36740",2005,5866852
"new.row.3772","36740",2006,6342501
"new.row.3773","36740",2007,6585256
"new.row.3774","36740",2008,6622735
"new.row.3775","36740",2009,6286556
"new.row.3776","36740",2010,6394311
"new.row.3777","36740",2011,5868795
"new.row.3778","36740",2012,6200524
"new.row.3779","36740",2013,7255551
"new.row.3780","37340",1969,54018
"new.row.3781","37340",1970,48418
"new.row.3782","37340",1971,49360
"new.row.3783","37340",1972,56797
"new.row.3784","37340",1973,71295
"new.row.3785","37340",1974,75325
"new.row.3786","37340",1975,80238
"new.row.3787","37340",1976,87661
"new.row.3788","37340",1977,100298
"new.row.3789","37340",1978,120935
"new.row.3790","37340",1979,150984
"new.row.3791","37340",1980,178073
"new.row.3792","37340",1981,216346
"new.row.3793","37340",1982,243013
"new.row.3794","37340",1983,277932
"new.row.3795","37340",1984,330120
"new.row.3796","37340",1985,375182
"new.row.3797","37340",1986,407335
"new.row.3798","37340",1987,437498
"new.row.3799","37340",1988,500037
"new.row.3800","37340",1989,551197
"new.row.3801","37340",1990,585849
"new.row.3802","37340",1991,624168
"new.row.3803","37340",1992,666016
"new.row.3804","37340",1993,685359
"new.row.3805","37340",1994,725784
"new.row.3806","37340",1995,745828
"new.row.3807","37340",1996,766054
"new.row.3808","37340",1997,816791
"new.row.3809","37340",1998,859715
"new.row.3810","37340",1999,894888
"new.row.3811","37340",2000,983041
"new.row.3812","37340",2001,1012627
"new.row.3813","37340",2002,1052244
"new.row.3814","37340",2003,1128002
"new.row.3815","37340",2004,1242854
"new.row.3816","37340",2005,1341951
"new.row.3817","37340",2006,1427803
"new.row.3818","37340",2007,1448749
"new.row.3819","37340",2008,1455430
"new.row.3820","37340",2009,1443206
"new.row.3821","37340",2010,1461623
"new.row.3822","37340",2011,1324093
"new.row.3823","37340",2012,1335421
"new.row.3824","37340",2013,1506970
"new.row.3825","37460",1969,12113
"new.row.3826","37460",1970,14055
"new.row.3827","37460",1971,15682
"new.row.3828","37460",1972,18042
"new.row.3829","37460",1973,23516
"new.row.3830","37460",1974,28237
"new.row.3831","37460",1975,30812
"new.row.3832","37460",1976,36025
"new.row.3833","37460",1977,38689
"new.row.3834","37460",1978,44703
"new.row.3835","37460",1979,51796
"new.row.3836","37460",1980,57183
"new.row.3837","37460",1981,70068
"new.row.3838","37460",1982,76994
"new.row.3839","37460",1983,86226
"new.row.3840","37460",1984,101135
"new.row.3841","37460",1985,113154
"new.row.3842","37460",1986,125384
"new.row.3843","37460",1987,129866
"new.row.3844","37460",1988,145910
"new.row.3845","37460",1989,154754
"new.row.3846","37460",1990,168697
"new.row.3847","37460",1991,183471
"new.row.3848","37460",1992,196083
"new.row.3849","37460",1993,208335
"new.row.3850","37460",1994,219331
"new.row.3851","37460",1995,229649
"new.row.3852","37460",1996,241830
"new.row.3853","37460",1997,254651
"new.row.3854","37460",1998,267687
"new.row.3855","37460",1999,275123
"new.row.3856","37460",2000,280179
"new.row.3857","37460",2001,308443
"new.row.3858","37460",2002,330355
"new.row.3859","37460",2003,357144
"new.row.3860","37460",2004,391489
"new.row.3861","37460",2005,433563
"new.row.3862","37460",2006,469645
"new.row.3863","37460",2007,475463
"new.row.3864","37460",2008,479684
"new.row.3865","37460",2009,475230
"new.row.3866","37460",2010,490912
"new.row.3867","37460",2011,446613
"new.row.3868","37460",2012,452323
"new.row.3869","37460",2013,515853
"new.row.3870","37860",1969,38874
"new.row.3871","37860",1970,44344
"new.row.3872","37860",1971,52591
"new.row.3873","37860",1972,61568
"new.row.3874","37860",1973,73602
"new.row.3875","37860",1974,85207
"new.row.3876","37860",1975,93858
"new.row.3877","37860",1976,101929
"new.row.3878","37860",1977,111237
"new.row.3879","37860",1978,124900
"new.row.3880","37860",1979,146096
"new.row.3881","37860",1980,160743
"new.row.3882","37860",1981,195341
"new.row.3883","37860",1982,215098
"new.row.3884","37860",1983,241151
"new.row.3885","37860",1984,269943
"new.row.3886","37860",1985,292900
"new.row.3887","37860",1986,322615
"new.row.3888","37860",1987,338530
"new.row.3889","37860",1988,373384
"new.row.3890","37860",1989,399145
"new.row.3891","37860",1990,426936
"new.row.3892","37860",1991,451017
"new.row.3893","37860",1992,489554
"new.row.3894","37860",1993,505620
"new.row.3895","37860",1994,529859
"new.row.3896","37860",1995,546166
"new.row.3897","37860",1996,579626
"new.row.3898","37860",1997,616173
"new.row.3899","37860",1998,647269
"new.row.3900","37860",1999,670485
"new.row.3901","37860",2000,704174
"new.row.3902","37860",2001,749941
"new.row.3903","37860",2002,771240
"new.row.3904","37860",2003,811686
"new.row.3905","37860",2004,889658
"new.row.3906","37860",2005,946240
"new.row.3907","37860",2006,1032281
"new.row.3908","37860",2007,1056110
"new.row.3909","37860",2008,1060496
"new.row.3910","37860",2009,1060775
"new.row.3911","37860",2010,1081742
"new.row.3912","37860",2011,1011519
"new.row.3913","37860",2012,1040419
"new.row.3914","37860",2013,1176032
"new.row.3915","38940",1969,10781
"new.row.3916","38940",1970,12412
"new.row.3917","38940",1971,14601
"new.row.3918","38940",1972,18903
"new.row.3919","38940",1973,26816
"new.row.3920","38940",1974,31474
"new.row.3921","38940",1975,33146
"new.row.3922","38940",1976,37833
"new.row.3923","38940",1977,43123
"new.row.3924","38940",1978,51937
"new.row.3925","38940",1979,66063
"new.row.3926","38940",1980,83903
"new.row.3927","38940",1981,99992
"new.row.3928","38940",1982,111108
"new.row.3929","38940",1983,119742
"new.row.3930","38940",1984,132984
"new.row.3931","38940",1985,148160
"new.row.3932","38940",1986,170297
"new.row.3933","38940",1987,192185
"new.row.3934","38940",1988,223815
"new.row.3935","38940",1989,252133
"new.row.3936","38940",1990,264583
"new.row.3937","38940",1991,273644
"new.row.3938","38940",1992,292540
"new.row.3939","38940",1993,308989
"new.row.3940","38940",1994,330634
"new.row.3941","38940",1995,349115
"new.row.3942","38940",1996,365916
"new.row.3943","38940",1997,386018
"new.row.3944","38940",1998,407970
"new.row.3945","38940",1999,430764
"new.row.3946","38940",2000,458183
"new.row.3947","38940",2001,501597
"new.row.3948","38940",2002,538568
"new.row.3949","38940",2003,580523
"new.row.3950","38940",2004,659336
"new.row.3951","38940",2005,742122
"new.row.3952","38940",2006,812608
"new.row.3953","38940",2007,851270
"new.row.3954","38940",2008,833012
"new.row.3955","38940",2009,798747
"new.row.3956","38940",2010,811809
"new.row.3957","38940",2011,749366
"new.row.3958","38940",2012,772341
"new.row.3959","38940",2013,882778
"new.row.3960","39460",1969,2724
"new.row.3961","39460",1970,3282
"new.row.3962","39460",1971,4050
"new.row.3963","39460",1972,5624
"new.row.3964","39460",1973,7591
"new.row.3965","39460",1974,8688
"new.row.3966","39460",1975,8787
"new.row.3967","39460",1976,10214
"new.row.3968","39460",1977,12511
"new.row.3969","39460",1978,15797
"new.row.3970","39460",1979,18416
"new.row.3971","39460",1980,22005
"new.row.3972","39460",1981,27682
"new.row.3973","39460",1982,29458
"new.row.3974","39460",1983,33087
"new.row.3975","39460",1984,37893
"new.row.3976","39460",1985,43555
"new.row.3977","39460",1986,50794
"new.row.3978","39460",1987,57694
"new.row.3979","39460",1988,69738
"new.row.3980","39460",1989,81956
"new.row.3981","39460",1990,87584
"new.row.3982","39460",1991,92119
"new.row.3983","39460",1992,100349
"new.row.3984","39460",1993,106622
"new.row.3985","39460",1994,116547
"new.row.3986","39460",1995,123535
"new.row.3987","39460",1996,130437
"new.row.3988","39460",1997,135545
"new.row.3989","39460",1998,145457
"new.row.3990","39460",1999,156755
"new.row.3991","39460",2000,168344
"new.row.3992","39460",2001,185414
"new.row.3993","39460",2002,192465
"new.row.3994","39460",2003,201410
"new.row.3995","39460",2004,230675
"new.row.3996","39460",2005,249729
"new.row.3997","39460",2006,282088
"new.row.3998","39460",2007,281804
"new.row.3999","39460",2008,276176
"new.row.4000","39460",2009,268465
"new.row.4001","39460",2010,275834
"new.row.4002","39460",2011,260014
"new.row.4003","39460",2012,268806
"new.row.4004","39460",2013,312593
"new.row.4005","42680",1969,5083
"new.row.4006","42680",1970,5485
"new.row.4007","42680",1971,6783
"new.row.4008","42680",1972,8814
"new.row.4009","42680",1973,12477
"new.row.4010","42680",1974,14028
"new.row.4011","42680",1975,14352
"new.row.4012","42680",1976,16601
"new.row.4013","42680",1977,19349
"new.row.4014","42680",1978,23668
"new.row.4015","42680",1979,28335
"new.row.4016","42680",1980,30950
"new.row.4017","42680",1981,39720
"new.row.4018","42680",1982,40811
"new.row.4019","42680",1983,43849
"new.row.4020","42680",1984,51911
"new.row.4021","42680",1985,59593
"new.row.4022","42680",1986,69320
"new.row.4023","42680",1987,76745
"new.row.4024","42680",1988,89616
"new.row.4025","42680",1989,105385
"new.row.4026","42680",1990,109887
"new.row.4027","42680",1991,109893
"new.row.4028","42680",1992,116950
"new.row.4029","42680",1993,122579
"new.row.4030","42680",1994,133668
"new.row.4031","42680",1995,142418
"new.row.4032","42680",1996,152074
"new.row.4033","42680",1997,160700
"new.row.4034","42680",1998,170936
"new.row.4035","42680",1999,185469
"new.row.4036","42680",2000,194772
"new.row.4037","42680",2001,203604
"new.row.4038","42680",2002,212746
"new.row.4039","42680",2003,236420
"new.row.4040","42680",2004,261934
"new.row.4041","42680",2005,283232
"new.row.4042","42680",2006,311383
"new.row.4043","42680",2007,326327
"new.row.4044","42680",2008,328474
"new.row.4045","42680",2009,310390
"new.row.4046","42680",2010,305720
"new.row.4047","42680",2011,282342
"new.row.4048","42680",2012,297835
"new.row.4049","42680",2013,338315
"new.row.4050","42700",1969,3177
"new.row.4051","42700",1970,3500
"new.row.4052","42700",1971,4108
"new.row.4053","42700",1972,4775
"new.row.4054","42700",1973,6415
"new.row.4055","42700",1974,7790
"new.row.4056","42700",1975,8307
"new.row.4057","42700",1976,9181
"new.row.4058","42700",1977,10338
"new.row.4059","42700",1978,12224
"new.row.4060","42700",1979,14574
"new.row.4061","42700",1980,16722
"new.row.4062","42700",1981,20064
"new.row.4063","42700",1982,21532
"new.row.4064","42700",1983,24163
"new.row.4065","42700",1984,28196
"new.row.4066","42700",1985,32660
"new.row.4067","42700",1986,37136
"new.row.4068","42700",1987,39969
"new.row.4069","42700",1988,46333
"new.row.4070","42700",1989,52740
"new.row.4071","42700",1990,55544
"new.row.4072","42700",1991,59256
"new.row.4073","42700",1992,63165
"new.row.4074","42700",1993,67327
"new.row.4075","42700",1994,73382
"new.row.4076","42700",1995,76868
"new.row.4077","42700",1996,77797
"new.row.4078","42700",1997,81299
"new.row.4079","42700",1998,82931
"new.row.4080","42700",1999,85461
"new.row.4081","42700",2000,87493
"new.row.4082","42700",2001,99964
"new.row.4083","42700",2002,108958
"new.row.4084","42700",2003,116835
"new.row.4085","42700",2004,128009
"new.row.4086","42700",2005,139921
"new.row.4087","42700",2006,153063
"new.row.4088","42700",2007,159666
"new.row.4089","42700",2008,156363
"new.row.4090","42700",2009,157752
"new.row.4091","42700",2010,160362
"new.row.4092","42700",2011,149635
"new.row.4093","42700",2012,151235
"new.row.4094","42700",2013,169404
"new.row.4095","45220",1969,20787
"new.row.4096","45220",1970,23566
"new.row.4097","45220",1971,28966
"new.row.4098","45220",1972,35850
"new.row.4099","45220",1973,48662
"new.row.4100","45220",1974,56903
"new.row.4101","45220",1975,62054
"new.row.4102","45220",1976,70559
"new.row.4103","45220",1977,78583
"new.row.4104","45220",1978,92922
"new.row.4105","45220",1979,111764
"new.row.4106","45220",1980,122191
"new.row.4107","45220",1981,148207
"new.row.4108","45220",1982,162314
"new.row.4109","45220",1983,177507
"new.row.4110","45220",1984,198603
"new.row.4111","45220",1985,219344
"new.row.4112","45220",1986,250568
"new.row.4113","45220",1987,270086
"new.row.4114","45220",1988,316599
"new.row.4115","45220",1989,345890
"new.row.4116","45220",1990,374634
"new.row.4117","45220",1991,401885
"new.row.4118","45220",1992,429302
"new.row.4119","45220",1993,453609
"new.row.4120","45220",1994,489181
"new.row.4121","45220",1995,523725
"new.row.4122","45220",1996,551490
"new.row.4123","45220",1997,583043
"new.row.4124","45220",1998,629110
"new.row.4125","45220",1999,673894
"new.row.4126","45220",2000,707268
"new.row.4127","45220",2001,761440
"new.row.4128","45220",2002,774908
"new.row.4129","45220",2003,802278
"new.row.4130","45220",2004,850231
"new.row.4131","45220",2005,900995
"new.row.4132","45220",2006,956953
"new.row.4133","45220",2007,1004535
"new.row.4134","45220",2008,1016929
"new.row.4135","45220",2009,998211
"new.row.4136","45220",2010,1009335
"new.row.4137","45220",2011,898637
"new.row.4138","45220",2012,907089
"new.row.4139","45220",2013,1033107
"new.row.4140","45300",1969,163748
"new.row.4141","45300",1970,186697
"new.row.4142","45300",1971,217856
"new.row.4143","45300",1972,271412
"new.row.4144","45300",1973,369372
"new.row.4145","45300",1974,427349
"new.row.4146","45300",1975,438549
"new.row.4147","45300",1976,481335
"new.row.4148","45300",1977,544288
"new.row.4149","45300",1978,649760
"new.row.4150","45300",1979,783780
"new.row.4151","45300",1980,903469
"new.row.4152","45300",1981,1099800
"new.row.4153","45300",1982,1223135
"new.row.4154","45300",1983,1389413
"new.row.4155","45300",1984,1623627
"new.row.4156","45300",1985,1820009
"new.row.4157","45300",1986,2026789
"new.row.4158","45300",1987,2189286
"new.row.4159","45300",1988,2476417
"new.row.4160","45300",1989,2694922
"new.row.4161","45300",1990,2834510
"new.row.4162","45300",1991,2967945
"new.row.4163","45300",1992,3181096
"new.row.4164","45300",1993,3365925
"new.row.4165","45300",1994,3642030
"new.row.4166","45300",1995,3880882
"new.row.4167","45300",1996,4126777
"new.row.4168","45300",1997,4419312
"new.row.4169","45300",1998,4787973
"new.row.4170","45300",1999,5155970
"new.row.4171","45300",2000,5519893
"new.row.4172","45300",2001,5752566
"new.row.4173","45300",2002,6027442
"new.row.4174","45300",2003,6300906
"new.row.4175","45300",2004,6801141
"new.row.4176","45300",2005,7311899
"new.row.4177","45300",2006,7873178
"new.row.4178","45300",2007,8098558
"new.row.4179","45300",2008,8096805
"new.row.4180","45300",2009,7878600
"new.row.4181","45300",2010,7989594
"new.row.4182","45300",2011,7380667
"new.row.4183","45300",2012,7748111
"new.row.4184","45300",2013,8958132
"new.row.4185","45540",1969,1803
"new.row.4186","45540",1970,2089
"new.row.4187","45540",1971,2296
"new.row.4188","45540",1972,2573
"new.row.4189","45540",1973,3208
"new.row.4190","45540",1974,3671
"new.row.4191","45540",1975,3978
"new.row.4192","45540",1976,4320
"new.row.4193","45540",1977,4774
"new.row.4194","45540",1978,5571
"new.row.4195","45540",1979,6433
"new.row.4196","45540",1980,7014
"new.row.4197","45540",1981,8335
"new.row.4198","45540",1982,9516
"new.row.4199","45540",1983,10554
"new.row.4200","45540",1984,12037
"new.row.4201","45540",1985,13666
"new.row.4202","45540",1986,14984
"new.row.4203","45540",1987,15473
"new.row.4204","45540",1988,17523
"new.row.4205","45540",1989,18903
"new.row.4206","45540",1990,18907
"new.row.4207","45540",1991,19853
"new.row.4208","45540",1992,21429
"new.row.4209","45540",1993,22370
"new.row.4210","45540",1994,24206
"new.row.4211","45540",1995,26925
"new.row.4212","45540",1996,30351
"new.row.4213","45540",1997,32739
"new.row.4214","45540",1998,34567
"new.row.4215","45540",1999,37446
"new.row.4216","45540",2000,39667
"new.row.4217","45540",2001,47238
"new.row.4218","45540",2002,50594
"new.row.4219","45540",2003,61302
"new.row.4220","45540",2004,68542
"new.row.4221","45540",2005,84648
"new.row.4222","45540",2006,115961
"new.row.4223","45540",2007,128261
"new.row.4224","45540",2008,138001
"new.row.4225","45540",2009,148656
"new.row.4226","45540",2010,161494
"new.row.4227","45540",2011,166659
"new.row.4228","45540",2012,175734
"new.row.4229","45540",2013,213543
"new.row.4230","10500",1969,15721
"new.row.4231","10500",1970,18064
"new.row.4232","10500",1971,21332
"new.row.4233","10500",1972,26092
"new.row.4234","10500",1973,33919
"new.row.4235","10500",1974,36260
"new.row.4236","10500",1975,37272
"new.row.4237","10500",1976,42341
"new.row.4238","10500",1977,47827
"new.row.4239","10500",1978,57001
"new.row.4240","10500",1979,68376
"new.row.4241","10500",1980,75763
"new.row.4242","10500",1981,89744
"new.row.4243","10500",1982,94880
"new.row.4244","10500",1983,102460
"new.row.4245","10500",1984,115267
"new.row.4246","10500",1985,125679
"new.row.4247","10500",1986,130292
"new.row.4248","10500",1987,132851
"new.row.4249","10500",1988,146216
"new.row.4250","10500",1989,155228
"new.row.4251","10500",1990,166212
"new.row.4252","10500",1991,177460
"new.row.4253","10500",1992,183592
"new.row.4254","10500",1993,195109
"new.row.4255","10500",1994,214938
"new.row.4256","10500",1995,227328
"new.row.4257","10500",1996,240644
"new.row.4258","10500",1997,245036
"new.row.4259","10500",1998,251954
"new.row.4260","10500",1999,255632
"new.row.4261","10500",2000,263439
"new.row.4262","10500",2001,275905
"new.row.4263","10500",2002,282328
"new.row.4264","10500",2003,291851
"new.row.4265","10500",2004,312080
"new.row.4266","10500",2005,322374
"new.row.4267","10500",2006,332720
"new.row.4268","10500",2007,335893
"new.row.4269","10500",2008,353093
"new.row.4270","10500",2009,351749
"new.row.4271","10500",2010,357237
"new.row.4272","10500",2011,321356
"new.row.4273","10500",2012,325567
"new.row.4274","10500",2013,371417
"new.row.4275","12020",1969,13097
"new.row.4276","12020",1970,14503
"new.row.4277","12020",1971,16774
"new.row.4278","12020",1972,20077
"new.row.4279","12020",1973,25915
"new.row.4280","12020",1974,30536
"new.row.4281","12020",1975,31436
"new.row.4282","12020",1976,36710
"new.row.4283","12020",1977,41017
"new.row.4284","12020",1978,47935
"new.row.4285","12020",1979,54760
"new.row.4286","12020",1980,59414
"new.row.4287","12020",1981,70904
"new.row.4288","12020",1982,75119
"new.row.4289","12020",1983,85981
"new.row.4290","12020",1984,95629
"new.row.4291","12020",1985,107113
"new.row.4292","12020",1986,118968
"new.row.4293","12020",1987,127801
"new.row.4294","12020",1988,146014
"new.row.4295","12020",1989,158331
"new.row.4296","12020",1990,170741
"new.row.4297","12020",1991,177350
"new.row.4298","12020",1992,186659
"new.row.4299","12020",1993,198814
"new.row.4300","12020",1994,213691
"new.row.4301","12020",1995,229113
"new.row.4302","12020",1996,242470
"new.row.4303","12020",1997,250368
"new.row.4304","12020",1998,267867
"new.row.4305","12020",1999,281938
"new.row.4306","12020",2000,291783
"new.row.4307","12020",2001,309945
"new.row.4308","12020",2002,323441
"new.row.4309","12020",2003,339815
"new.row.4310","12020",2004,365454
"new.row.4311","12020",2005,380898
"new.row.4312","12020",2006,408581
"new.row.4313","12020",2007,409442
"new.row.4314","12020",2008,453603
"new.row.4315","12020",2009,443594
"new.row.4316","12020",2010,448147
"new.row.4317","12020",2011,404086
"new.row.4318","12020",2012,415860
"new.row.4319","12020",2013,483117
"new.row.4320","12060",1969,396285
"new.row.4321","12060",1970,424490
"new.row.4322","12060",1971,485358
"new.row.4323","12060",1972,587731
"new.row.4324","12060",1973,767896
"new.row.4325","12060",1974,862290
"new.row.4326","12060",1975,880136
"new.row.4327","12060",1976,1009289
"new.row.4328","12060",1977,1148484
"new.row.4329","12060",1978,1351575
"new.row.4330","12060",1979,1586598
"new.row.4331","12060",1980,1788440
"new.row.4332","12060",1981,2148708
"new.row.4333","12060",1982,2366061
"new.row.4334","12060",1983,2681241
"new.row.4335","12060",1984,3192267
"new.row.4336","12060",1985,3691992
"new.row.4337","12060",1986,4155215
"new.row.4338","12060",1987,4528976
"new.row.4339","12060",1988,5075496
"new.row.4340","12060",1989,5379936
"new.row.4341","12060",1990,5790521
"new.row.4342","12060",1991,6085762
"new.row.4343","12060",1992,6580567
"new.row.4344","12060",1993,7087003
"new.row.4345","12060",1994,7724395
"new.row.4346","12060",1995,8385326
"new.row.4347","12060",1996,9078337
"new.row.4348","12060",1997,9784319
"new.row.4349","12060",1998,10811113
"new.row.4350","12060",1999,11841838
"new.row.4351","12060",2000,12838019
"new.row.4352","12060",2001,13355149
"new.row.4353","12060",2002,13489463
"new.row.4354","12060",2003,13787830
"new.row.4355","12060",2004,14965526
"new.row.4356","12060",2005,15598438
"new.row.4357","12060",2006,16551507
"new.row.4358","12060",2007,17167721
"new.row.4359","12060",2008,17711700
"new.row.4360","12060",2009,17099343
"new.row.4361","12060",2010,17374264
"new.row.4362","12060",2011,15969460
"new.row.4363","12060",2012,16618382
"new.row.4364","12060",2013,19685256
"new.row.4365","12260",1969,60408
"new.row.4366","12260",1970,59380
"new.row.4367","12260",1971,67016
"new.row.4368","12260",1972,75514
"new.row.4369","12260",1973,94054
"new.row.4370","12260",1974,109140
"new.row.4371","12260",1975,114385
"new.row.4372","12260",1976,136281
"new.row.4373","12260",1977,150578
"new.row.4374","12260",1978,171732
"new.row.4375","12260",1979,199677
"new.row.4376","12260",1980,219943
"new.row.4377","12260",1981,259245
"new.row.4378","12260",1982,297024
"new.row.4379","12260",1983,330052
"new.row.4380","12260",1984,388635
"new.row.4381","12260",1985,440626
"new.row.4382","12260",1986,487627
"new.row.4383","12260",1987,495899
"new.row.4384","12260",1988,549924
"new.row.4385","12260",1989,608658
"new.row.4386","12260",1990,683727
"new.row.4387","12260",1991,712566
"new.row.4388","12260",1992,756503
"new.row.4389","12260",1993,782282
"new.row.4390","12260",1994,810717
"new.row.4391","12260",1995,828559
"new.row.4392","12260",1996,830912
"new.row.4393","12260",1997,857519
"new.row.4394","12260",1998,908839
"new.row.4395","12260",1999,957149
"new.row.4396","12260",2000,993468
"new.row.4397","12260",2001,1032411
"new.row.4398","12260",2002,1078516
"new.row.4399","12260",2003,1124965
"new.row.4400","12260",2004,1203637
"new.row.4401","12260",2005,1241772
"new.row.4402","12260",2006,1303534
"new.row.4403","12260",2007,1329301
"new.row.4404","12260",2008,1419056
"new.row.4405","12260",2009,1421772
"new.row.4406","12260",2010,1475429
"new.row.4407","12260",2011,1365746
"new.row.4408","12260",2012,1394921
"new.row.4409","12260",2013,1571870
"new.row.4410","15260",1969,9702
"new.row.4411","15260",1970,10952
"new.row.4412","15260",1971,13264
"new.row.4413","15260",1972,15250
"new.row.4414","15260",1973,18125
"new.row.4415","15260",1974,19641
"new.row.4416","15260",1975,18695
"new.row.4417","15260",1976,22053
"new.row.4418","15260",1977,24900
"new.row.4419","15260",1978,28580
"new.row.4420","15260",1979,33403
"new.row.4421","15260",1980,37008
"new.row.4422","15260",1981,42747
"new.row.4423","15260",1982,44653
"new.row.4424","15260",1983,48038
"new.row.4425","15260",1984,54688
"new.row.4426","15260",1985,62484
"new.row.4427","15260",1986,68210
"new.row.4428","15260",1987,72101
"new.row.4429","15260",1988,81220
"new.row.4430","15260",1989,87378
"new.row.4431","15260",1990,91812
"new.row.4432","15260",1991,96000
"new.row.4433","15260",1992,102506
"new.row.4434","15260",1993,109032
"new.row.4435","15260",1994,116267
"new.row.4436","15260",1995,124503
"new.row.4437","15260",1996,131582
"new.row.4438","15260",1997,135853
"new.row.4439","15260",1998,143857
"new.row.4440","15260",1999,148562
"new.row.4441","15260",2000,155616
"new.row.4442","15260",2001,163616
"new.row.4443","15260",2002,172201
"new.row.4444","15260",2003,184386
"new.row.4445","15260",2004,205657
"new.row.4446","15260",2005,212362
"new.row.4447","15260",2006,234138
"new.row.4448","15260",2007,232406
"new.row.4449","15260",2008,249421
"new.row.4450","15260",2009,239216
"new.row.4451","15260",2010,235832
"new.row.4452","15260",2011,213412
"new.row.4453","15260",2012,220552
"new.row.4454","15260",2013,252831
"new.row.4455","16860",1969,73538
"new.row.4456","16860",1970,76760
"new.row.4457","16860",1971,86418
"new.row.4458","16860",1972,103374
"new.row.4459","16860",1973,133722
"new.row.4460","16860",1974,149824
"new.row.4461","16860",1975,152748
"new.row.4462","16860",1976,174051
"new.row.4463","16860",1977,191994
"new.row.4464","16860",1978,222836
"new.row.4465","16860",1979,250372
"new.row.4466","16860",1980,263229
"new.row.4467","16860",1981,304253
"new.row.4468","16860",1982,319349
"new.row.4469","16860",1983,343115
"new.row.4470","16860",1984,385049
"new.row.4471","16860",1985,420743
"new.row.4472","16860",1986,464410
"new.row.4473","16860",1987,507109
"new.row.4474","16860",1988,566691
"new.row.4475","16860",1989,598982
"new.row.4476","16860",1990,637020
"new.row.4477","16860",1991,664462
"new.row.4478","16860",1992,701306
"new.row.4479","16860",1993,757313
"new.row.4480","16860",1994,810877
"new.row.4481","16860",1995,857440
"new.row.4482","16860",1996,893108
"new.row.4483","16860",1997,943647
"new.row.4484","16860",1998,983540
"new.row.4485","16860",1999,1058973
"new.row.4486","16860",2000,1113751
"new.row.4487","16860",2001,1136167
"new.row.4488","16860",2002,1170903
"new.row.4489","16860",2003,1221472
"new.row.4490","16860",2004,1264798
"new.row.4491","16860",2005,1325691
"new.row.4492","16860",2006,1399266
"new.row.4493","16860",2007,1458770
"new.row.4494","16860",2008,1494737
"new.row.4495","16860",2009,1443661
"new.row.4496","16860",2010,1499822
"new.row.4497","16860",2011,1386714
"new.row.4498","16860",2012,1421561
"new.row.4499","16860",2013,1628849
"new.row.4500","19140",1969,14036
"new.row.4501","19140",1970,14777
"new.row.4502","19140",1971,17866
"new.row.4503","19140",1972,22166
"new.row.4504","19140",1973,28752
"new.row.4505","19140",1974,30881
"new.row.4506","19140",1975,29680
"new.row.4507","19140",1976,36331
"new.row.4508","19140",1977,41985
