    13000,"Georgia",12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)"
    13000,"Georgia",12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)"
    13000,"Georgia",12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)"
    13000,"Georgia",15260,"Brunswick, GA (Metropolitan Statistical Area)"
    13000,"Georgia",16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)"
    13000,"Georgia",17980,"Columbus, GA-AL (Metropolitan Statistical Area)"
    13000,"Georgia",19140,"Dalton, GA (Metropolitan Statistical Area)"
    13000,"Georgia",23580,"Gainesville, GA (Metropolitan Statistical Area)"
    13000,"Georgia",25980,"Hinesville, GA (Metropolitan Statistical Area)"
    13000,"Georgia",31420,"Macon, GA (Metropolitan Statistical Area)"
    13000,"Georgia",40660,"Rome, GA (Metropolitan Statistical Area)"
    13000,"Georgia",42340,"Savannah, GA (Metropolitan Statistical Area)"
    13000,"Georgia",46660,"Valdosta, GA (Metropolitan Statistical Area)"
    13000,"Georgia",47580,"Warner Robins, GA (Metropolitan Statistical Area)"
    15000,"Hawaii",27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"
    15000,"Hawaii",46520,"Urban Honolulu, HI (Metropolitan Statistical Area)"
    16000,"Idaho",14260,"Boise City, ID (Metropolitan Statistical Area)"
    16000,"Idaho",17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)"
    16000,"Idaho",26820,"Idaho Falls, ID (Metropolitan Statistical Area)"
    16000,"Idaho",30300,"Lewiston, ID-WA (Metropolitan Statistical Area)"
    16000,"Idaho",30860,"Logan, UT-ID (Metropolitan Statistical Area)"
    16000,"Idaho",38540,"Pocatello, ID (Metropolitan Statistical Area)"
    17000,"Illinois",14010,"Bloomington, IL (Metropolitan Statistical Area)"
    17000,"Illinois",16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)"
    17000,"Illinois",16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)"
    17000,"Illinois",16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)"
    17000,"Illinois",16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
    17000,"Illinois",19180,"Danville, IL (Metropolitan Statistical Area)"
    17000,"Illinois",19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)"
    17000,"Illinois",19500,"Decatur, IL (Metropolitan Statistical Area)"
    17000,"Illinois",28100,"Kankakee, IL (Metropolitan Statistical Area)"
    17000,"Illinois",37900,"Peoria, IL (Metropolitan Statistical Area)"
    17000,"Illinois",40420,"Rockford, IL (Metropolitan Statistical Area)"
    17000,"Illinois",41180,"St. Louis, MO-IL (Metropolitan Statistical Area)"
    17000,"Illinois",44100,"Springfield, IL (Metropolitan Statistical Area)"
    18000,"Indiana",14020,"Bloomington, IN (Metropolitan Statistical Area)"
    18000,"Indiana",16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
    18000,"Indiana",17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"
    18000,"Indiana",18020,"Columbus, IN (Metropolitan Statistical Area)"
    18000,"Indiana",21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)"
    18000,"Indiana",21780,"Evansville, IN-KY (Metropolitan Statistical Area)"
    18000,"Indiana",23060,"Fort Wayne, IN (Metropolitan Statistical Area)"
    18000,"Indiana",26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)"
    18000,"Indiana",29020,"Kokomo, IN (Metropolitan Statistical Area)"
    18000,"Indiana",29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)"
    18000,"Indiana",31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)"
    18000,"Indiana",33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)"
    18000,"Indiana",34620,"Muncie, IN (Metropolitan Statistical Area)"
    18000,"Indiana",43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)"
    18000,"Indiana",45460,"Terre Haute, IN (Metropolitan Statistical Area)"
    19000,"Iowa",11180,"Ames, IA (Metropolitan Statistical Area)"
    19000,"Iowa",16300,"Cedar Rapids, IA (Metropolitan Statistical Area)"
    19000,"Iowa",19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)"
    19000,"Iowa",19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)"
    19000,"Iowa",20220,"Dubuque, IA (Metropolitan Statistical Area)"
    19000,"Iowa",26980,"Iowa City, IA (Metropolitan Statistical Area)"
    19000,"Iowa",36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"
    19000,"Iowa",43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)"
    19000,"Iowa",47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)"
    20000,"Kansas",28140,"Kansas City, MO-KS (Metropolitan Statistical Area)"
    20000,"Kansas",29940,"Lawrence, KS (Metropolitan Statistical Area)"
    20000,"Kansas",31740,"Manhattan, KS (Metropolitan Statistical Area)"
    20000,"Kansas",41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)"
    20000,"Kansas",45820,"Topeka, KS (Metropolitan Statistical Area)"
    20000,"Kansas",48620,"Wichita, KS (Metropolitan Statistical Area)"
    21000,"Kentucky",14540,"Bowling Green, KY (Metropolitan Statistical Area)"
    21000,"Kentucky",17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"
    21000,"Kentucky",17300,"Clarksville, TN-KY (Metropolitan Statistical Area)"
    21000,"Kentucky",21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"
    21000,"Kentucky",21780,"Evansville, IN-KY (Metropolitan Statistical Area)"
    21000,"Kentucky",26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"
    21000,"Kentucky",30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)"
    21000,"Kentucky",31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)"
    21000,"Kentucky",36980,"Owensboro, KY (Metropolitan Statistical Area)"
    22000,"Louisiana",10780,"Alexandria, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",12940,"Baton Rouge, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",25220,"Hammond, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",29180,"Lafayette, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",29340,"Lake Charles, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",33740,"Monroe, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)"
    22000,"Louisiana",43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)"
    23000,"Maine",12620,"Bangor, ME (Metropolitan Statistical Area)"
    23000,"Maine",30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)"
    23000,"Maine",38860,"Portland-South Portland, ME (Metropolitan Statistical Area)"
