"","msa.fips","year","average.compensation.per.job"
"new.row.1698","43780",2007,45472
"new.row.1699","43780",2008,47234
"new.row.1700","43780",2009,47247
"new.row.1701","43780",2010,47568
"new.row.1702","43780",2011,48144
"new.row.1703","43780",2012,49688
"new.row.1704","45460",2001,33937
"new.row.1705","45460",2002,35392
"new.row.1706","45460",2003,36757
"new.row.1707","45460",2004,38028
"new.row.1708","45460",2005,39394
"new.row.1709","45460",2006,40518
"new.row.1710","45460",2007,41762
"new.row.1711","45460",2008,43466
"new.row.1712","45460",2009,43094
"new.row.1713","45460",2010,44869
"new.row.1714","45460",2011,45341
"new.row.1715","45460",2012,46678
"new.row.1716","11180",2001,34204
"new.row.1717","11180",2002,34968
"new.row.1718","11180",2003,36742
"new.row.1719","11180",2004,38002
"new.row.1720","11180",2005,39522
"new.row.1721","11180",2006,41375
"new.row.1722","11180",2007,43147
"new.row.1723","11180",2008,45057
"new.row.1724","11180",2009,46253
"new.row.1725","11180",2010,47389
"new.row.1726","11180",2011,47370
"new.row.1727","11180",2012,49524
"new.row.1728","16300",2001,40584
"new.row.1729","16300",2002,40953
"new.row.1730","16300",2003,42651
"new.row.1731","16300",2004,44549
"new.row.1732","16300",2005,46205
"new.row.1733","16300",2006,47410
"new.row.1734","16300",2007,50058
"new.row.1735","16300",2008,51756
"new.row.1736","16300",2009,51675
"new.row.1737","16300",2010,52754
"new.row.1738","16300",2011,54047
"new.row.1739","16300",2012,55414
"new.row.1740","19780",2001,41168
"new.row.1741","19780",2002,42815
"new.row.1742","19780",2003,44705
"new.row.1743","19780",2004,46742
"new.row.1744","19780",2005,48415
"new.row.1745","19780",2006,50097
"new.row.1746","19780",2007,52018
"new.row.1747","19780",2008,53416
"new.row.1748","19780",2009,53855
"new.row.1749","19780",2010,55303
"new.row.1750","19780",2011,56795
"new.row.1751","19780",2012,58582
"new.row.1752","20220",2001,33959
"new.row.1753","20220",2002,35094
"new.row.1754","20220",2003,36514
"new.row.1755","20220",2004,38220
"new.row.1756","20220",2005,39453
"new.row.1757","20220",2006,40132
"new.row.1758","20220",2007,41527
"new.row.1759","20220",2008,43305
"new.row.1760","20220",2009,43686
"new.row.1761","20220",2010,44894
"new.row.1762","20220",2011,46308
"new.row.1763","20220",2012,48600
"new.row.1764","26980",2001,36168
"new.row.1765","26980",2002,36794
"new.row.1766","26980",2003,38107
"new.row.1767","26980",2004,39693
"new.row.1768","26980",2005,41010
"new.row.1769","26980",2006,42552
"new.row.1770","26980",2007,44418
"new.row.1771","26980",2008,46464
"new.row.1772","26980",2009,47574
"new.row.1773","26980",2010,49087
"new.row.1774","26980",2011,49265
"new.row.1775","26980",2012,51110
"new.row.1776","36540",2001,39951
"new.row.1777","36540",2002,41897
"new.row.1778","36540",2003,43513
"new.row.1779","36540",2004,45263
"new.row.1780","36540",2005,46877
"new.row.1781","36540",2006,48989
"new.row.1782","36540",2007,50512
"new.row.1783","36540",2008,51740
"new.row.1784","36540",2009,52504
"new.row.1785","36540",2010,52884
"new.row.1786","36540",2011,54252
"new.row.1787","36540",2012,56300
"new.row.1788","43580",2001,34535
"new.row.1789","43580",2002,35436
"new.row.1790","43580",2003,36705
"new.row.1791","43580",2004,38260
"new.row.1792","43580",2005,38935
"new.row.1793","43580",2006,39539
"new.row.1794","43580",2007,41061
"new.row.1795","43580",2008,42604
"new.row.1796","43580",2009,42797
"new.row.1797","43580",2010,44578
"new.row.1798","43580",2011,44429
"new.row.1799","43580",2012,45697
"new.row.1800","47940",2001,34292
"new.row.1801","47940",2002,35234
"new.row.1802","47940",2003,36613
"new.row.1803","47940",2004,39070
"new.row.1804","47940",2005,40205
"new.row.1805","47940",2006,41505
"new.row.1806","47940",2007,43470
"new.row.1807","47940",2008,45381
"new.row.1808","47940",2009,46423
"new.row.1809","47940",2010,47022
"new.row.1810","47940",2011,48138
"new.row.1811","47940",2012,50070
"new.row.1812","28140",2001,43837
"new.row.1813","28140",2002,45325
"new.row.1814","28140",2003,46781
"new.row.1815","28140",2004,48685
"new.row.1816","28140",2005,50354
"new.row.1817","28140",2006,52162
"new.row.1818","28140",2007,54067
"new.row.1819","28140",2008,55787
"new.row.1820","28140",2009,56170
"new.row.1821","28140",2010,57837
"new.row.1822","28140",2011,58809
"new.row.1823","28140",2012,60245
"new.row.1824","29940",2001,29750
"new.row.1825","29940",2002,30682
"new.row.1826","29940",2003,31368
"new.row.1827","29940",2004,33345
"new.row.1828","29940",2005,34582
"new.row.1829","29940",2006,35975
"new.row.1830","29940",2007,37202
"new.row.1831","29940",2008,39398
"new.row.1832","29940",2009,39846
"new.row.1833","29940",2010,40656
"new.row.1834","29940",2011,41859
"new.row.1835","29940",2012,42811
"new.row.1836","31740",2001,29748
"new.row.1837","31740",2002,30719
"new.row.1838","31740",2003,31696
"new.row.1839","31740",2004,33673
"new.row.1840","31740",2005,34825
"new.row.1841","31740",2006,36370
"new.row.1842","31740",2007,37643
"new.row.1843","31740",2008,39324
"new.row.1844","31740",2009,39294
"new.row.1845","31740",2010,40814
"new.row.1846","31740",2011,43180
"new.row.1847","31740",2012,44133
"new.row.1848","41140",2001,33730
"new.row.1849","41140",2002,35072
"new.row.1850","41140",2003,35992
"new.row.1851","41140",2004,37308
"new.row.1852","41140",2005,38876
"new.row.1853","41140",2006,40494
"new.row.1854","41140",2007,41284
"new.row.1855","41140",2008,42511
"new.row.1856","41140",2009,43936
"new.row.1857","41140",2010,45819
"new.row.1858","41140",2011,46876
"new.row.1859","41140",2012,48708
"new.row.1860","45820",2001,36859
"new.row.1861","45820",2002,38204
"new.row.1862","45820",2003,38826
"new.row.1863","45820",2004,40747
"new.row.1864","45820",2005,42545
"new.row.1865","45820",2006,43940
"new.row.1866","45820",2007,45750
"new.row.1867","45820",2008,47124
"new.row.1868","45820",2009,47769
"new.row.1869","45820",2010,48936
"new.row.1870","45820",2011,50676
"new.row.1871","45820",2012,51667
"new.row.1872","48620",2001,40065
"new.row.1873","48620",2002,40760
"new.row.1874","48620",2003,41556
"new.row.1875","48620",2004,43714
"new.row.1876","48620",2005,45153
"new.row.1877","48620",2006,47794
"new.row.1878","48620",2007,49229
"new.row.1879","48620",2008,50764
"new.row.1880","48620",2009,50308
"new.row.1881","48620",2010,51439
"new.row.1882","48620",2011,53013
"new.row.1883","48620",2012,53947
"new.row.1884","14540",2001,33122
"new.row.1885","14540",2002,34515
"new.row.1886","14540",2003,35914
"new.row.1887","14540",2004,37346
"new.row.1888","14540",2005,38643
"new.row.1889","14540",2006,39592
"new.row.1890","14540",2007,40618
"new.row.1891","14540",2008,42635
"new.row.1892","14540",2009,42303
"new.row.1893","14540",2010,43893
"new.row.1894","14540",2011,44321
"new.row.1895","14540",2012,44824
"new.row.1896","17300",2001,34772
"new.row.1897","17300",2002,37056
"new.row.1898","17300",2003,39841
"new.row.1899","17300",2004,41324
"new.row.1900","17300",2005,45464
"new.row.1901","17300",2006,48242
"new.row.1902","17300",2007,49494
"new.row.1903","17300",2008,52727
"new.row.1904","17300",2009,54042
"new.row.1905","17300",2010,55568
"new.row.1906","17300",2011,57878
"new.row.1907","17300",2012,57710
"new.row.1908","21060",2001,35142
"new.row.1909","21060",2002,37327
"new.row.1910","21060",2003,39369
"new.row.1911","21060",2004,40962
"new.row.1912","21060",2005,43348
"new.row.1913","21060",2006,44874
"new.row.1914","21060",2007,45911
"new.row.1915","21060",2008,48019
"new.row.1916","21060",2009,50114
"new.row.1917","21060",2010,53593
"new.row.1918","21060",2011,56550
"new.row.1919","21060",2012,56577
"new.row.1920","26580",2001,35835
"new.row.1921","26580",2002,37077
"new.row.1922","26580",2003,38474
"new.row.1923","26580",2004,39821
"new.row.1924","26580",2005,41219
"new.row.1925","26580",2006,43165
"new.row.1926","26580",2007,44374
"new.row.1927","26580",2008,46594
"new.row.1928","26580",2009,47893
"new.row.1929","26580",2010,48962
"new.row.1930","26580",2011,50429
"new.row.1931","26580",2012,51277
"new.row.1932","30460",2001,39031
"new.row.1933","30460",2002,41074
"new.row.1934","30460",2003,42440
"new.row.1935","30460",2004,44229
"new.row.1936","30460",2005,45484
"new.row.1937","30460",2006,46451
"new.row.1938","30460",2007,48229
"new.row.1939","30460",2008,49396
"new.row.1940","30460",2009,49487
"new.row.1941","30460",2010,50619
"new.row.1942","30460",2011,51766
"new.row.1943","30460",2012,52622
"new.row.1944","36980",2001,34872
"new.row.1945","36980",2002,36139
"new.row.1946","36980",2003,37071
"new.row.1947","36980",2004,38123
"new.row.1948","36980",2005,39525
"new.row.1949","36980",2006,40645
"new.row.1950","36980",2007,42024
"new.row.1951","36980",2008,43912
"new.row.1952","36980",2009,43905
"new.row.1953","36980",2010,45720
"new.row.1954","36980",2011,46090
"new.row.1955","36980",2012,47007
"new.row.1956","10780",2001,32454
"new.row.1957","10780",2002,33998
"new.row.1958","10780",2003,35483
"new.row.1959","10780",2004,37193
"new.row.1960","10780",2005,38793
"new.row.1961","10780",2006,40749
"new.row.1962","10780",2007,42392
"new.row.1963","10780",2008,44123
"new.row.1964","10780",2009,45089
"new.row.1965","10780",2010,46179
"new.row.1966","10780",2011,46477
"new.row.1967","10780",2012,47933
"new.row.1968","12940",2001,37561
"new.row.1969","12940",2002,39079
"new.row.1970","12940",2003,40481
"new.row.1971","12940",2004,42136
"new.row.1972","12940",2005,44018
"new.row.1973","12940",2006,46779
"new.row.1974","12940",2007,49357
"new.row.1975","12940",2008,52346
"new.row.1976","12940",2009,53354
"new.row.1977","12940",2010,54896
"new.row.1978","12940",2011,55187
"new.row.1979","12940",2012,57141
"new.row.1980","25220",2001,27879
"new.row.1981","25220",2002,29145
"new.row.1982","25220",2003,30418
"new.row.1983","25220",2004,32513
"new.row.1984","25220",2005,34009
"new.row.1985","25220",2006,36726
"new.row.1986","25220",2007,37688
"new.row.1987","25220",2008,41026
"new.row.1988","25220",2009,40776
"new.row.1989","25220",2010,44449
"new.row.1990","25220",2011,45801
"new.row.1991","25220",2012,44838
"new.row.1992","26380",2001,36951
"new.row.1993","26380",2002,37721
"new.row.1994","26380",2003,38636
"new.row.1995","26380",2004,39937
"new.row.1996","26380",2005,42207
"new.row.1997","26380",2006,47467
"new.row.1998","26380",2007,50886
"new.row.1999","26380",2008,54203
"new.row.2000","26380",2009,54780
"new.row.2001","26380",2010,57416
"new.row.2002","26380",2011,57471
"new.row.2003","26380",2012,60838
"new.row.2004","29180",2001,35974
"new.row.2005","29180",2002,36778
"new.row.2006","29180",2003,38056
"new.row.2007","29180",2004,39629
"new.row.2008","29180",2005,42023
"new.row.2009","29180",2006,45818
"new.row.2010","29180",2007,48168
"new.row.2011","29180",2008,50481
"new.row.2012","29180",2009,50349
"new.row.2013","29180",2010,52458
"new.row.2014","29180",2011,53436
"new.row.2015","29180",2012,55630
"new.row.2016","29340",2001,37379
"new.row.2017","29340",2002,38141
"new.row.2018","29340",2003,39215
"new.row.2019","29340",2004,41007
"new.row.2020","29340",2005,43188
"new.row.2021","29340",2006,45895
"new.row.2022","29340",2007,47316
"new.row.2023","29340",2008,50353
"new.row.2024","29340",2009,50086
"new.row.2025","29340",2010,51526
"new.row.2026","29340",2011,52696
"new.row.2027","29340",2012,54382
"new.row.2028","33740",2001,32113
"new.row.2029","33740",2002,33653
"new.row.2030","33740",2003,34437
"new.row.2031","33740",2004,35600
"new.row.2032","33740",2005,37495
"new.row.2033","33740",2006,39044
"new.row.2034","33740",2007,40577
"new.row.2035","33740",2008,41484
"new.row.2036","33740",2009,42983
"new.row.2037","33740",2010,44419
"new.row.2038","33740",2011,44449
"new.row.2039","33740",2012,45708
"new.row.2040","35380",2001,38092
"new.row.2041","35380",2002,39895
"new.row.2042","35380",2003,41511
"new.row.2043","35380",2004,43404
"new.row.2044","35380",2005,46746
"new.row.2045","35380",2006,52634
"new.row.2046","35380",2007,53416
"new.row.2047","35380",2008,55563
"new.row.2048","35380",2009,56101
"new.row.2049","35380",2010,58202
"new.row.2050","35380",2011,58289
"new.row.2051","35380",2012,58997
"new.row.2052","43340",2001,35020
"new.row.2053","43340",2002,36676
"new.row.2054","43340",2003,38461
"new.row.2055","43340",2004,40397
"new.row.2056","43340",2005,41543
"new.row.2057","43340",2006,43439
"new.row.2058","43340",2007,44976
"new.row.2059","43340",2008,46639
"new.row.2060","43340",2009,47324
"new.row.2061","43340",2010,49932
"new.row.2062","43340",2011,50828
"new.row.2063","43340",2012,51495
"new.row.2064","12620",2001,35138
"new.row.2065","12620",2002,36174
"new.row.2066","12620",2003,37087
"new.row.2067","12620",2004,38574
"new.row.2068","12620",2005,39759
"new.row.2069","12620",2006,41540
"new.row.2070","12620",2007,42600
"new.row.2071","12620",2008,43668
"new.row.2072","12620",2009,44487
"new.row.2073","12620",2010,45238
"new.row.2074","12620",2011,45743
"new.row.2075","12620",2012,46599
"new.row.2076","30340",2001,33888
"new.row.2077","30340",2002,35882
"new.row.2078","30340",2003,37549
"new.row.2079","30340",2004,38801
"new.row.2080","30340",2005,39857
"new.row.2081","30340",2006,41831
"new.row.2082","30340",2007,42962
"new.row.2083","30340",2008,44268
"new.row.2084","30340",2009,44651
"new.row.2085","30340",2010,45468
"new.row.2086","30340",2011,46217
"new.row.2087","30340",2012,47642
"new.row.2088","38860",2001,39503
"new.row.2089","38860",2002,41095
"new.row.2090","38860",2003,42894
"new.row.2091","38860",2004,45179
"new.row.2092","38860",2005,46305
"new.row.2093","38860",2006,48536
"new.row.2094","38860",2007,50164
"new.row.2095","38860",2008,51467
"new.row.2096","38860",2009,51954
"new.row.2097","38860",2010,53156
"new.row.2098","38860",2011,54085
"new.row.2099","38860",2012,55069
"new.row.2100","12580",2001,46264
"new.row.2101","12580",2002,47973
"new.row.2102","12580",2003,50225
"new.row.2103","12580",2004,53590
"new.row.2104","12580",2005,56085
"new.row.2105","12580",2006,58234
"new.row.2106","12580",2007,60323
"new.row.2107","12580",2008,62123
"new.row.2108","12580",2009,63882
"new.row.2109","12580",2010,66102
"new.row.2110","12580",2011,67996
"new.row.2111","12580",2012,69293
"new.row.2112","15680",2001,48347
"new.row.2113","15680",2002,50761
"new.row.2114","15680",2003,53731
"new.row.2115","15680",2004,56568
"new.row.2116","15680",2005,59138
"new.row.2117","15680",2006,62621
"new.row.2118","15680",2007,65132
"new.row.2119","15680",2008,67033
"new.row.2120","15680",2009,71689
"new.row.2121","15680",2010,76370
"new.row.2122","15680",2011,80775
"new.row.2123","15680",2012,81312
"new.row.2124","19060",2001,33497
"new.row.2125","19060",2002,35165
"new.row.2126","19060",2003,36659
"new.row.2127","19060",2004,37554
"new.row.2128","19060",2005,38672
"new.row.2129","19060",2006,40184
"new.row.2130","19060",2007,41602
"new.row.2131","19060",2008,43224
"new.row.2132","19060",2009,44694
"new.row.2133","19060",2010,45749
"new.row.2134","19060",2011,46871
"new.row.2135","19060",2012,47416
"new.row.2136","25180",2001,36624
"new.row.2137","25180",2002,37643
"new.row.2138","25180",2003,39202
"new.row.2139","25180",2004,41236
"new.row.2140","25180",2005,42909
"new.row.2141","25180",2006,44611
"new.row.2142","25180",2007,45357
"new.row.2143","25180",2008,46794
"new.row.2144","25180",2009,47267
"new.row.2145","25180",2010,48214
"new.row.2146","25180",2011,49526
"new.row.2147","25180",2012,49677
"new.row.2148","12700",2001,37504
"new.row.2149","12700",2002,38939
"new.row.2150","12700",2003,40540
"new.row.2151","12700",2004,42814
"new.row.2152","12700",2005,43836
"new.row.2153","12700",2006,45349
"new.row.2154","12700",2007,46961
"new.row.2155","12700",2008,48381
"new.row.2156","12700",2009,48736
"new.row.2157","12700",2010,49763
"new.row.2158","12700",2011,51333
"new.row.2159","12700",2012,52104
"new.row.2160","14460",2001,56887
"new.row.2161","14460",2002,56954
"new.row.2162","14460",2003,58803
"new.row.2163","14460",2004,62896
"new.row.2164","14460",2005,64699
"new.row.2165","14460",2006,67601
"new.row.2166","14460",2007,71016
"new.row.2167","14460",2008,72746
"new.row.2168","14460",2009,72334
"new.row.2169","14460",2010,75230
"new.row.2170","14460",2011,77862
"new.row.2171","14460",2012,79412
"new.row.2172","38340",2001,37793
"new.row.2173","38340",2002,39503
"new.row.2174","38340",2003,39730
"new.row.2175","38340",2004,42358
"new.row.2176","38340",2005,43695
"new.row.2177","38340",2006,44702
"new.row.2178","38340",2007,46357
"new.row.2179","38340",2008,47606
"new.row.2180","38340",2009,47340
"new.row.2181","38340",2010,48056
"new.row.2182","38340",2011,49677
"new.row.2183","38340",2012,49713
"new.row.2184","39300",2001,40640
"new.row.2185","39300",2002,42368
"new.row.2186","39300",2003,44387
"new.row.2187","39300",2004,46322
"new.row.2188","39300",2005,47862
"new.row.2189","39300",2006,50062
"new.row.2190","39300",2007,51689
"new.row.2191","39300",2008,53577
"new.row.2192","39300",2009,53980
"new.row.2193","39300",2010,56252
"new.row.2194","39300",2011,57404
"new.row.2195","39300",2012,58602
"new.row.2196","44140",2001,39146
"new.row.2197","44140",2002,40719
"new.row.2198","44140",2003,42484
"new.row.2199","44140",2004,44404
"new.row.2200","44140",2005,46109
"new.row.2201","44140",2006,47687
"new.row.2202","44140",2007,49450
"new.row.2203","44140",2008,51526
"new.row.2204","44140",2009,52143
"new.row.2205","44140",2010,52951
"new.row.2206","44140",2011,54065
"new.row.2207","44140",2012,55389
"new.row.2208","11460",2001,48454
"new.row.2209","11460",2002,50844
"new.row.2210","11460",2003,53121
"new.row.2211","11460",2004,54890
"new.row.2212","11460",2005,55841
"new.row.2213","11460",2006,57402
"new.row.2214","11460",2007,59823
"new.row.2215","11460",2008,59581
"new.row.2216","11460",2009,59316
"new.row.2217","11460",2010,60043
"new.row.2218","11460",2011,60124
"new.row.2219","11460",2012,61914
"new.row.2220","12980",2001,41003
"new.row.2221","12980",2002,43173
"new.row.2222","12980",2003,44706
"new.row.2223","12980",2004,46484
"new.row.2224","12980",2005,48236
"new.row.2225","12980",2006,49840
"new.row.2226","12980",2007,51310
"new.row.2227","12980",2008,54101
"new.row.2228","12980",2009,55218
"new.row.2229","12980",2010,56458
"new.row.2230","12980",2011,55610
"new.row.2231","12980",2012,58577
"new.row.2232","13020",2001,38388
"new.row.2233","13020",2002,39104
"new.row.2234","13020",2003,40409
"new.row.2235","13020",2004,41104
"new.row.2236","13020",2005,42794
"new.row.2237","13020",2006,44719
"new.row.2238","13020",2007,45205
"new.row.2239","13020",2008,46252
"new.row.2240","13020",2009,47153
"new.row.2241","13020",2010,47531
"new.row.2242","13020",2011,48588
"new.row.2243","13020",2012,49377
"new.row.2244","19820",2001,51974
"new.row.2245","19820",2002,52789
"new.row.2246","19820",2003,54837
"new.row.2247","19820",2004,56590
"new.row.2248","19820",2005,58095
"new.row.2249","19820",2006,58928
"new.row.2250","19820",2007,60558
"new.row.2251","19820",2008,61617
"new.row.2252","19820",2009,60650
"new.row.2253","19820",2010,61797
"new.row.2254","19820",2011,63642
"new.row.2255","19820",2012,64648
"new.row.2256","22420",2001,44018
"new.row.2257","22420",2002,44823
"new.row.2258","22420",2003,46344
"new.row.2259","22420",2004,47719
"new.row.2260","22420",2005,48067
"new.row.2261","22420",2006,49700
"new.row.2262","22420",2007,49543
"new.row.2263","22420",2008,49325
"new.row.2264","22420",2009,48947
"new.row.2265","22420",2010,49442
"new.row.2266","22420",2011,50583
"new.row.2267","22420",2012,50855
"new.row.2268","24340",2001,41268
"new.row.2269","24340",2002,42495
"new.row.2270","24340",2003,43849
"new.row.2271","24340",2004,45127
"new.row.2272","24340",2005,46371
"new.row.2273","24340",2006,47710
"new.row.2274","24340",2007,48615
"new.row.2275","24340",2008,49489
"new.row.2276","24340",2009,50230
"new.row.2277","24340",2010,50993
"new.row.2278","24340",2011,51592
"new.row.2279","24340",2012,52676
"new.row.2280","27100",2001,40206
"new.row.2281","27100",2002,41088
"new.row.2282","27100",2003,41800
"new.row.2283","27100",2004,43774
"new.row.2284","27100",2005,45429
"new.row.2285","27100",2006,46707
"new.row.2286","27100",2007,48271
"new.row.2287","27100",2008,48732
"new.row.2288","27100",2009,49087
"new.row.2289","27100",2010,51056
"new.row.2290","27100",2011,50917
"new.row.2291","27100",2012,52116
"new.row.2292","28020",2001,41035
"new.row.2293","28020",2002,42568
"new.row.2294","28020",2003,45188
"new.row.2295","28020",2004,45724
"new.row.2296","28020",2005,46112
"new.row.2297","28020",2006,47486
"new.row.2298","28020",2007,49078
"new.row.2299","28020",2008,51356
"new.row.2300","28020",2009,51300
"new.row.2301","28020",2010,52735
"new.row.2302","28020",2011,53754
"new.row.2303","28020",2012,55224
"new.row.2304","29620",2001,43071
"new.row.2305","29620",2002,44265
"new.row.2306","29620",2003,45099
"new.row.2307","29620",2004,46062
"new.row.2308","29620",2005,47656
"new.row.2309","29620",2006,49415
"new.row.2310","29620",2007,50371
"new.row.2311","29620",2008,52082
"new.row.2312","29620",2009,52640
"new.row.2313","29620",2010,54423
"new.row.2314","29620",2011,54035
"new.row.2315","29620",2012,54876
"new.row.2316","33220",2001,51222
"new.row.2317","33220",2002,50551
"new.row.2318","33220",2003,53301
"new.row.2319","33220",2004,60929
"new.row.2320","33220",2005,59283
"new.row.2321","33220",2006,59760
"new.row.2322","33220",2007,61324
"new.row.2323","33220",2008,64508
"new.row.2324","33220",2009,62828
"new.row.2325","33220",2010,65428
"new.row.2326","33220",2011,68256
"new.row.2327","33220",2012,65905
"new.row.2328","33780",2001,43522
"new.row.2329","33780",2002,45647
"new.row.2330","33780",2003,47586
"new.row.2331","33780",2004,49153
"new.row.2332","33780",2005,49844
"new.row.2333","33780",2006,51831
"new.row.2334","33780",2007,52468
"new.row.2335","33780",2008,52930
"new.row.2336","33780",2009,52464
"new.row.2337","33780",2010,54159
"new.row.2338","33780",2011,54470
"new.row.2339","33780",2012,55621
"new.row.2340","34740",2001,39094
"new.row.2341","34740",2002,39715
"new.row.2342","34740",2003,40379
"new.row.2343","34740",2004,41299
"new.row.2344","34740",2005,42203
"new.row.2345","34740",2006,43277
"new.row.2346","34740",2007,44541
"new.row.2347","34740",2008,45722
"new.row.2348","34740",2009,45746
"new.row.2349","34740",2010,47455
"new.row.2350","34740",2011,48256
"new.row.2351","34740",2012,48649
"new.row.2352","35660",2001,38969
"new.row.2353","35660",2002,41012
"new.row.2354","35660",2003,42177
"new.row.2355","35660",2004,44169
"new.row.2356","35660",2005,44915
"new.row.2357","35660",2006,47349
"new.row.2358","35660",2007,48682
"new.row.2359","35660",2008,49317
"new.row.2360","35660",2009,50445
"new.row.2361","35660",2010,52464
"new.row.2362","35660",2011,51686
"new.row.2363","35660",2012,51941
"new.row.2364","40980",2001,42971
"new.row.2365","40980",2002,43390
"new.row.2366","40980",2003,44748
"new.row.2367","40980",2004,45586
"new.row.2368","40980",2005,45864
"new.row.2369","40980",2006,47646
"new.row.2370","40980",2007,47190
"new.row.2371","40980",2008,47099
"new.row.2372","40980",2009,48011
"new.row.2373","40980",2010,48877
"new.row.2374","40980",2011,49463
"new.row.2375","40980",2012,49386
"new.row.2376","20260",2001,36215
"new.row.2377","20260",2002,37753
"new.row.2378","20260",2003,38853
"new.row.2379","20260",2004,40646
"new.row.2380","20260",2005,41058
"new.row.2381","20260",2006,41912
"new.row.2382","20260",2007,43858
"new.row.2383","20260",2008,45524
"new.row.2384","20260",2009,45138
"new.row.2385","20260",2010,46586
"new.row.2386","20260",2011,48725
"new.row.2387","20260",2012,48911
"new.row.2388","22020",2001,33408
"new.row.2389","22020",2002,34805
"new.row.2390","22020",2003,36284
"new.row.2391","22020",2004,37964
"new.row.2392","22020",2005,38984
"new.row.2393","22020",2006,40399
"new.row.2394","22020",2007,42236
"new.row.2395","22020",2008,44229
"new.row.2396","22020",2009,44940
"new.row.2397","22020",2010,46200
"new.row.2398","22020",2011,48594
"new.row.2399","22020",2012,50174
"new.row.2400","24220",2001,30791
"new.row.2401","24220",2002,32122
"new.row.2402","24220",2003,33626
"new.row.2403","24220",2004,34928
"new.row.2404","24220",2005,35671
"new.row.2405","24220",2006,36889
"new.row.2406","24220",2007,38674
"new.row.2407","24220",2008,40742
"new.row.2408","24220",2009,41787
"new.row.2409","24220",2010,42978
"new.row.2410","24220",2011,44484
"new.row.2411","24220",2012,45761
"new.row.2412","29100",2001,35006
"new.row.2413","29100",2002,36333
"new.row.2414","29100",2003,37624
"new.row.2415","29100",2004,38857
"new.row.2416","29100",2005,39999
"new.row.2417","29100",2006,41119
"new.row.2418","29100",2007,42581
"new.row.2419","29100",2008,44321
"new.row.2420","29100",2009,45891
"new.row.2421","29100",2010,46940
"new.row.2422","29100",2011,48172
"new.row.2423","29100",2012,48532
"new.row.2424","31860",2001,32241
"new.row.2425","31860",2002,33215
"new.row.2426","31860",2003,34953
"new.row.2427","31860",2004,36165
"new.row.2428","31860",2005,37224
"new.row.2429","31860",2006,38877
"new.row.2430","31860",2007,39479
"new.row.2431","31860",2008,41204
"new.row.2432","31860",2009,41469
"new.row.2433","31860",2010,42506
"new.row.2434","31860",2011,43736
"new.row.2435","31860",2012,45689
"new.row.2436","33460",2001,48573
"new.row.2437","33460",2002,49731
"new.row.2438","33460",2003,51772
"new.row.2439","33460",2004,54246
"new.row.2440","33460",2005,55177
"new.row.2441","33460",2006,56299
"new.row.2442","33460",2007,59445
"new.row.2443","33460",2008,61499
"new.row.2444","33460",2009,60434
"new.row.2445","33460",2010,62734
"new.row.2446","33460",2011,64736
"new.row.2447","33460",2012,65721
"new.row.2448","40340",2001,42075
"new.row.2449","40340",2002,43907
"new.row.2450","40340",2003,46381
"new.row.2451","40340",2004,48213
"new.row.2452","40340",2005,48753
"new.row.2453","40340",2006,50168
"new.row.2454","40340",2007,52733
"new.row.2455","40340",2008,54656
"new.row.2456","40340",2009,55795
"new.row.2457","40340",2010,60500
"new.row.2458","40340",2011,58680
"new.row.2459","40340",2012,59177
"new.row.2460","41060",2001,33824
"new.row.2461","41060",2002,35486
"new.row.2462","41060",2003,36900
"new.row.2463","41060",2004,38539
"new.row.2464","41060",2005,38826
"new.row.2465","41060",2006,39994
"new.row.2466","41060",2007,41585
"new.row.2467","41060",2008,43242
"new.row.2468","41060",2009,43965
"new.row.2469","41060",2010,45038
"new.row.2470","41060",2011,46234
"new.row.2471","41060",2012,47017
"new.row.2472","25060",2001,36028
"new.row.2473","25060",2002,36962
"new.row.2474","25060",2003,38932
"new.row.2475","25060",2004,40644
"new.row.2476","25060",2005,44141
"new.row.2477","25060",2006,46986
"new.row.2478","25060",2007,48362
"new.row.2479","25060",2008,50652
"new.row.2480","25060",2009,51737
"new.row.2481","25060",2010,52241
"new.row.2482","25060",2011,52804
"new.row.2483","25060",2012,53957
"new.row.2484","25620",2001,30902
"new.row.2485","25620",2002,32183
"new.row.2486","25620",2003,33379
"new.row.2487","25620",2004,35435
"new.row.2488","25620",2005,36551
"new.row.2489","25620",2006,38208
"new.row.2490","25620",2007,39005
"new.row.2491","25620",2008,40251
"new.row.2492","25620",2009,41097
"new.row.2493","25620",2010,41911
"new.row.2494","25620",2011,42935
"new.row.2495","25620",2012,44619
"new.row.2496","27140",2001,35629
"new.row.2497","27140",2002,36744
"new.row.2498","27140",2003,38311
"new.row.2499","27140",2004,40243
"new.row.2500","27140",2005,41796
"new.row.2501","27140",2006,43385
"new.row.2502","27140",2007,44768
"new.row.2503","27140",2008,46165
"new.row.2504","27140",2009,46865
"new.row.2505","27140",2010,47854
"new.row.2506","27140",2011,48711
"new.row.2507","27140",2012,50693
"new.row.2508","17860",2001,34595
"new.row.2509","17860",2002,35858
"new.row.2510","17860",2003,36969
"new.row.2511","17860",2004,38903
"new.row.2512","17860",2005,40231
"new.row.2513","17860",2006,41617
"new.row.2514","17860",2007,42874
"new.row.2515","17860",2008,44090
"new.row.2516","17860",2009,45912
"new.row.2517","17860",2010,47324
"new.row.2518","17860",2011,47985
"new.row.2519","17860",2012,49267
