"","msa.fips","year","average.compensation.per.job"
"new.row.320","30780",2009,50814
"new.row.321","30780",2010,50689
"new.row.322","30780",2011,52358
"new.row.323","30780",2012,54179
"new.row.324","32820",2001,41133
"new.row.325","32820",2002,42760
"new.row.326","32820",2003,44562
"new.row.327","32820",2004,46840
"new.row.328","32820",2005,47999
"new.row.329","32820",2006,49146
"new.row.330","32820",2007,51384
"new.row.331","32820",2008,52451
"new.row.332","32820",2009,52928
"new.row.333","32820",2010,54693
"new.row.334","32820",2011,55895
"new.row.335","32820",2012,58070
"new.row.336","38220",2001,33774
"new.row.337","38220",2002,35189
"new.row.338","38220",2003,36574
"new.row.339","38220",2004,38224
"new.row.340","38220",2005,39496
"new.row.341","38220",2006,41088
"new.row.342","38220",2007,42261
"new.row.343","38220",2008,43405
"new.row.344","38220",2009,43885
"new.row.345","38220",2010,45681
"new.row.346","38220",2011,46485
"new.row.347","38220",2012,48126
"new.row.348","45500",2001,33077
"new.row.349","45500",2002,34525
"new.row.350","45500",2003,36398
"new.row.351","45500",2004,38191
"new.row.352","45500",2005,39777
"new.row.353","45500",2006,41217
"new.row.354","45500",2007,42914
"new.row.355","45500",2008,44085
"new.row.356","45500",2009,44926
"new.row.357","45500",2010,46022
"new.row.358","45500",2011,46615
"new.row.359","45500",2012,47398
"new.row.360","12540",2001,38434
"new.row.361","12540",2002,39922
"new.row.362","12540",2003,41922
"new.row.363","12540",2004,44819
"new.row.364","12540",2005,46247
"new.row.365","12540",2006,48755
"new.row.366","12540",2007,51159
"new.row.367","12540",2008,53170
"new.row.368","12540",2009,54432
"new.row.369","12540",2010,56581
"new.row.370","12540",2011,57590
"new.row.371","12540",2012,58547
"new.row.372","17020",2001,33370
"new.row.373","17020",2002,34479
"new.row.374","17020",2003,36021
"new.row.375","17020",2004,38399
"new.row.376","17020",2005,39910
"new.row.377","17020",2006,41779
"new.row.378","17020",2007,43713
"new.row.379","17020",2008,44893
"new.row.380","17020",2009,45884
"new.row.381","17020",2010,46738
"new.row.382","17020",2011,48584
"new.row.383","17020",2012,49422
"new.row.384","20940",2001,34433
"new.row.385","20940",2002,35766
"new.row.386","20940",2003,37549
"new.row.387","20940",2004,40194
"new.row.388","20940",2005,42147
"new.row.389","20940",2006,42316
"new.row.390","20940",2007,44406
"new.row.391","20940",2008,46930
"new.row.392","20940",2009,48910
"new.row.393","20940",2010,50268
"new.row.394","20940",2011,51195
"new.row.395","20940",2012,51515
"new.row.396","23420",2001,35456
"new.row.397","23420",2002,36988
"new.row.398","23420",2003,39118
"new.row.399","23420",2004,41805
"new.row.400","23420",2005,43284
"new.row.401","23420",2006,44926
"new.row.402","23420",2007,46719
"new.row.403","23420",2008,48307
"new.row.404","23420",2009,49127
"new.row.405","23420",2010,50037
"new.row.406","23420",2011,51376
"new.row.407","23420",2012,51833
"new.row.408","25260",2001,36920
"new.row.409","25260",2002,38151
"new.row.410","25260",2003,40545
"new.row.411","25260",2004,43941
"new.row.412","25260",2005,45461
"new.row.413","25260",2006,48661
"new.row.414","25260",2007,50273
"new.row.415","25260",2008,53079
"new.row.416","25260",2009,53450
"new.row.417","25260",2010,55199
"new.row.418","25260",2011,57066
"new.row.419","25260",2012,57136
"new.row.420","31080",2001,49540
"new.row.421","31080",2002,51120
"new.row.422","31080",2003,53719
"new.row.423","31080",2004,56913
"new.row.424","31080",2005,59067
"new.row.425","31080",2006,61457
"new.row.426","31080",2007,63632
"new.row.427","31080",2008,65196
"new.row.428","31080",2009,65288
"new.row.429","31080",2010,67795
"new.row.430","31080",2011,69996
"new.row.431","31080",2012,71382
"new.row.432","31460",2001,33241
"new.row.433","31460",2002,34270
"new.row.434","31460",2003,36204
"new.row.435","31460",2004,37936
"new.row.436","31460",2005,40137
"new.row.437","31460",2006,42287
"new.row.438","31460",2007,44892
"new.row.439","31460",2008,47008
"new.row.440","31460",2009,47855
"new.row.441","31460",2010,48155
"new.row.442","31460",2011,50381
