CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
45060,,532,"Syracuse, NY",Metropolitan Statistical Area,,"Syracuse-Auburn, NY",Madison County,New York,36,053,Outlying,42.9805975,-75.8069082
45060,,532,"Syracuse, NY",Metropolitan Statistical Area,,"Syracuse-Auburn, NY",Onondaga County,New York,36,067,Central,43.026819,-76.1783739
45060,,532,"Syracuse, NY",Metropolitan Statistical Area,,"Syracuse-Auburn, NY",Oswego County,New York,36,075,Outlying,43.482533,-76.1783739
45140,,538,"Tahlequah, OK",Micropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Cherokee County,Oklahoma,40,021,Central,35.8994729,-94.976654
45180,,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Coosa County,Alabama,01,037,Outlying,32.8897772,-86.2196937
45180,,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Talladega County,Alabama,01,121,Central,33.4231716,-86.1344697
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Gadsden County,Florida,12,039,Outlying,30.5562947,-84.6479124
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Jefferson County,Florida,12,065,Outlying,30.4311978,-83.8897057
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Leon County,Florida,12,073,Central,30.4906177,-84.1857115
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Wakulla County,Florida,12,129,Outlying,30.1301689,-84.3542049
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Hernando County,Florida,12,053,Outlying,28.5578826,-82.4752757
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Hillsborough County,Florida,12,057,Central,27.9483357,-82.4548264
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Pasco County,Florida,12,101,Central,28.3232418,-82.4319405
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Pinellas County,Florida,12,103,Central,27.876394,-82.7778579
45340,,,"Taos, NM",Micropolitan Statistical Area,,,Taos County,New Mexico,35,055,Central,36.4358718,-105.5943388
45380,,522,"Taylorville, IL",Micropolitan Statistical Area,,"Springfield-Jacksonville-Lincoln, IL",Christian County,Illinois,17,021,Central,39.5672183,-89.3226954
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Clay County,Indiana,18,021,Central,39.368622,-87.1422895
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Sullivan County,Indiana,18,153,Outlying,39.0843122,-87.4207518
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Vermillion County,Indiana,18,165,Outlying,39.8512139,-87.4802068
