"","msa.fips","year","total.employment"
"new.row.403","23460",2012,48159
"new.row.404","23460",2013,48397
"new.row.405","26620",1969,107287
"new.row.406","26620",1970,107133
"new.row.407","26620",1971,106235
"new.row.408","26620",1972,109439
"new.row.409","26620",1973,111439
"new.row.410","26620",1974,112513
"new.row.411","26620",1975,110559
"new.row.412","26620",1976,113836
"new.row.413","26620",1977,119368
"new.row.414","26620",1978,125751
"new.row.415","26620",1979,126654
"new.row.416","26620",1980,126604
"new.row.417","26620",1981,128803
"new.row.418","26620",1982,131353
"new.row.419","26620",1983,139295
"new.row.420","26620",1984,149177
"new.row.421","26620",1985,158683
"new.row.422","26620",1986,166030
"new.row.423","26620",1987,174660
"new.row.424","26620",1988,182016
"new.row.425","26620",1989,186585
"new.row.426","26620",1990,191461
"new.row.427","26620",1991,192008
"new.row.428","26620",1992,195615
"new.row.429","26620",1993,200042
"new.row.430","26620",1994,196887
"new.row.431","26620",1995,200903
"new.row.432","26620",1996,204454
"new.row.433","26620",1997,209852
"new.row.434","26620",1998,216793
"new.row.435","26620",1999,219065
"new.row.436","26620",2000,224649
"new.row.437","26620",2001,226403
"new.row.438","26620",2002,225887
"new.row.439","26620",2003,230542
"new.row.440","26620",2004,237842
"new.row.441","26620",2005,245126
"new.row.442","26620",2006,253144
"new.row.443","26620",2007,263399
"new.row.444","26620",2008,267566
"new.row.445","26620",2009,264000
"new.row.446","26620",2010,263095
"new.row.447","26620",2011,266883
"new.row.448","26620",2012,269136
"new.row.449","26620",2013,273555
"new.row.450","33660",1969,121151
"new.row.451","33660",1970,121223
"new.row.452","33660",1971,121416
"new.row.453","33660",1972,126180
"new.row.454","33660",1973,133484
"new.row.455","33660",1974,137961
"new.row.456","33660",1975,141132
"new.row.457","33660",1976,147159
"new.row.458","33660",1977,153854
"new.row.459","33660",1978,162577
"new.row.460","33660",1979,163160
"new.row.461","33660",1980,167983
"new.row.462","33660",1981,168136
"new.row.463","33660",1982,161111
"new.row.464","33660",1983,159696
"new.row.465","33660",1984,164970
"new.row.466","33660",1985,169061
"new.row.467","33660",1986,169068
"new.row.468","33660",1987,171067
"new.row.469","33660",1988,175349
"new.row.470","33660",1989,177801
"new.row.471","33660",1990,181716
"new.row.472","33660",1991,188154
"new.row.473","33660",1992,191637
"new.row.474","33660",1993,199587
"new.row.475","33660",1994,201086
"new.row.476","33660",1995,204219
"new.row.477","33660",1996,208206
"new.row.478","33660",1997,213334
"new.row.479","33660",1998,216463
"new.row.480","33660",1999,216211
"new.row.481","33660",2000,217342
"new.row.482","33660",2001,215030
"new.row.483","33660",2002,213121
"new.row.484","33660",2003,212164
"new.row.485","33660",2004,214694
"new.row.486","33660",2005,221206
"new.row.487","33660",2006,227710
"new.row.488","33660",2007,234735
