"","msa.fips","year","total.employment"
"new.row.9362","27140",1971,175421
"new.row.9363","27140",1972,182347
"new.row.9364","27140",1973,194536
"new.row.9365","27140",1974,200851
"new.row.9366","27140",1975,194047
"new.row.9367","27140",1976,198388
"new.row.9368","27140",1977,207091
"new.row.9369","27140",1978,219759
"new.row.9370","27140",1979,226855
"new.row.9371","27140",1980,225694
"new.row.9372","27140",1981,224409
"new.row.9373","27140",1982,219440
"new.row.9374","27140",1983,222590
"new.row.9375","27140",1984,230375
"new.row.9376","27140",1985,234972
"new.row.9377","27140",1986,238293
"new.row.9378","27140",1987,241648
"new.row.9379","27140",1988,248098
"new.row.9380","27140",1989,253316
"new.row.9381","27140",1990,255177
"new.row.9382","27140",1991,257780
"new.row.9383","27140",1992,262586
"new.row.9384","27140",1993,272370
"new.row.9385","27140",1994,281002
"new.row.9386","27140",1995,289786
"new.row.9387","27140",1996,295891
"new.row.9388","27140",1997,302489
"new.row.9389","27140",1998,309693
"new.row.9390","27140",1999,313337
"new.row.9391","27140",2000,316472
"new.row.9392","27140",2001,317804
"new.row.9393","27140",2002,318334
"new.row.9394","27140",2003,321580
"new.row.9395","27140",2004,329941
"new.row.9396","27140",2005,332715
"new.row.9397","27140",2006,341284
"new.row.9398","27140",2007,347737
"new.row.9399","27140",2008,352577
"new.row.9400","27140",2009,347347
"new.row.9401","27140",2010,344883
"new.row.9402","27140",2011,351517
"new.row.9403","27140",2012,353583
"new.row.9404","27140",2013,357611
"new.row.9405","17860",1969,38801
"new.row.9406","17860",1970,39470
"new.row.9407","17860",1971,40284
"new.row.9408","17860",1972,41917
"new.row.9409","17860",1973,44491
"new.row.9410","17860",1974,45535
"new.row.9411","17860",1975,46649
"new.row.9412","17860",1976,49134
"new.row.9413","17860",1977,51203
"new.row.9414","17860",1978,53672
"new.row.9415","17860",1979,56890
"new.row.9416","17860",1980,57601
"new.row.9417","17860",1981,56917
"new.row.9418","17860",1982,56723
"new.row.9419","17860",1983,59821
"new.row.9420","17860",1984,62097
"new.row.9421","17860",1985,64693
"new.row.9422","17860",1986,67855
"new.row.9423","17860",1987,69530
"new.row.9424","17860",1988,72316
"new.row.9425","17860",1989,73951
"new.row.9426","17860",1990,76763
"new.row.9427","17860",1991,78338
"new.row.9428","17860",1992,80387
"new.row.9429","17860",1993,83169
"new.row.9430","17860",1994,86022
"new.row.9431","17860",1995,89182
"new.row.9432","17860",1996,92799
"new.row.9433","17860",1997,94940
"new.row.9434","17860",1998,96094
"new.row.9435","17860",1999,96997
"new.row.9436","17860",2000,100597
"new.row.9437","17860",2001,100760
"new.row.9438","17860",2002,101698
"new.row.9439","17860",2003,102004
"new.row.9440","17860",2004,104393
"new.row.9441","17860",2005,107333
"new.row.9442","17860",2006,109817
"new.row.9443","17860",2007,111917
"new.row.9444","17860",2008,111482
"new.row.9445","17860",2009,109306
"new.row.9446","17860",2010,110062
"new.row.9447","17860",2011,113143
"new.row.9448","17860",2012,116274
"new.row.9449","17860",2013,119539
"new.row.9450","27620",1969,47081
"new.row.9451","27620",1970,47791
"new.row.9452","27620",1971,48879
"new.row.9453","27620",1972,50046
"new.row.9454","27620",1973,52912
"new.row.9455","27620",1974,54087
"new.row.9456","27620",1975,53159
"new.row.9457","27620",1976,55939
"new.row.9458","27620",1977,59122
"new.row.9459","27620",1978,63595
"new.row.9460","27620",1979,64788
"new.row.9461","27620",1980,65774
"new.row.9462","27620",1981,66216
"new.row.9463","27620",1982,65896
"new.row.9464","27620",1983,67159
"new.row.9465","27620",1984,68046
"new.row.9466","27620",1985,67660
"new.row.9467","27620",1986,69180
"new.row.9468","27620",1987,69132
"new.row.9469","27620",1988,70870
"new.row.9470","27620",1989,73463
"new.row.9471","27620",1990,75568
"new.row.9472","27620",1991,76650
"new.row.9473","27620",1992,77896
"new.row.9474","27620",1993,79861
"new.row.9475","27620",1994,82641
"new.row.9476","27620",1995,85679
"new.row.9477","27620",1996,88188
"new.row.9478","27620",1997,90574
"new.row.9479","27620",1998,92080
"new.row.9480","27620",1999,93763
"new.row.9481","27620",2000,95566
"new.row.9482","27620",2001,96822
"new.row.9483","27620",2002,96005
"new.row.9484","27620",2003,98119
"new.row.9485","27620",2004,98606
"new.row.9486","27620",2005,98955
"new.row.9487","27620",2006,99514
"new.row.9488","27620",2007,100716
"new.row.9489","27620",2008,101687
"new.row.9490","27620",2009,100206
"new.row.9491","27620",2010,99432
"new.row.9492","27620",2011,98603
"new.row.9493","27620",2012,97844
"new.row.9494","27620",2013,98323
"new.row.9495","27900",1969,48761
"new.row.9496","27900",1970,48807
"new.row.9497","27900",1971,49252
"new.row.9498","27900",1972,52210
"new.row.9499","27900",1973,55584
"new.row.9500","27900",1974,55905
"new.row.9501","27900",1975,53422
"new.row.9502","27900",1976,55436
"new.row.9503","27900",1977,57532
"new.row.9504","27900",1978,59753
"new.row.9505","27900",1979,61872
"new.row.9506","27900",1980,61478
"new.row.9507","27900",1981,62909
"new.row.9508","27900",1982,62312
"new.row.9509","27900",1983,64321
"new.row.9510","27900",1984,67177
"new.row.9511","27900",1985,69624
"new.row.9512","27900",1986,71862
"new.row.9513","27900",1987,73545
"new.row.9514","27900",1988,74700
"new.row.9515","27900",1989,75726
"new.row.9516","27900",1990,77595
"new.row.9517","27900",1991,78870
"new.row.9518","27900",1992,81177
"new.row.9519","27900",1993,84247
"new.row.9520","27900",1994,88024
"new.row.9521","27900",1995,90789
"new.row.9522","27900",1996,93362
"new.row.9523","27900",1997,95844
"new.row.9524","27900",1998,98483
"new.row.9525","27900",1999,99499
"new.row.9526","27900",2000,100362
"new.row.9527","27900",2001,98949
"new.row.9528","27900",2002,97829
"new.row.9529","27900",2003,98226
"new.row.9530","27900",2004,98945
"new.row.9531","27900",2005,100399
"new.row.9532","27900",2006,102929
"new.row.9533","27900",2007,105816
"new.row.9534","27900",2008,105356
"new.row.9535","27900",2009,102280
"new.row.9536","27900",2010,99916
"new.row.9537","27900",2011,101031
"new.row.9538","27900",2012,101800
"new.row.9539","27900",2013,102423
"new.row.9540","44180",1969,94235
"new.row.9541","44180",1970,97284
"new.row.9542","44180",1971,100075
"new.row.9543","44180",1972,105645
"new.row.9544","44180",1973,110471
"new.row.9545","44180",1974,109821
"new.row.9546","44180",1975,107489
"new.row.9547","44180",1976,113331
"new.row.9548","44180",1977,119130
"new.row.9549","44180",1978,125953
"new.row.9550","44180",1979,130864
"new.row.9551","44180",1980,131378
"new.row.9552","44180",1981,132649
"new.row.9553","44180",1982,134650
"new.row.9554","44180",1983,139611
"new.row.9555","44180",1984,147471
"new.row.9556","44180",1985,153042
"new.row.9557","44180",1986,158763
"new.row.9558","44180",1987,161311
"new.row.9559","44180",1988,168214
"new.row.9560","44180",1989,172646
"new.row.9561","44180",1990,177682
"new.row.9562","44180",1991,179784
"new.row.9563","44180",1992,184602
"new.row.9564","44180",1993,194731
"new.row.9565","44180",1994,204646
"new.row.9566","44180",1995,211443
"new.row.9567","44180",1996,215750
"new.row.9568","44180",1997,221150
"new.row.9569","44180",1998,224735
"new.row.9570","44180",1999,229508
"new.row.9571","44180",2000,234518
"new.row.9572","44180",2001,235355
"new.row.9573","44180",2002,236930
"new.row.9574","44180",2003,241451
"new.row.9575","44180",2004,247293
"new.row.9576","44180",2005,255681
"new.row.9577","44180",2006,262540
"new.row.9578","44180",2007,270262
"new.row.9579","44180",2008,267397
"new.row.9580","44180",2009,258940
"new.row.9581","44180",2010,253984
"new.row.9582","44180",2011,258313
"new.row.9583","44180",2012,262887
"new.row.9584","44180",2013,266728
"new.row.9585","13740",1969,42382
"new.row.9586","13740",1970,43329
"new.row.9587","13740",1971,44885
"new.row.9588","13740",1972,47205
"new.row.9589","13740",1973,50349
"new.row.9590","13740",1974,52867
"new.row.9591","13740",1975,53779
"new.row.9592","13740",1976,57467
"new.row.9593","13740",1977,60302
"new.row.9594","13740",1978,64090
"new.row.9595","13740",1979,65442
"new.row.9596","13740",1980,64651
"new.row.9597","13740",1981,66183
"new.row.9598","13740",1982,67078
"new.row.9599","13740",1983,68542
"new.row.9600","13740",1984,70868
"new.row.9601","13740",1985,70516
"new.row.9602","13740",1986,69709
"new.row.9603","13740",1987,69468
"new.row.9604","13740",1988,71737
"new.row.9605","13740",1989,73107
"new.row.9606","13740",1990,73868
"new.row.9607","13740",1991,75939
"new.row.9608","13740",1992,78363
"new.row.9609","13740",1993,80093
"new.row.9610","13740",1994,83702
"new.row.9611","13740",1995,84768
"new.row.9612","13740",1996,87037
"new.row.9613","13740",1997,87651
"new.row.9614","13740",1998,90397
"new.row.9615","13740",1999,91771
"new.row.9616","13740",2000,93485
"new.row.9617","13740",2001,94679
"new.row.9618","13740",2002,95850
"new.row.9619","13740",2003,96881
"new.row.9620","13740",2004,99512
"new.row.9621","13740",2005,102016
"new.row.9622","13740",2006,104041
"new.row.9623","13740",2007,107879
"new.row.9624","13740",2008,107949
"new.row.9625","13740",2009,105730
"new.row.9626","13740",2010,104847
"new.row.9627","13740",2011,106160
"new.row.9628","13740",2012,108074
"new.row.9629","13740",2013,108359
"new.row.9630","24500",1969,37194
"new.row.9631","24500",1970,37297
"new.row.9632","24500",1971,37626
"new.row.9633","24500",1972,38689
"new.row.9634","24500",1973,39742
"new.row.9635","24500",1974,40285
"new.row.9636","24500",1975,39860
"new.row.9637","24500",1976,42084
"new.row.9638","24500",1977,43274
"new.row.9639","24500",1978,44429
"new.row.9640","24500",1979,44026
"new.row.9641","24500",1980,42836
"new.row.9642","24500",1981,42087
"new.row.9643","24500",1982,41059
"new.row.9644","24500",1983,41553
"new.row.9645","24500",1984,41719
"new.row.9646","24500",1985,40524
"new.row.9647","24500",1986,40276
"new.row.9648","24500",1987,40260
"new.row.9649","24500",1988,42046
"new.row.9650","24500",1989,42690
"new.row.9651","24500",1990,43160
"new.row.9652","24500",1991,44293
"new.row.9653","24500",1992,44595
"new.row.9654","24500",1993,44940
"new.row.9655","24500",1994,46791
"new.row.9656","24500",1995,47358
"new.row.9657","24500",1996,47981
"new.row.9658","24500",1997,47438
"new.row.9659","24500",1998,48179
"new.row.9660","24500",1999,47636
"new.row.9661","24500",2000,47962
"new.row.9662","24500",2001,47825
"new.row.9663","24500",2002,47701
"new.row.9664","24500",2003,47728
"new.row.9665","24500",2004,48445
"new.row.9666","24500",2005,48917
"new.row.9667","24500",2006,50124
"new.row.9668","24500",2007,50506
"new.row.9669","24500",2008,50769
"new.row.9670","24500",2009,50164
"new.row.9671","24500",2010,49726
"new.row.9672","24500",2011,49336
"new.row.9673","24500",2012,49267
"new.row.9674","24500",2013,49814
"new.row.9675","33540",1969,24897
"new.row.9676","33540",1970,25139
"new.row.9677","33540",1971,26508
"new.row.9678","33540",1972,28195
"new.row.9679","33540",1973,29798
"new.row.9680","33540",1974,30952
"new.row.9681","33540",1975,31090
"new.row.9682","33540",1976,33780
"new.row.9683","33540",1977,36648
"new.row.9684","33540",1978,40008
"new.row.9685","33540",1979,40389
"new.row.9686","33540",1980,39442
"new.row.9687","33540",1981,37592
"new.row.9688","33540",1982,36696
"new.row.9689","33540",1983,38399
"new.row.9690","33540",1984,40726
"new.row.9691","33540",1985,41567
"new.row.9692","33540",1986,41942
"new.row.9693","33540",1987,43048
"new.row.9694","33540",1988,44555
"new.row.9695","33540",1989,45814
"new.row.9696","33540",1990,47616
"new.row.9697","33540",1991,49299
"new.row.9698","33540",1992,51852
"new.row.9699","33540",1993,54021
"new.row.9700","33540",1994,56003
"new.row.9701","33540",1995,58094
"new.row.9702","33540",1996,60152
"new.row.9703","33540",1997,61250
"new.row.9704","33540",1998,63020
"new.row.9705","33540",1999,64702
"new.row.9706","33540",2000,66225
"new.row.9707","33540",2001,68015
"new.row.9708","33540",2002,69135
"new.row.9709","33540",2003,70443
"new.row.9710","33540",2004,71959
"new.row.9711","33540",2005,73366
"new.row.9712","33540",2006,75178
"new.row.9713","33540",2007,77642
"new.row.9714","33540",2008,76645
"new.row.9715","33540",2009,75411
"new.row.9716","33540",2010,73886
"new.row.9717","33540",2011,75066
"new.row.9718","33540",2012,75659
"new.row.9719","33540",2013,76586
"new.row.9720","24260",1969,33004
"new.row.9721","24260",1970,31910
"new.row.9722","24260",1971,31655
"new.row.9723","24260",1972,33218
"new.row.9724","24260",1973,35148
"new.row.9725","24260",1974,35595
"new.row.9726","24260",1975,35293
"new.row.9727","24260",1976,36625
"new.row.9728","24260",1977,37764
"new.row.9729","24260",1978,39141
"new.row.9730","24260",1979,39560
"new.row.9731","24260",1980,40087
"new.row.9732","24260",1981,40254
"new.row.9733","24260",1982,38976
"new.row.9734","24260",1983,39138
"new.row.9735","24260",1984,39328
"new.row.9736","24260",1985,38879
"new.row.9737","24260",1986,38811
"new.row.9738","24260",1987,39539
"new.row.9739","24260",1988,40534
"new.row.9740","24260",1989,41448
"new.row.9741","24260",1990,42489
"new.row.9742","24260",1991,43359
"new.row.9743","24260",1992,44308
"new.row.9744","24260",1993,45175
"new.row.9745","24260",1994,47719
"new.row.9746","24260",1995,47414
"new.row.9747","24260",1996,48688
"new.row.9748","24260",1997,49347
"new.row.9749","24260",1998,50142
"new.row.9750","24260",1999,50668
"new.row.9751","24260",2000,50857
"new.row.9752","24260",2001,50448
"new.row.9753","24260",2002,49798
"new.row.9754","24260",2003,50047
"new.row.9755","24260",2004,50455
"new.row.9756","24260",2005,51665
"new.row.9757","24260",2006,52703
"new.row.9758","24260",2007,53690
"new.row.9759","24260",2008,54426
"new.row.9760","24260",2009,54170
"new.row.9761","24260",2010,53639
"new.row.9762","24260",2011,54650
"new.row.9763","24260",2012,55352
"new.row.9764","24260",2013,56248
"new.row.9765","30700",1969,92275
"new.row.9766","30700",1970,94866
"new.row.9767","30700",1971,98445
"new.row.9768","30700",1972,102842
"new.row.9769","30700",1973,107748
"new.row.9770","30700",1974,111765
"new.row.9771","30700",1975,112328
"new.row.9772","30700",1976,116047
"new.row.9773","30700",1977,119912
"new.row.9774","30700",1978,123341
"new.row.9775","30700",1979,127203
"new.row.9776","30700",1980,127424
"new.row.9777","30700",1981,125565
"new.row.9778","30700",1982,123845
"new.row.9779","30700",1983,124320
"new.row.9780","30700",1984,128322
"new.row.9781","30700",1985,132780
"new.row.9782","30700",1986,134997
"new.row.9783","30700",1987,140194
"new.row.9784","30700",1988,146113
"new.row.9785","30700",1989,149477
"new.row.9786","30700",1990,155589
"new.row.9787","30700",1991,156858
"new.row.9788","30700",1992,158269
"new.row.9789","30700",1993,162253
"new.row.9790","30700",1994,169247
"new.row.9791","30700",1995,172577
"new.row.9792","30700",1996,177454
"new.row.9793","30700",1997,180195
"new.row.9794","30700",1998,184660
"new.row.9795","30700",1999,189256
"new.row.9796","30700",2000,193177
"new.row.9797","30700",2001,197326
"new.row.9798","30700",2002,198430
"new.row.9799","30700",2003,201187
"new.row.9800","30700",2004,204796
"new.row.9801","30700",2005,208199
"new.row.9802","30700",2006,210124
"new.row.9803","30700",2007,213545
"new.row.9804","30700",2008,212625
"new.row.9805","30700",2009,209677
"new.row.9806","30700",2010,207083
"new.row.9807","30700",2011,208775
"new.row.9808","30700",2012,212158
"new.row.9809","30700",2013,217083
"new.row.9810","16180",1969,7636
"new.row.9811","16180",1970,8194
"new.row.9812","16180",1971,9095
"new.row.9813","16180",1972,9860
"new.row.9814","16180",1973,11152
"new.row.9815","16180",1974,12036
"new.row.9816","16180",1975,12528
"new.row.9817","16180",1976,13820
"new.row.9818","16180",1977,15384
"new.row.9819","16180",1978,17838
"new.row.9820","16180",1979,19081
"new.row.9821","16180",1980,19360
"new.row.9822","16180",1981,19536
"new.row.9823","16180",1982,18960
"new.row.9824","16180",1983,19392
"new.row.9825","16180",1984,20535
"new.row.9826","16180",1985,21622
"new.row.9827","16180",1986,22495
"new.row.9828","16180",1987,24244
"new.row.9829","16180",1988,25165
"new.row.9830","16180",1989,25785
"new.row.9831","16180",1990,26766
"new.row.9832","16180",1991,27173
"new.row.9833","16180",1992,27073
"new.row.9834","16180",1993,28566
"new.row.9835","16180",1994,30498
"new.row.9836","16180",1995,32941
"new.row.9837","16180",1996,34369
"new.row.9838","16180",1997,35519
"new.row.9839","16180",1998,36240
"new.row.9840","16180",1999,37614
"new.row.9841","16180",2000,39196
"new.row.9842","16180",2001,39493
"new.row.9843","16180",2002,39746
"new.row.9844","16180",2003,40265
"new.row.9845","16180",2004,41217
"new.row.9846","16180",2005,41967
"new.row.9847","16180",2006,42128
"new.row.9848","16180",2007,42932
"new.row.9849","16180",2008,40634
"new.row.9850","16180",2009,39048
"new.row.9851","16180",2010,37748
"new.row.9852","16180",2011,37661
"new.row.9853","16180",2012,36818
"new.row.9854","16180",2013,37115
"new.row.9855","29820",1969,126124
"new.row.9856","29820",1970,134095
"new.row.9857","29820",1971,138801
"new.row.9858","29820",1972,145742
"new.row.9859","29820",1973,160282
"new.row.9860","29820",1974,168726
"new.row.9861","29820",1975,174218
"new.row.9862","29820",1976,186546
"new.row.9863","29820",1977,204806
"new.row.9864","29820",1978,228609
"new.row.9865","29820",1979,251535
"new.row.9866","29820",1980,265076
"new.row.9867","29820",1981,272538
"new.row.9868","29820",1982,269949
"new.row.9869","29820",1983,274043
"new.row.9870","29820",1984,286101
"new.row.9871","29820",1985,300096
"new.row.9872","29820",1986,316982
"new.row.9873","29820",1987,345999
"new.row.9874","29820",1988,375496
"new.row.9875","29820",1989,412843
"new.row.9876","29820",1990,452016
"new.row.9877","29820",1991,465549
"new.row.9878","29820",1992,472519
"new.row.9879","29820",1993,504060
"new.row.9880","29820",1994,567840
"new.row.9881","29820",1995,606312
"new.row.9882","29820",1996,662190
"new.row.9883","29820",1997,713369
"new.row.9884","29820",1998,749040
"new.row.9885","29820",1999,804030
"new.row.9886","29820",2000,852405
"new.row.9887","29820",2001,882717
"new.row.9888","29820",2002,895579
"new.row.9889","29820",2003,939492
"new.row.9890","29820",2004,1011193
"new.row.9891","29820",2005,1084733
"new.row.9892","29820",2006,1143479
"new.row.9893","29820",2007,1172673
"new.row.9894","29820",2008,1163757
"new.row.9895","29820",2009,1085914
"new.row.9896","29820",2010,1057617
"new.row.9897","29820",2011,1078662
"new.row.9898","29820",2012,1093713
"new.row.9899","29820",2013,1121180
"new.row.9900","39900",1969,64341
"new.row.9901","39900",1970,68813
"new.row.9902","39900",1971,73393
"new.row.9903","39900",1972,77256
"new.row.9904","39900",1973,83477
"new.row.9905","39900",1974,85698
"new.row.9906","39900",1975,89100
"new.row.9907","39900",1976,96622
"new.row.9908","39900",1977,108044
"new.row.9909","39900",1978,124884
"new.row.9910","39900",1979,134856
"new.row.9911","39900",1980,135996
"new.row.9912","39900",1981,136031
"new.row.9913","39900",1982,133990
"new.row.9914","39900",1983,133936
"new.row.9915","39900",1984,141249
"new.row.9916","39900",1985,145142
"new.row.9917","39900",1986,151010
"new.row.9918","39900",1987,160239
"new.row.9919","39900",1988,167081
"new.row.9920","39900",1989,170932
"new.row.9921","39900",1990,175220
"new.row.9922","39900",1991,174711
"new.row.9923","39900",1992,175503
"new.row.9924","39900",1993,182728
"new.row.9925","39900",1994,192012
"new.row.9926","39900",1995,200861
"new.row.9927","39900",1996,209606
"new.row.9928","39900",1997,218118
"new.row.9929","39900",1998,224911
"new.row.9930","39900",1999,227738
"new.row.9931","39900",2000,237577
"new.row.9932","39900",2001,240711
"new.row.9933","39900",2002,242117
"new.row.9934","39900",2003,249521
"new.row.9935","39900",2004,261058
"new.row.9936","39900",2005,272020
"new.row.9937","39900",2006,282553
"new.row.9938","39900",2007,288260
"new.row.9939","39900",2008,277115
"new.row.9940","39900",2009,258323
"new.row.9941","39900",2010,246805
"new.row.9942","39900",2011,249116
"new.row.9943","39900",2012,249389
"new.row.9944","39900",2013,255497
"new.row.9945","31700",1969,115662
"new.row.9946","31700",1970,115787
"new.row.9947","31700",1971,114427
"new.row.9948","31700",1972,115341
"new.row.9949","31700",1973,122872
"new.row.9950","31700",1974,125196
"new.row.9951","31700",1975,121735
"new.row.9952","31700",1976,129826
"new.row.9953","31700",1977,137799
"new.row.9954","31700",1978,147386
"new.row.9955","31700",1979,155080
"new.row.9956","31700",1980,159785
"new.row.9957","31700",1981,162816
"new.row.9958","31700",1982,166065
"new.row.9959","31700",1983,174012
"new.row.9960","31700",1984,189171
"new.row.9961","31700",1985,199943
"new.row.9962","31700",1986,208594
"new.row.9963","31700",1987,214561
"new.row.9964","31700",1988,220131
"new.row.9965","31700",1989,215952
"new.row.9966","31700",1990,208783
"new.row.9967","31700",1991,199944
"new.row.9968","31700",1992,202042
"new.row.9969","31700",1993,204282
"new.row.9970","31700",1994,209544
"new.row.9971","31700",1995,212713
"new.row.9972","31700",1996,218719
"new.row.9973","31700",1997,225406
"new.row.9974","31700",1998,233118
"new.row.9975","31700",1999,238108
"new.row.9976","31700",2000,245727
"new.row.9977","31700",2001,244885
"new.row.9978","31700",2002,242497
"new.row.9979","31700",2003,246181
"new.row.9980","31700",2004,250269
"new.row.9981","31700",2005,255141
"new.row.9982","31700",2006,256334
"new.row.9983","31700",2007,260148
"new.row.9984","31700",2008,259583
"new.row.9985","31700",2009,252573
"new.row.9986","31700",2010,248299
"new.row.9987","31700",2011,251128
"new.row.9988","31700",2012,252419
"new.row.9989","31700",2013,255747
"new.row.9990","10900",1969,269222
"new.row.9991","10900",1970,272973
"new.row.9992","10900",1971,271090
"new.row.9993","10900",1972,277879
"new.row.9994","10900",1973,292047
"new.row.9995","10900",1974,297119
"new.row.9996","10900",1975,290754
"new.row.9997","10900",1976,291781
"new.row.9998","10900",1977,296393
"new.row.9999","10900",1978,304849
"new.row.10000","10900",1979,310781
"new.row.10001","10900",1980,310670
"new.row.10002","10900",1981,310155
"new.row.10003","10900",1982,302259
"new.row.10004","10900",1983,298035
"new.row.10005","10900",1984,309576
"new.row.10006","10900",1985,314763
"new.row.10007","10900",1986,317329
"new.row.10008","10900",1987,329686
"new.row.10009","10900",1988,339830
"new.row.10010","10900",1989,345404
"new.row.10011","10900",1990,349846
"new.row.10012","10900",1991,345339
"new.row.10013","10900",1992,345658
"new.row.10014","10900",1993,347081
"new.row.10015","10900",1994,351274
"new.row.10016","10900",1995,355394
"new.row.10017","10900",1996,357386
"new.row.10018","10900",1997,365995
"new.row.10019","10900",1998,369513
"new.row.10020","10900",1999,377396
"new.row.10021","10900",2000,388135
"new.row.10022","10900",2001,390939
"new.row.10023","10900",2002,390329
"new.row.10024","10900",2003,393643
"new.row.10025","10900",2004,400601
"new.row.10026","10900",2005,410746
"new.row.10027","10900",2006,420007
"new.row.10028","10900",2007,427288
"new.row.10029","10900",2008,428182
"new.row.10030","10900",2009,417547
"new.row.10031","10900",2010,417840
"new.row.10032","10900",2011,424976
"new.row.10033","10900",2012,431245
"new.row.10034","10900",2013,436214
"new.row.10035","12100",1969,78419
"new.row.10036","12100",1970,79885
"new.row.10037","12100",1971,79392
"new.row.10038","12100",1972,82297
"new.row.10039","12100",1973,85385
"new.row.10040","12100",1974,84867
"new.row.10041","12100",1975,82280
"new.row.10042","12100",1976,84161
"new.row.10043","12100",1977,85095
"new.row.10044","12100",1978,90253
"new.row.10045","12100",1979,99716
"new.row.10046","12100",1980,109410
"new.row.10047","12100",1981,118656
"new.row.10048","12100",1982,119783
"new.row.10049","12100",1983,124824
"new.row.10050","12100",1984,133475
"new.row.10051","12100",1985,139336
"new.row.10052","12100",1986,141884
"new.row.10053","12100",1987,148142
"new.row.10054","12100",1988,152703
"new.row.10055","12100",1989,155641
"new.row.10056","12100",1990,159479
"new.row.10057","12100",1991,152342
"new.row.10058","12100",1992,152205
"new.row.10059","12100",1993,153047
"new.row.10060","12100",1994,154444
"new.row.10061","12100",1995,157855
"new.row.10062","12100",1996,159704
"new.row.10063","12100",1997,162668
"new.row.10064","12100",1998,167547
"new.row.10065","12100",1999,169744
"new.row.10066","12100",2000,173377
"new.row.10067","12100",2001,173367
"new.row.10068","12100",2002,173381
"new.row.10069","12100",2003,176415
"new.row.10070","12100",2004,179470
"new.row.10071","12100",2005,185554
"new.row.10072","12100",2006,187040
"new.row.10073","12100",2007,185666
"new.row.10074","12100",2008,184541
"new.row.10075","12100",2009,176321
"new.row.10076","12100",2010,174356
"new.row.10077","12100",2011,174241
"new.row.10078","12100",2012,175317
"new.row.10079","12100",2013,174591
"new.row.10080","35620",1969,8233936
"new.row.10081","35620",1970,8260820
"new.row.10082","35620",1971,8111649
"new.row.10083","35620",1972,8136244
"new.row.10084","35620",1973,8246386
"new.row.10085","35620",1974,8154035
"new.row.10086","35620",1975,7918534
"new.row.10087","35620",1976,7896024
"new.row.10088","35620",1977,7982339
"new.row.10089","35620",1978,8203566
"new.row.10090","35620",1979,8399502
"new.row.10091","35620",1980,8473331
"new.row.10092","35620",1981,8561737
"new.row.10093","35620",1982,8600498
"new.row.10094","35620",1983,8726253
"new.row.10095","35620",1984,9029518
"new.row.10096","35620",1985,9249556
"new.row.10097","35620",1986,9445159
"new.row.10098","35620",1987,9529663
"new.row.10099","35620",1988,9698726
"new.row.10100","35620",1989,9725398
"new.row.10101","35620",1990,9624264
"new.row.10102","35620",1991,9303754
"new.row.10103","35620",1992,9228347
"new.row.10104","35620",1993,9250792
"new.row.10105","35620",1994,9259764
"new.row.10106","35620",1995,9388188
"new.row.10107","35620",1996,9523904
"new.row.10108","35620",1997,9678437
"new.row.10109","35620",1998,9879697
"new.row.10110","35620",1999,10117341
"new.row.10111","35620",2000,10447522
"new.row.10112","35620",2001,10496110
"new.row.10113","35620",2002,10435642
"new.row.10114","35620",2003,10457533
"new.row.10115","35620",2004,10617027
"new.row.10116","35620",2005,10778138
"new.row.10117","35620",2006,10971464
"new.row.10118","35620",2007,11281473
"new.row.10119","35620",2008,11394269
"new.row.10120","35620",2009,11172176
"new.row.10121","35620",2010,11163364
"new.row.10122","35620",2011,11480644
"new.row.10123","35620",2012,11641236
"new.row.10124","35620",2013,11848867
"new.row.10125","36140",1969,24006
"new.row.10126","36140",1970,25672
"new.row.10127","36140",1971,26985
"new.row.10128","36140",1972,28236
"new.row.10129","36140",1973,30935
"new.row.10130","36140",1974,30751
"new.row.10131","36140",1975,31385
"new.row.10132","36140",1976,32553
"new.row.10133","36140",1977,34569
"new.row.10134","36140",1978,36393
"new.row.10135","36140",1979,37189
"new.row.10136","36140",1980,38264
"new.row.10137","36140",1981,39013
"new.row.10138","36140",1982,39669
"new.row.10139","36140",1983,42138
"new.row.10140","36140",1984,43146
"new.row.10141","36140",1985,43532
"new.row.10142","36140",1986,44391
"new.row.10143","36140",1987,44431
"new.row.10144","36140",1988,46515
"new.row.10145","36140",1989,47087
"new.row.10146","36140",1990,47010
"new.row.10147","36140",1991,46586
"new.row.10148","36140",1992,47721
"new.row.10149","36140",1993,47462
"new.row.10150","36140",1994,47835
"new.row.10151","36140",1995,48319
"new.row.10152","36140",1996,49078
"new.row.10153","36140",1997,50322
"new.row.10154","36140",1998,51249
"new.row.10155","36140",1999,51877
"new.row.10156","36140",2000,53971
"new.row.10157","36140",2001,56793
"new.row.10158","36140",2002,57680
"new.row.10159","36140",2003,59017
"new.row.10160","36140",2004,61025
"new.row.10161","36140",2005,63304
"new.row.10162","36140",2006,63334
"new.row.10163","36140",2007,63129
"new.row.10164","36140",2008,62687
"new.row.10165","36140",2009,62097
"new.row.10166","36140",2010,61835
"new.row.10167","36140",2011,61923
"new.row.10168","36140",2012,61746
"new.row.10169","36140",2013,62376
"new.row.10170","45940",1969,149855
"new.row.10171","45940",1970,153757
"new.row.10172","45940",1971,153733
"new.row.10173","45940",1972,161814
"new.row.10174","45940",1973,166704
"new.row.10175","45940",1974,169496
"new.row.10176","45940",1975,163246
"new.row.10177","45940",1976,166848
"new.row.10178","45940",1977,169701
"new.row.10179","45940",1978,175837
"new.row.10180","45940",1979,180281
