"","msa.fips","year","average.earnings.per.job"
"new.row.2635","22660",2008,39736
"new.row.2636","22660",2009,39674
"new.row.2637","22660",2010,40518
"new.row.2638","22660",2011,41522
"new.row.2639","22660",2012,42602
"new.row.2640","24300",1969,5844
"new.row.2641","24300",1970,6202
"new.row.2642","24300",1971,6803
"new.row.2643","24300",1972,7178
"new.row.2644","24300",1973,7705
"new.row.2645","24300",1974,8533
"new.row.2646","24300",1975,9281
"new.row.2647","24300",1976,9887
"new.row.2648","24300",1977,11101
"new.row.2649","24300",1978,12124
"new.row.2650","24300",1979,13026
"new.row.2651","24300",1980,14033
"new.row.2652","24300",1981,15268
"new.row.2653","24300",1982,15776
"new.row.2654","24300",1983,15940
"new.row.2655","24300",1984,16095
"new.row.2656","24300",1985,16378
"new.row.2657","24300",1986,16058
"new.row.2658","24300",1987,17823
"new.row.2659","24300",1988,18642
"new.row.2660","24300",1989,18623
"new.row.2661","24300",1990,19439
"new.row.2662","24300",1991,20555
"new.row.2663","24300",1992,22210
"new.row.2664","24300",1993,22971
"new.row.2665","24300",1994,23291
"new.row.2666","24300",1995,23701
"new.row.2667","24300",1996,24124
"new.row.2668","24300",1997,25465
"new.row.2669","24300",1998,26919
"new.row.2670","24300",1999,28073
"new.row.2671","24300",2000,29670
"new.row.2672","24300",2001,30053
"new.row.2673","24300",2002,30873
"new.row.2674","24300",2003,31506
"new.row.2675","24300",2004,32290
"new.row.2676","24300",2005,33730
"new.row.2677","24300",2006,35765
"new.row.2678","24300",2007,36777
"new.row.2679","24300",2008,39490
"new.row.2680","24300",2009,39018
"new.row.2681","24300",2010,38648
"new.row.2682","24300",2011,40061
"new.row.2683","24300",2012,40742
"new.row.2684","24540",1969,6264
"new.row.2685","24540",1970,7105
"new.row.2686","24540",1971,7545
"new.row.2687","24540",1972,8154
"new.row.2688","24540",1973,8803
"new.row.2689","24540",1974,9929
"new.row.2690","24540",1975,10461
"new.row.2691","24540",1976,10877
"new.row.2692","24540",1977,10318
"new.row.2693","24540",1978,11574
"new.row.2694","24540",1979,12459
"new.row.2695","24540",1980,12345
"new.row.2696","24540",1981,14184
"new.row.2697","24540",1982,14427
"new.row.2698","24540",1983,15271
"new.row.2699","24540",1984,16764
"new.row.2700","24540",1985,17322
"new.row.2701","24540",1986,18177
"new.row.2702","24540",1987,19069
"new.row.2703","24540",1988,19679
"new.row.2704","24540",1989,21312
"new.row.2705","24540",1990,22391
"new.row.2706","24540",1991,22912
"new.row.2707","24540",1992,24064
"new.row.2708","24540",1993,25320
"new.row.2709","24540",1994,25649
"new.row.2710","24540",1995,25864
"new.row.2711","24540",1996,27033
"new.row.2712","24540",1997,27965
"new.row.2713","24540",1998,30013
"new.row.2714","24540",1999,32500
"new.row.2715","24540",2000,33963
"new.row.2716","24540",2001,35790
"new.row.2717","24540",2002,36117
"new.row.2718","24540",2003,36158
"new.row.2719","24540",2004,37229
"new.row.2720","24540",2005,38506
"new.row.2721","24540",2006,39545
"new.row.2722","24540",2007,40349
"new.row.2723","24540",2008,41074
"new.row.2724","24540",2009,40032
"new.row.2725","24540",2010,41399
"new.row.2726","24540",2011,42986
"new.row.2727","24540",2012,44793
"new.row.2728","39380",1969,6740
"new.row.2729","39380",1970,7108
"new.row.2730","39380",1971,7652
"new.row.2731","39380",1972,8227
"new.row.2732","39380",1973,8917
"new.row.2733","39380",1974,9760
"new.row.2734","39380",1975,10693
"new.row.2735","39380",1976,11421
"new.row.2736","39380",1977,12245
"new.row.2737","39380",1978,13307
"new.row.2738","39380",1979,14537
"new.row.2739","39380",1980,15730
"new.row.2740","39380",1981,17436
"new.row.2741","39380",1982,17491
"new.row.2742","39380",1983,17306
"new.row.2743","39380",1984,17835
"new.row.2744","39380",1985,18393
"new.row.2745","39380",1986,18916
"new.row.2746","39380",1987,19054
"new.row.2747","39380",1988,19526
"new.row.2748","39380",1989,20433
"new.row.2749","39380",1990,20736
"new.row.2750","39380",1991,21620
"new.row.2751","39380",1992,22749
"new.row.2752","39380",1993,23684
"new.row.2753","39380",1994,24511
"new.row.2754","39380",1995,25107
"new.row.2755","39380",1996,25330
"new.row.2756","39380",1997,26597
"new.row.2757","39380",1998,27411
"new.row.2758","39380",1999,28996
"new.row.2759","39380",2000,30637
"new.row.2760","39380",2001,32359
"new.row.2761","39380",2002,33209
"new.row.2762","39380",2003,33491
"new.row.2763","39380",2004,35276
"new.row.2764","39380",2005,34931
"new.row.2765","39380",2006,35885
"new.row.2766","39380",2007,36682
"new.row.2767","39380",2008,37956
"new.row.2768","39380",2009,38699
"new.row.2769","39380",2010,39675
"new.row.2770","39380",2011,41518
"new.row.2771","39380",2012,42996
"new.row.2772","14860",1969,8164
"new.row.2773","14860",1970,8618
"new.row.2774","14860",1971,9102
"new.row.2775","14860",1972,9747
"new.row.2776","14860",1973,10348
"new.row.2777","14860",1974,11050
"new.row.2778","14860",1975,11942
"new.row.2779","14860",1976,12912
"new.row.2780","14860",1977,14022
"new.row.2781","14860",1978,15139
"new.row.2782","14860",1979,16514
"new.row.2783","14860",1980,18209
"new.row.2784","14860",1981,19680
"new.row.2785","14860",1982,20918
"new.row.2786","14860",1983,22300
"new.row.2787","14860",1984,24313
"new.row.2788","14860",1985,25818
"new.row.2789","14860",1986,27506
"new.row.2790","14860",1987,30137
"new.row.2791","14860",1988,33039
"new.row.2792","14860",1989,34904
"new.row.2793","14860",1990,36804
"new.row.2794","14860",1991,38768
"new.row.2795","14860",1992,42027
"new.row.2796","14860",1993,43334
"new.row.2797","14860",1994,45180
"new.row.2798","14860",1995,47773
"new.row.2799","14860",1996,49957
"new.row.2800","14860",1997,54605
"new.row.2801","14860",1998,57530
"new.row.2802","14860",1999,60740
"new.row.2803","14860",2000,65750
"new.row.2804","14860",2001,70161
"new.row.2805","14860",2002,69065
"new.row.2806","14860",2003,69972
"new.row.2807","14860",2004,73271
"new.row.2808","14860",2005,75430
"new.row.2809","14860",2006,78880
"new.row.2810","14860",2007,80031
"new.row.2811","14860",2008,79965
"new.row.2812","14860",2009,77982
"new.row.2813","14860",2010,81934
"new.row.2814","14860",2011,83955
"new.row.2815","14860",2012,84636
"new.row.2816","25540",1969,8168
"new.row.2817","25540",1970,8589
"new.row.2818","25540",1971,8958
"new.row.2819","25540",1972,9513
"new.row.2820","25540",1973,10093
"new.row.2821","25540",1974,10713
"new.row.2822","25540",1975,11489
"new.row.2823","25540",1976,12203
"new.row.2824","25540",1977,13055
"new.row.2825","25540",1978,14127
"new.row.2826","25540",1979,15473
"new.row.2827","25540",1980,16876
"new.row.2828","25540",1981,18230
"new.row.2829","25540",1982,19543
"new.row.2830","25540",1983,20831
"new.row.2831","25540",1984,22260
"new.row.2832","25540",1985,23507
"new.row.2833","25540",1986,24836
"new.row.2834","25540",1987,26842
"new.row.2835","25540",1988,28634
"new.row.2836","25540",1989,30434
"new.row.2837","25540",1990,31871
"new.row.2838","25540",1991,33624
"new.row.2839","25540",1992,35420
"new.row.2840","25540",1993,36358
"new.row.2841","25540",1994,37833
"new.row.2842","25540",1995,38055
"new.row.2843","25540",1996,38856
"new.row.2844","25540",1997,41143
"new.row.2845","25540",1998,43422
"new.row.2846","25540",1999,45577
"new.row.2847","25540",2000,48338
"new.row.2848","25540",2001,50562
"new.row.2849","25540",2002,51579
"new.row.2850","25540",2003,53005
"new.row.2851","25540",2004,56007
"new.row.2852","25540",2005,57759
"new.row.2853","25540",2006,59298
"new.row.2854","25540",2007,61200
"new.row.2855","25540",2008,61117
"new.row.2856","25540",2009,61483
"new.row.2857","25540",2010,63313
"new.row.2858","25540",2011,64400
"new.row.2859","25540",2012,65635
"new.row.2860","35300",1969,7667
"new.row.2861","35300",1970,8115
"new.row.2862","35300",1971,8630
"new.row.2863","35300",1972,9199
"new.row.2864","35300",1973,9683
"new.row.2865","35300",1974,10159
"new.row.2866","35300",1975,10823
"new.row.2867","35300",1976,11547
"new.row.2868","35300",1977,12321
"new.row.2869","35300",1978,13257
"new.row.2870","35300",1979,14273
"new.row.2871","35300",1980,15311
"new.row.2872","35300",1981,16440
"new.row.2873","35300",1982,17467
"new.row.2874","35300",1983,18769
"new.row.2875","35300",1984,20088
"new.row.2876","35300",1985,21191
"new.row.2877","35300",1986,22308
"new.row.2878","35300",1987,24187
"new.row.2879","35300",1988,26064
"new.row.2880","35300",1989,27534
"new.row.2881","35300",1990,28654
"new.row.2882","35300",1991,30469
"new.row.2883","35300",1992,32192
"new.row.2884","35300",1993,32973
"new.row.2885","35300",1994,34224
"new.row.2886","35300",1995,34728
"new.row.2887","35300",1996,35518
"new.row.2888","35300",1997,37519
"new.row.2889","35300",1998,39224
"new.row.2890","35300",1999,40693
"new.row.2891","35300",2000,43085
"new.row.2892","35300",2001,44489
"new.row.2893","35300",2002,45955
"new.row.2894","35300",2003,47238
"new.row.2895","35300",2004,48921
"new.row.2896","35300",2005,49734
"new.row.2897","35300",2006,50933
"new.row.2898","35300",2007,51847
"new.row.2899","35300",2008,52456
"new.row.2900","35300",2009,53088
"new.row.2901","35300",2010,54745
"new.row.2902","35300",2011,55093
"new.row.2903","35300",2012,55944
"new.row.2904","35980",1969,7690
"new.row.2905","35980",1970,8142
"new.row.2906","35980",1971,8706
"new.row.2907","35980",1972,9403
"new.row.2908","35980",1973,10082
"new.row.2909","35980",1974,10761
"new.row.2910","35980",1975,11387
"new.row.2911","35980",1976,12144
"new.row.2912","35980",1977,12988
"new.row.2913","35980",1978,13729
"new.row.2914","35980",1979,14906
"new.row.2915","35980",1980,16240
"new.row.2916","35980",1981,18049
"new.row.2917","35980",1982,19617
"new.row.2918","35980",1983,21222
"new.row.2919","35980",1984,22650
"new.row.2920","35980",1985,23486
"new.row.2921","35980",1986,23432
"new.row.2922","35980",1987,24667
"new.row.2923","35980",1988,25781
"new.row.2924","35980",1989,27209
"new.row.2925","35980",1990,27911
"new.row.2926","35980",1991,29774
"new.row.2927","35980",1992,31419
"new.row.2928","35980",1993,32514
"new.row.2929","35980",1994,34650
"new.row.2930","35980",1995,35455
"new.row.2931","35980",1996,36346
"new.row.2932","35980",1997,38282
"new.row.2933","35980",1998,39614
"new.row.2934","35980",1999,41170
"new.row.2935","35980",2000,42043
"new.row.2936","35980",2001,43804
"new.row.2937","35980",2002,45148
"new.row.2938","35980",2003,46780
"new.row.2939","35980",2004,49147
"new.row.2940","35980",2005,49734
"new.row.2941","35980",2006,51043
"new.row.2942","35980",2007,52337
"new.row.2943","35980",2008,52991
"new.row.2944","35980",2009,54021
"new.row.2945","35980",2010,55087
"new.row.2946","35980",2011,56006
"new.row.2947","35980",2012,56553
"new.row.2948","49340",1969,6912
"new.row.2949","49340",1970,7287
"new.row.2950","49340",1971,7673
"new.row.2951","49340",1972,8166
"new.row.2952","49340",1973,8702
"new.row.2953","49340",1974,9198
"new.row.2954","49340",1975,9834
"new.row.2955","49340",1976,10617
"new.row.2956","49340",1977,11284
"new.row.2957","49340",1978,12161
"new.row.2958","49340",1979,13061
"new.row.2959","49340",1980,14141
"new.row.2960","49340",1981,15504
"new.row.2961","49340",1982,16516
"new.row.2962","49340",1983,17388
"new.row.2963","49340",1984,18830
"new.row.2964","49340",1985,19848
"new.row.2965","49340",1986,21044
"new.row.2966","49340",1987,23058
"new.row.2967","49340",1988,24561
"new.row.2968","49340",1989,25871
"new.row.2969","49340",1990,26705
"new.row.2970","49340",1991,27790
"new.row.2971","49340",1992,28853
"new.row.2972","49340",1993,29699
"new.row.2973","49340",1994,30842
"new.row.2974","49340",1995,31373
"new.row.2975","49340",1996,32782
"new.row.2976","49340",1997,34060
"new.row.2977","49340",1998,35615
"new.row.2978","49340",1999,36970
"new.row.2979","49340",2000,40457
"new.row.2980","49340",2001,40865
"new.row.2981","49340",2002,41540
"new.row.2982","49340",2003,42743
"new.row.2983","49340",2004,44365
"new.row.2984","49340",2005,44947
"new.row.2985","49340",2006,46489
"new.row.2986","49340",2007,47328
"new.row.2987","49340",2008,48112
"new.row.2988","49340",2009,48302
"new.row.2989","49340",2010,50665
"new.row.2990","49340",2011,51364
"new.row.2991","49340",2012,51677
"new.row.2992","20100",1969,6365
"new.row.2993","20100",1970,6829
"new.row.2994","20100",1971,7426
"new.row.2995","20100",1972,7854
"new.row.2996","20100",1973,8591
"new.row.2997","20100",1974,9561
"new.row.2998","20100",1975,10404
"new.row.2999","20100",1976,11136
"new.row.3000","20100",1977,11532
"new.row.3001","20100",1978,12517
"new.row.3002","20100",1979,13029
"new.row.3003","20100",1980,13681
"new.row.3004","20100",1981,15242
"new.row.3005","20100",1982,16101
"new.row.3006","20100",1983,16927
"new.row.3007","20100",1984,18056
"new.row.3008","20100",1985,18493
"new.row.3009","20100",1986,19363
"new.row.3010","20100",1987,20376
"new.row.3011","20100",1988,21799
"new.row.3012","20100",1989,23104
"new.row.3013","20100",1990,24515
"new.row.3014","20100",1991,24941
"new.row.3015","20100",1992,25826
"new.row.3016","20100",1993,26282
"new.row.3017","20100",1994,27167
"new.row.3018","20100",1995,27854
"new.row.3019","20100",1996,28981
"new.row.3020","20100",1997,29513
"new.row.3021","20100",1998,31083
"new.row.3022","20100",1999,32404
"new.row.3023","20100",2000,34018
"new.row.3024","20100",2001,34382
"new.row.3025","20100",2002,36409
"new.row.3026","20100",2003,37750
"new.row.3027","20100",2004,39492
"new.row.3028","20100",2005,40553
"new.row.3029","20100",2006,41817
"new.row.3030","20100",2007,42417
"new.row.3031","20100",2008,43916
"new.row.3032","20100",2009,47130
"new.row.3033","20100",2010,46505
"new.row.3034","20100",2011,45979
"new.row.3035","20100",2012,46964
"new.row.3036","37980",1969,7829
"new.row.3037","37980",1970,8323
"new.row.3038","37980",1971,8889
"new.row.3039","37980",1972,9517
"new.row.3040","37980",1973,10153
"new.row.3041","37980",1974,10942
"new.row.3042","37980",1975,11864
"new.row.3043","37980",1976,12788
"new.row.3044","37980",1977,13784
"new.row.3045","37980",1978,14859
"new.row.3046","37980",1979,15975
"new.row.3047","37980",1980,17253
"new.row.3048","37980",1981,18658
"new.row.3049","37980",1982,19760
"new.row.3050","37980",1983,20950
"new.row.3051","37980",1984,22208
"new.row.3052","37980",1985,23373
"new.row.3053","37980",1986,24427
"new.row.3054","37980",1987,25757
"new.row.3055","37980",1988,27378
"new.row.3056","37980",1989,28815
"new.row.3057","37980",1990,30311
"new.row.3058","37980",1991,31685
"new.row.3059","37980",1992,33771
"new.row.3060","37980",1993,34708
"new.row.3061","37980",1994,35793
"new.row.3062","37980",1995,36788
"new.row.3063","37980",1996,38173
"new.row.3064","37980",1997,39606
"new.row.3065","37980",1998,41758
"new.row.3066","37980",1999,43518
"new.row.3067","37980",2000,45799
"new.row.3068","37980",2001,48228
"new.row.3069","37980",2002,50212
"new.row.3070","37980",2003,51883
"new.row.3071","37980",2004,54209
"new.row.3072","37980",2005,55440
"new.row.3073","37980",2006,57701
"new.row.3074","37980",2007,58554
"new.row.3075","37980",2008,60324
"new.row.3076","37980",2009,60792
"new.row.3077","37980",2010,62206
"new.row.3078","37980",2011,63592
"new.row.3079","37980",2012,64684
"new.row.3080","41540",1969,5698
"new.row.3081","41540",1970,5690
"new.row.3082","41540",1971,5939
"new.row.3083","41540",1972,6513
"new.row.3084","41540",1973,7551
"new.row.3085","41540",1974,7575
"new.row.3086","41540",1975,8745
"new.row.3087","41540",1976,9302
"new.row.3088","41540",1977,9499
"new.row.3089","41540",1978,10169
"new.row.3090","41540",1979,10771
"new.row.3091","41540",1980,11232
"new.row.3092","41540",1981,12206
"new.row.3093","41540",1982,13136
"new.row.3094","41540",1983,13649
"new.row.3095","41540",1984,15110
"new.row.3096","41540",1985,15909
"new.row.3097","41540",1986,17402
"new.row.3098","41540",1987,18015
"new.row.3099","41540",1988,19259
"new.row.3100","41540",1989,20294
"new.row.3101","41540",1990,20610
"new.row.3102","41540",1991,21502
"new.row.3103","41540",1992,22401
"new.row.3104","41540",1993,23000
"new.row.3105","41540",1994,23868
"new.row.3106","41540",1995,23754
"new.row.3107","41540",1996,24705
"new.row.3108","41540",1997,25402
"new.row.3109","41540",1998,26888
"new.row.3110","41540",1999,28202
"new.row.3111","41540",2000,29091
"new.row.3112","41540",2001,30591
"new.row.3113","41540",2002,30763
"new.row.3114","41540",2003,33141
"new.row.3115","41540",2004,34929
"new.row.3116","41540",2005,36281
"new.row.3117","41540",2006,37211
"new.row.3118","41540",2007,37721
"new.row.3119","41540",2008,38335
"new.row.3120","41540",2009,38722
"new.row.3121","41540",2010,39580
"new.row.3122","41540",2011,39960
"new.row.3123","41540",2012,40391
"new.row.3124","47900",1969,8563
"new.row.3125","47900",1970,9293
"new.row.3126","47900",1971,10122
"new.row.3127","47900",1972,10823
"new.row.3128","47900",1973,11482
"new.row.3129","47900",1974,12166
"new.row.3130","47900",1975,13153
"new.row.3131","47900",1976,14193
"new.row.3132","47900",1977,15068
"new.row.3133","47900",1978,16036
"new.row.3134","47900",1979,17179
"new.row.3135","47900",1980,18714
"new.row.3136","47900",1981,20343
"new.row.3137","47900",1982,21787
"new.row.3138","47900",1983,23023
"new.row.3139","47900",1984,24344
"new.row.3140","47900",1985,25488
"new.row.3141","47900",1986,26488
"new.row.3142","47900",1987,27619
"new.row.3143","47900",1988,29599
"new.row.3144","47900",1989,30962
"new.row.3145","47900",1990,32222
"new.row.3146","47900",1991,34231
"new.row.3147","47900",1992,36491
"new.row.3148","47900",1993,37593
"new.row.3149","47900",1994,38871
"new.row.3150","47900",1995,39651
"new.row.3151","47900",1996,40914
"new.row.3152","47900",1997,42734
"new.row.3153","47900",1998,45564
"new.row.3154","47900",1999,48345
"new.row.3155","47900",2000,51248
"new.row.3156","47900",2001,53852
"new.row.3157","47900",2002,55168
"new.row.3158","47900",2003,57398
"new.row.3159","47900",2004,60413
"new.row.3160","47900",2005,62894
"new.row.3161","47900",2006,65284
"new.row.3162","47900",2007,66720
"new.row.3163","47900",2008,69420
"new.row.3164","47900",2009,70737
"new.row.3165","47900",2010,73383
"new.row.3166","47900",2011,75084
"new.row.3167","47900",2012,75873
"new.row.3168","15980",1969,5889
"new.row.3169","15980",1970,6213
"new.row.3170","15980",1971,6530
"new.row.3171","15980",1972,6974
"new.row.3172","15980",1973,7412
"new.row.3173","15980",1974,8002
"new.row.3174","15980",1975,8481
"new.row.3175","15980",1976,9139
"new.row.3176","15980",1977,9561
"new.row.3177","15980",1978,10340
"new.row.3178","15980",1979,11169
"new.row.3179","15980",1980,12148
"new.row.3180","15980",1981,12919
"new.row.3181","15980",1982,13112
"new.row.3182","15980",1983,13961
"new.row.3183","15980",1984,14933
"new.row.3184","15980",1985,15776
"new.row.3185","15980",1986,16901
"new.row.3186","15980",1987,18931
"new.row.3187","15980",1988,19692
"new.row.3188","15980",1989,20461
"new.row.3189","15980",1990,21176
"new.row.3190","15980",1991,22463
"new.row.3191","15980",1992,24114
"new.row.3192","15980",1993,24628
"new.row.3193","15980",1994,25335
"new.row.3194","15980",1995,25913
"new.row.3195","15980",1996,27015
"new.row.3196","15980",1997,27171
"new.row.3197","15980",1998,28899
"new.row.3198","15980",1999,30852
"new.row.3199","15980",2000,31926
"new.row.3200","15980",2001,34149
"new.row.3201","15980",2002,36303
"new.row.3202","15980",2003,36979
"new.row.3203","15980",2004,38483
"new.row.3204","15980",2005,40408
"new.row.3205","15980",2006,41408
"new.row.3206","15980",2007,41018
"new.row.3207","15980",2008,40786
"new.row.3208","15980",2009,39457
"new.row.3209","15980",2010,39589
"new.row.3210","15980",2011,40153
"new.row.3211","15980",2012,40670
"new.row.3212","18880",1969,6798
"new.row.3213","18880",1970,7435
"new.row.3214","18880",1971,8144
"new.row.3215","18880",1972,8906
"new.row.3216","18880",1973,9123
"new.row.3217","18880",1974,9455
"new.row.3218","18880",1975,10235
"new.row.3219","18880",1976,10876
"new.row.3220","18880",1977,11427
"new.row.3221","18880",1978,12149
"new.row.3222","18880",1979,12827
"new.row.3223","18880",1980,13778
"new.row.3224","18880",1981,15403
"new.row.3225","18880",1982,16164
"new.row.3226","18880",1983,16708
"new.row.3227","18880",1984,17305
"new.row.3228","18880",1985,17647
"new.row.3229","18880",1986,18232
"new.row.3230","18880",1987,19499
"new.row.3231","18880",1988,20409
"new.row.3232","18880",1989,21318
"new.row.3233","18880",1990,22445
"new.row.3234","18880",1991,23349
"new.row.3235","18880",1992,24491
"new.row.3236","18880",1993,25102
"new.row.3237","18880",1994,24720
"new.row.3238","18880",1995,25780
"new.row.3239","18880",1996,26775
"new.row.3240","18880",1997,27013
"new.row.3241","18880",1998,27840
"new.row.3242","18880",1999,28826
"new.row.3243","18880",2000,29899
"new.row.3244","18880",2001,32972
"new.row.3245","18880",2002,36619
"new.row.3246","18880",2003,37965
"new.row.3247","18880",2004,38455
"new.row.3248","18880",2005,41427
"new.row.3249","18880",2006,42441
"new.row.3250","18880",2007,42603
"new.row.3251","18880",2008,43249
"new.row.3252","18880",2009,43589
"new.row.3253","18880",2010,44442
"new.row.3254","18880",2011,45187
"new.row.3255","18880",2012,46747
"new.row.3256","19660",1969,5526
"new.row.3257","19660",1970,5797
"new.row.3258","19660",1971,6085
"new.row.3259","19660",1972,6528
"new.row.3260","19660",1973,7082
"new.row.3261","19660",1974,7540
"new.row.3262","19660",1975,8086
"new.row.3263","19660",1976,8700
"new.row.3264","19660",1977,9138
"new.row.3265","19660",1978,9924
"new.row.3266","19660",1979,10750
"new.row.3267","19660",1980,11627
"new.row.3268","19660",1981,12501
"new.row.3269","19660",1982,12991
"new.row.3270","19660",1983,13841
"new.row.3271","19660",1984,14758
"new.row.3272","19660",1985,15383
"new.row.3273","19660",1986,16062
"new.row.3274","19660",1987,17652
"new.row.3275","19660",1988,18459
"new.row.3276","19660",1989,19343
"new.row.3277","19660",1990,20611
"new.row.3278","19660",1991,21410
"new.row.3279","19660",1992,22829
"new.row.3280","19660",1993,23493
"new.row.3281","19660",1994,24135
"new.row.3282","19660",1995,24683
"new.row.3283","19660",1996,25494
"new.row.3284","19660",1997,26415
"new.row.3285","19660",1998,27038
"new.row.3286","19660",1999,28494
"new.row.3287","19660",2000,29507
"new.row.3288","19660",2001,30934
"new.row.3289","19660",2002,31461
"new.row.3290","19660",2003,32557
"new.row.3291","19660",2004,34072
"new.row.3292","19660",2005,34961
"new.row.3293","19660",2006,35880
"new.row.3294","19660",2007,36195
"new.row.3295","19660",2008,36624
"new.row.3296","19660",2009,36413
"new.row.3297","19660",2010,37543
"new.row.3298","19660",2011,37314
"new.row.3299","19660",2012,38361
"new.row.3300","23540",1969,5597
"new.row.3301","23540",1970,6068
"new.row.3302","23540",1971,6605
"new.row.3303","23540",1972,7201
"new.row.3304","23540",1973,7865
"new.row.3305","23540",1974,8401
"new.row.3306","23540",1975,9022
"new.row.3307","23540",1976,9726
"new.row.3308","23540",1977,10210
"new.row.3309","23540",1978,10963
"new.row.3310","23540",1979,11765
"new.row.3311","23540",1980,12635
"new.row.3312","23540",1981,13724
"new.row.3313","23540",1982,14613
"new.row.3314","23540",1983,15743
"new.row.3315","23540",1984,16844
"new.row.3316","23540",1985,17722
"new.row.3317","23540",1986,18069
"new.row.3318","23540",1987,19234
"new.row.3319","23540",1988,20312
"new.row.3320","23540",1989,21515
"new.row.3321","23540",1990,22322
"new.row.3322","23540",1991,23352
"new.row.3323","23540",1992,24873
"new.row.3324","23540",1993,25315
"new.row.3325","23540",1994,25942
"new.row.3326","23540",1995,26281
"new.row.3327","23540",1996,26879
"new.row.3328","23540",1997,28092
"new.row.3329","23540",1998,29237
"new.row.3330","23540",1999,30019
"new.row.3331","23540",2000,30900
"new.row.3332","23540",2001,31650
"new.row.3333","23540",2002,33247
"new.row.3334","23540",2003,34045
"new.row.3335","23540",2004,36759
"new.row.3336","23540",2005,38427
"new.row.3337","23540",2006,39998
"new.row.3338","23540",2007,40746
"new.row.3339","23540",2008,41813
"new.row.3340","23540",2009,42565
"new.row.3341","23540",2010,44248
"new.row.3342","23540",2011,44289
"new.row.3343","23540",2012,45196
"new.row.3344","26140",1969,5672
"new.row.3345","26140",1970,5958
"new.row.3346","26140",1971,6105
"new.row.3347","26140",1972,6566
"new.row.3348","26140",1973,7600
"new.row.3349","26140",1974,7449
"new.row.3350","26140",1975,7830
"new.row.3351","26140",1976,8500
"new.row.3352","26140",1977,8727
"new.row.3353","26140",1978,9350
"new.row.3354","26140",1979,10131
"new.row.3355","26140",1980,11091
"new.row.3356","26140",1981,11869
"new.row.3357","26140",1982,12762
"new.row.3358","26140",1983,12912
"new.row.3359","26140",1984,13953
"new.row.3360","26140",1985,15728
"new.row.3361","26140",1986,14815
"new.row.3362","26140",1987,16543
"new.row.3363","26140",1988,16738
"new.row.3364","26140",1989,17929
"new.row.3365","26140",1990,18328
"new.row.3366","26140",1991,20132
"new.row.3367","26140",1992,22102
"new.row.3368","26140",1993,22482
"new.row.3369","26140",1994,22642
"new.row.3370","26140",1995,22895
"new.row.3371","26140",1996,22907
"new.row.3372","26140",1997,24382
"new.row.3373","26140",1998,24314
"new.row.3374","26140",1999,25613
"new.row.3375","26140",2000,25917
"new.row.3376","26140",2001,26929
"new.row.3377","26140",2002,27191
"new.row.3378","26140",2003,28337
"new.row.3379","26140",2004,28853
"new.row.3380","26140",2005,30740
"new.row.3381","26140",2006,31557
"new.row.3382","26140",2007,31131
"new.row.3383","26140",2008,31803
"new.row.3384","26140",2009,33100
"new.row.3385","26140",2010,35016
"new.row.3386","26140",2011,34586
"new.row.3387","26140",2012,34772
"new.row.3388","27260",1969,6697
"new.row.3389","27260",1970,7216
"new.row.3390","27260",1971,7801
"new.row.3391","27260",1972,8446
"new.row.3392","27260",1973,8980
"new.row.3393","27260",1974,9662
"new.row.3394","27260",1975,10490
"new.row.3395","27260",1976,11251
"new.row.3396","27260",1977,11967
"new.row.3397","27260",1978,12676
"new.row.3398","27260",1979,13757
"new.row.3399","27260",1980,14983
"new.row.3400","27260",1981,16527
"new.row.3401","27260",1982,17620
"new.row.3402","27260",1983,18612
"new.row.3403","27260",1984,19655
"new.row.3404","27260",1985,20369
"new.row.3405","27260",1986,21239
"new.row.3406","27260",1987,22540
"new.row.3407","27260",1988,23572
"new.row.3408","27260",1989,24287
"new.row.3409","27260",1990,25173
"new.row.3410","27260",1991,26131
"new.row.3411","27260",1992,27809
"new.row.3412","27260",1993,28708
"new.row.3413","27260",1994,29541
"new.row.3414","27260",1995,30386
"new.row.3415","27260",1996,31229
"new.row.3416","27260",1997,32486
"new.row.3417","27260",1998,34103
"new.row.3418","27260",1999,34825
"new.row.3419","27260",2000,36630
"new.row.3420","27260",2001,38129
"new.row.3421","27260",2002,39601
"new.row.3422","27260",2003,41285
"new.row.3423","27260",2004,42495
"new.row.3424","27260",2005,44169
"new.row.3425","27260",2006,45893
"new.row.3426","27260",2007,46119
"new.row.3427","27260",2008,46023
"new.row.3428","27260",2009,45926
"new.row.3429","27260",2010,47387
"new.row.3430","27260",2011,47162
"new.row.3431","27260",2012,48408
"new.row.3432","29460",1969,6340
"new.row.3433","29460",1970,6588
"new.row.3434","29460",1971,7031
"new.row.3435","29460",1972,7658
"new.row.3436","29460",1973,8201
"new.row.3437","29460",1974,8957
"new.row.3438","29460",1975,9793
"new.row.3439","29460",1976,10448
"new.row.3440","29460",1977,11271
"new.row.3441","29460",1978,12342
"new.row.3442","29460",1979,13395
"new.row.3443","29460",1980,14932
"new.row.3444","29460",1981,15586
"new.row.3445","29460",1982,16078
"new.row.3446","29460",1983,16983
"new.row.3447","29460",1984,17679
"new.row.3448","29460",1985,18120
"new.row.3449","29460",1986,18693
"new.row.3450","29460",1987,20265
"new.row.3451","29460",1988,21295
"new.row.3452","29460",1989,21928
"new.row.3453","29460",1990,22750
"new.row.3454","29460",1991,23644
"new.row.3455","29460",1992,25148
"new.row.3456","29460",1993,25877
