area_code,year,high.tech.occupations,total.jobs,rate
36740,2013,22110,1042150,0.021215756
36780,2013,1180,91970,0.012830271
36980,2013,270,49410,0.005464481
37100,2013,7830,292930,0.026729935
37340,2013,10960,191320,0.057286222
37380,2013,50,18950,0.002638522
37460,2013,530,70530,0.007514533
37620,2013,190,67000,0.002835821
37700,2013,820,53620,0.015292801
37860,2013,2150,153140,0.014039441
37900,2013,4180,180700,0.023132263
37964,2013,72250,1840120,0.039263744
37980,2013,99510,2666990,0.037311726
38060,2013,57780,1781210,0.032438623
38220,2013,250,33170,0.007536931
38300,2013,36540,1130750,0.032314835
38540,2013,350,33670,0.01039501
38660,2013,510,53430,0.009545199
38900,2013,31930,1027440,0.031077241
38940,2013,1060,124990,0.008480678
39100,2013,3290,244500,0.013456033
39140,2013,250,54030,0.004627059
39340,2013,7320,187680,0.039002558
39380,2013,410,55440,0.007395382
39460,2013,150,40900,0.003667482
39540,2013,600,74250,0.008080808
39580,2013,25300,533810,0.047395141
39660,2013,870,60640,0.014346966
39740,2013,2440,165800,0.014716526
39820,2013,440,56890,0.007734224
39900,2013,3380,191930,0.017610587
40060,2013,19590,606070,0.032322999
40140,2013,12820,1201500,0.010669996
40220,2013,2290,149740,0.015293175
40340,2013,2390,103960,0.022989611
40380,2013,15540,493990,0.031458127
40420,2013,1630,143210,0.011381887
40580,2013,390,54900,0.007103825
40660,2013,370,34730,0.010653614
40900,2013,32450,837960,0.038724999
40980,2013,970,82160,0.011806232
41060,2013,1230,96930,0.01268957
41100,2013,220,49730,0.004423889
41140,2013,150,52170,0.002875216
41180,2013,38740,1291420,0.029997987
41420,2013,1510,142940,0.010563873
41500,2013,1300,155210,0.008375749
41540,2013,460,50780,0.009058685
41620,2013,19560,644980,0.030326522
41660,2013,350,45590,0.007677122
41700,2013,18680,887670,0.021043856
41740,2013,62950,1290610,0.048775385
41780,2013,140,35490,0.003944773
41860,2013,118140,2049560,0.05764164
41884,2013,70590,1045700,0.067505021
41900,2013,150,18930,0.00792393
41940,2013,117680,930070,0.126528111
41980,2013,11070,721470,0.015343673
42020,2013,1470,102340,0.014363885
42044,2013,57200,1452430,0.039382277
42060,2013,5040,172640,0.029193698
42100,2013,1460,85420,0.017092016
42140,2013,630,59140,0.010652689
42220,2013,2900,176850,0.016398077
42340,2013,1590,152050,0.010457086
42540,2013,2700,250300,0.010787056
42644,2013,122740,1449770,0.084661705
42660,2013,119120,1711330,0.06960668
42680,2013,280,46100,0.006073753
43100,2013,690,55490,0.012434673
43300,2013,120,41320,0.002904163
43340,2013,1890,172230,0.010973698
43580,2013,460,71070,0.006472492
43620,2013,3250,141470,0.022973068
43780,2013,1530,124570,0.012282251
43900,2013,1770,121550,0.014561909
44060,2013,3930,200200,0.01963037
44100,2013,2350,103640,0.022674643
44180,2013,2980,189080,0.015760525
44220,2013,200,46890,0.004265302
