"","msa.fips","year","dividends.interest.and.rent"
"new.row.9800","30700",2004,1735117
"new.row.9801","30700",2005,1781882
"new.row.9802","30700",2006,2016843
"new.row.9803","30700",2007,2223225
"new.row.9804","30700",2008,2336693
"new.row.9805","30700",2009,2097169
"new.row.9806","30700",2010,2112297
"new.row.9807","30700",2011,2415820
"new.row.9808","30700",2012,2734369
"new.row.9809","30700",2013,2775709
"new.row.9810","16180",1969,11617
"new.row.9811","16180",1970,14586
"new.row.9812","16180",1971,17396
"new.row.9813","16180",1972,20082
"new.row.9814","16180",1973,22029
"new.row.9815","16180",1974,25328
"new.row.9816","16180",1975,28990
"new.row.9817","16180",1976,34379
"new.row.9818","16180",1977,41221
"new.row.9819","16180",1978,52520
"new.row.9820","16180",1979,64394
"new.row.9821","16180",1980,75869
"new.row.9822","16180",1981,91816
"new.row.9823","16180",1982,109061
"new.row.9824","16180",1983,117458
"new.row.9825","16180",1984,133889
"new.row.9826","16180",1985,152800
"new.row.9827","16180",1986,169384
"new.row.9828","16180",1987,165699
"new.row.9829","16180",1988,181487
"new.row.9830","16180",1989,211762
"new.row.9831","16180",1990,213562
"new.row.9832","16180",1991,229112
"new.row.9833","16180",1992,246846
"new.row.9834","16180",1993,266812
"new.row.9835","16180",1994,298571
"new.row.9836","16180",1995,341342
"new.row.9837","16180",1996,365194
"new.row.9838","16180",1997,380782
"new.row.9839","16180",1998,378629
"new.row.9840","16180",1999,384710
"new.row.9841","16180",2000,428483
"new.row.9842","16180",2001,425338
"new.row.9843","16180",2002,397243
"new.row.9844","16180",2003,458076
"new.row.9845","16180",2004,508291
"new.row.9846","16180",2005,535239
"new.row.9847","16180",2006,527759
"new.row.9848","16180",2007,582702
"new.row.9849","16180",2008,564606
"new.row.9850","16180",2009,504843
"new.row.9851","16180",2010,482149
"new.row.9852","16180",2011,536243
"new.row.9853","16180",2012,604357
"new.row.9854","16180",2013,609455
"new.row.9855","29820",1969,163771
"new.row.9856","29820",1970,195309
"new.row.9857","29820",1971,219961
"new.row.9858","29820",1972,243338
"new.row.9859","29820",1973,273606
"new.row.9860","29820",1974,318344
"new.row.9861","29820",1975,359566
"new.row.9862","29820",1976,409452
"new.row.9863","29820",1977,470151
"new.row.9864","29820",1978,584193
"new.row.9865","29820",1979,701638
"new.row.9866","29820",1980,861352
"new.row.9867","29820",1981,1054928
"new.row.9868","29820",1982,1261415
"new.row.9869","29820",1983,1359160
"new.row.9870","29820",1984,1527361
"new.row.9871","29820",1985,1728371
"new.row.9872","29820",1986,1894313
"new.row.9873","29820",1987,2032922
"new.row.9874","29820",1988,2304565
"new.row.9875","29820",1989,2743534
"new.row.9876","29820",1990,3093536
"new.row.9877","29820",1991,3394102
"new.row.9878","29820",1992,3774476
"new.row.9879","29820",1993,4189138
"new.row.9880","29820",1994,4814436
"new.row.9881","29820",1995,5409102
"new.row.9882","29820",1996,6055913
"new.row.9883","29820",1997,6705355
"new.row.9884","29820",1998,7529767
"new.row.9885","29820",1999,7792013
"new.row.9886","29820",2000,8568872
"new.row.9887","29820",2001,8525388
"new.row.9888","29820",2002,8804766
"new.row.9889","29820",2003,9794086
"new.row.9890","29820",2004,11140750
"new.row.9891","29820",2005,13706127
"new.row.9892","29820",2006,14906156
"new.row.9893","29820",2007,15587646
"new.row.9894","29820",2008,15027295
"new.row.9895","29820",2009,13035183
"new.row.9896","29820",2010,12649178
"new.row.9897","29820",2011,13373689
"new.row.9898","29820",2012,15359670
"new.row.9899","29820",2013,15541518
"new.row.9900","39900",1969,106631
"new.row.9901","39900",1970,121731
"new.row.9902","39900",1971,136421
"new.row.9903","39900",1972,151795
"new.row.9904","39900",1973,173289
"new.row.9905","39900",1974,202735
"new.row.9906","39900",1975,219418
"new.row.9907","39900",1976,246036
"new.row.9908","39900",1977,280067
"new.row.9909","39900",1978,344342
"new.row.9910","39900",1979,412225
"new.row.9911","39900",1980,492364
"new.row.9912","39900",1981,607476
"new.row.9913","39900",1982,713728
"new.row.9914","39900",1983,755256
"new.row.9915","39900",1984,846238
"new.row.9916","39900",1985,957742
"new.row.9917","39900",1986,1010593
"new.row.9918","39900",1987,1076597
"new.row.9919","39900",1988,1163999
"new.row.9920","39900",1989,1297717
"new.row.9921","39900",1990,1522205
"new.row.9922","39900",1991,1656482
"new.row.9923","39900",1992,1836051
"new.row.9924","39900",1993,1869908
"new.row.9925","39900",1994,2158060
"new.row.9926","39900",1995,2357497
"new.row.9927","39900",1996,2543196
"new.row.9928","39900",1997,2653940
"new.row.9929","39900",1998,2894718
"new.row.9930","39900",1999,3030242
"new.row.9931","39900",2000,3410686
"new.row.9932","39900",2001,3597900
"new.row.9933","39900",2002,3624631
"new.row.9934","39900",2003,3863227
"new.row.9935","39900",2004,4462763
"new.row.9936","39900",2005,4979205
"new.row.9937","39900",2006,5017938
"new.row.9938","39900",2007,5393473
"new.row.9939","39900",2008,5352542
"new.row.9940","39900",2009,4455218
"new.row.9941","39900",2010,4323310
"new.row.9942","39900",2011,5029481
"new.row.9943","39900",2012,5998981
"new.row.9944","39900",2013,6018424
"new.row.9945","31700",1969,134861
"new.row.9946","31700",1970,147011
"new.row.9947","31700",1971,159973
"new.row.9948","31700",1972,173801
"new.row.9949","31700",1973,188865
"new.row.9950","31700",1974,213569
"new.row.9951","31700",1975,234204
"new.row.9952","31700",1976,256630
"new.row.9953","31700",1977,292204
"new.row.9954","31700",1978,330946
"new.row.9955","31700",1979,374244
"new.row.9956","31700",1980,463153
"new.row.9957","31700",1981,574770
"new.row.9958","31700",1982,687936
"new.row.9959","31700",1983,726173
"new.row.9960","31700",1984,852191
"new.row.9961","31700",1985,943770
"new.row.9962","31700",1986,1054667
"new.row.9963","31700",1987,1129103
"new.row.9964","31700",1988,1235015
"new.row.9965","31700",1989,1395580
"new.row.9966","31700",1990,1368219
"new.row.9967","31700",1991,1357334
"new.row.9968","31700",1992,1295675
"new.row.9969","31700",1993,1338291
"new.row.9970","31700",1994,1434147
"new.row.9971","31700",1995,1543368
"new.row.9972","31700",1996,1664487
"new.row.9973","31700",1997,1794316
"new.row.9974","31700",1998,1921956
"new.row.9975","31700",1999,1912067
"new.row.9976","31700",2000,2134692
"new.row.9977","31700",2001,2134620
"new.row.9978","31700",2002,2101524
"new.row.9979","31700",2003,2140303
"new.row.9980","31700",2004,2407491
"new.row.9981","31700",2005,2232160
"new.row.9982","31700",2006,2485117
"new.row.9983","31700",2007,2740144
"new.row.9984","31700",2008,2792630
"new.row.9985","31700",2009,2628606
"new.row.9986","31700",2010,2551362
"new.row.9987","31700",2011,2992343
"new.row.9988","31700",2012,3460956
"new.row.9989","31700",2013,3572382
"new.row.9990","10900",1969,286713
"new.row.9991","10900",1970,321333
"new.row.9992","10900",1971,350170
"new.row.9993","10900",1972,381495
"new.row.9994","10900",1973,437294
"new.row.9995","10900",1974,506746
"new.row.9996","10900",1975,562282
"new.row.9997","10900",1976,601613
"new.row.9998","10900",1977,672142
"new.row.9999","10900",1978,743291
"new.row.10000","10900",1979,836888
"new.row.10001","10900",1980,1042200
"new.row.10002","10900",1981,1298075
"new.row.10003","10900",1982,1533773
"new.row.10004","10900",1983,1602370
"new.row.10005","10900",1984,1806134
"new.row.10006","10900",1985,1986366
"new.row.10007","10900",1986,2096007
"new.row.10008","10900",1987,2173568
"new.row.10009","10900",1988,2324814
"new.row.10010","10900",1989,2708375
"new.row.10011","10900",1990,2745373
"new.row.10012","10900",1991,2936818
"new.row.10013","10900",1992,2790390
"new.row.10014","10900",1993,2825616
"new.row.10015","10900",1994,2984809
"new.row.10016","10900",1995,3169740
"new.row.10017","10900",1996,3375863
"new.row.10018","10900",1997,3653982
"new.row.10019","10900",1998,3845106
"new.row.10020","10900",1999,3805388
"new.row.10021","10900",2000,4183558
"new.row.10022","10900",2001,4136833
"new.row.10023","10900",2002,4153209
"new.row.10024","10900",2003,4327717
"new.row.10025","10900",2004,4274643
"new.row.10026","10900",2005,4307383
"new.row.10027","10900",2006,4846523
"new.row.10028","10900",2007,5560763
"new.row.10029","10900",2008,5823982
"new.row.10030","10900",2009,5210993
"new.row.10031","10900",2010,5121734
"new.row.10032","10900",2011,5723879
"new.row.10033","10900",2012,6235021
"new.row.10034","10900",2013,6374102
"new.row.10035","12100",1969,110267
"new.row.10036","12100",1970,124531
"new.row.10037","12100",1971,137484
"new.row.10038","12100",1972,149583
"new.row.10039","12100",1973,164652
"new.row.10040","12100",1974,184689
"new.row.10041","12100",1975,198787
"new.row.10042","12100",1976,209899
"new.row.10043","12100",1977,230899
"new.row.10044","12100",1978,261706
"new.row.10045","12100",1979,295301
"new.row.10046","12100",1980,359556
"new.row.10047","12100",1981,440890
"new.row.10048","12100",1982,507743
"new.row.10049","12100",1983,536771
"new.row.10050","12100",1984,631121
"new.row.10051","12100",1985,672257
"new.row.10052","12100",1986,709421
"new.row.10053","12100",1987,747043
"new.row.10054","12100",1988,831898
"new.row.10055","12100",1989,963061
"new.row.10056","12100",1990,965068
"new.row.10057","12100",1991,929486
"new.row.10058","12100",1992,930494
"new.row.10059","12100",1993,928485
"new.row.10060","12100",1994,976340
"new.row.10061","12100",1995,1067374
"new.row.10062","12100",1996,1135318
"new.row.10063","12100",1997,1202137
"new.row.10064","12100",1998,1261007
"new.row.10065","12100",1999,1251798
"new.row.10066","12100",2000,1359246
"new.row.10067","12100",2001,1403824
"new.row.10068","12100",2002,1345445
"new.row.10069","12100",2003,1379575
"new.row.10070","12100",2004,1506902
"new.row.10071","12100",2005,1444066
"new.row.10072","12100",2006,1492726
"new.row.10073","12100",2007,1727302
"new.row.10074","12100",2008,1905044
"new.row.10075","12100",2009,1836504
"new.row.10076","12100",2010,1792814
"new.row.10077","12100",2011,1995588
"new.row.10078","12100",2012,2091610
"new.row.10079","12100",2013,2170411
"new.row.10080","35620",1969,14313116
"new.row.10081","35620",1970,15314248
"new.row.10082","35620",1971,16130130
"new.row.10083","35620",1972,16991276
"new.row.10084","35620",1973,18270247
"new.row.10085","35620",1974,20398374
"new.row.10086","35620",1975,21554301
"new.row.10087","35620",1976,22665801
"new.row.10088","35620",1977,24907966
"new.row.10089","35620",1978,27558364
"new.row.10090","35620",1979,30738432
"new.row.10091","35620",1980,36346902
"new.row.10092","35620",1981,44232706
"new.row.10093","35620",1982,49874868
"new.row.10094","35620",1983,53536154
"new.row.10095","35620",1984,62838850
"new.row.10096","35620",1985,66411323
"new.row.10097","35620",1986,68452860
"new.row.10098","35620",1987,70830908
"new.row.10099","35620",1988,79535181
"new.row.10100","35620",1989,90561473
"new.row.10101","35620",1990,94758877
"new.row.10102","35620",1991,93926436
"new.row.10103","35620",1992,93371502
"new.row.10104","35620",1993,93397700
"new.row.10105","35620",1994,97976397
"new.row.10106","35620",1995,107587137
"new.row.10107","35620",1996,113998196
"new.row.10108","35620",1997,121121803
"new.row.10109","35620",1998,127693362
"new.row.10110","35620",1999,128286452
"new.row.10111","35620",2000,139589577
"new.row.10112","35620",2001,135467626
"new.row.10113","35620",2002,127330151
"new.row.10114","35620",2003,130217189
"new.row.10115","35620",2004,138134921
"new.row.10116","35620",2005,160447933
"new.row.10117","35620",2006,183709850
"new.row.10118","35620",2007,209282966
"new.row.10119","35620",2008,205403076
"new.row.10120","35620",2009,179232289
"new.row.10121","35620",2010,177483190
"new.row.10122","35620",2011,198752925
"new.row.10123","35620",2012,221163084
"new.row.10124","35620",2013,225901339
"new.row.10125","36140",1969,51426
"new.row.10126","36140",1970,60259
"new.row.10127","36140",1971,67790
"new.row.10128","36140",1972,75508
"new.row.10129","36140",1973,87018
"new.row.10130","36140",1974,100940
"new.row.10131","36140",1975,113404
"new.row.10132","36140",1976,122809
"new.row.10133","36140",1977,138789
"new.row.10134","36140",1978,154437
"new.row.10135","36140",1979,171965
"new.row.10136","36140",1980,214897
"new.row.10137","36140",1981,260600
"new.row.10138","36140",1982,293216
"new.row.10139","36140",1983,312476
"new.row.10140","36140",1984,355873
"new.row.10141","36140",1985,387800
"new.row.10142","36140",1986,420138
"new.row.10143","36140",1987,441670
"new.row.10144","36140",1988,470737
"new.row.10145","36140",1989,533966
"new.row.10146","36140",1990,530406
"new.row.10147","36140",1991,517937
"new.row.10148","36140",1992,525087
"new.row.10149","36140",1993,539419
"new.row.10150","36140",1994,558158
"new.row.10151","36140",1995,615082
"new.row.10152","36140",1996,659659
"new.row.10153","36140",1997,713078
"new.row.10154","36140",1998,755922
"new.row.10155","36140",1999,757801
"new.row.10156","36140",2000,843581
"new.row.10157","36140",2001,865953
"new.row.10158","36140",2002,824005
"new.row.10159","36140",2003,835698
"new.row.10160","36140",2004,931603
"new.row.10161","36140",2005,911919
"new.row.10162","36140",2006,948482
"new.row.10163","36140",2007,1044381
"new.row.10164","36140",2008,1112156
"new.row.10165","36140",2009,1087941
"new.row.10166","36140",2010,1120435
"new.row.10167","36140",2011,1241699
"new.row.10168","36140",2012,1307866
"new.row.10169","36140",2013,1372120
"new.row.10170","45940",1969,212363
"new.row.10171","45940",1970,235649
"new.row.10172","45940",1971,257769
"new.row.10173","45940",1972,282466
"new.row.10174","45940",1973,305634
"new.row.10175","45940",1974,340327
"new.row.10176","45940",1975,359526
"new.row.10177","45940",1976,384150
"new.row.10178","45940",1977,425121
"new.row.10179","45940",1978,469582
"new.row.10180","45940",1979,527121
"new.row.10181","45940",1980,635035
"new.row.10182","45940",1981,796413
"new.row.10183","45940",1982,942803
"new.row.10184","45940",1983,982783
"new.row.10185","45940",1984,1132756
"new.row.10186","45940",1985,1214539
"new.row.10187","45940",1986,1272792
"new.row.10188","45940",1987,1359365
"new.row.10189","45940",1988,1545794
"new.row.10190","45940",1989,1904067
"new.row.10191","45940",1990,1928954
"new.row.10192","45940",1991,1929521
"new.row.10193","45940",1992,1924807
"new.row.10194","45940",1993,1898908
"new.row.10195","45940",1994,2018486
"new.row.10196","45940",1995,2234606
"new.row.10197","45940",1996,2344222
"new.row.10198","45940",1997,2461981
"new.row.10199","45940",1998,2681689
"new.row.10200","45940",1999,2683329
"new.row.10201","45940",2000,2969677
"new.row.10202","45940",2001,2956629
"new.row.10203","45940",2002,3027207
"new.row.10204","45940",2003,3113365
"new.row.10205","45940",2004,3088559
"new.row.10206","45940",2005,3188566
"new.row.10207","45940",2006,3648627
"new.row.10208","45940",2007,3789046
"new.row.10209","45940",2008,3832851
"new.row.10210","45940",2009,3442327
"new.row.10211","45940",2010,3311961
"new.row.10212","45940",2011,3703012
"new.row.10213","45940",2012,4119894
"new.row.10214","45940",2013,4206890
"new.row.10215","47220",1969,47249
"new.row.10216","47220",1970,53429
"new.row.10217","47220",1971,59156
"new.row.10218","47220",1972,65534
"new.row.10219","47220",1973,74712
"new.row.10220","47220",1974,85102
"new.row.10221","47220",1975,91329
"new.row.10222","47220",1976,97132
"new.row.10223","47220",1977,108119
"new.row.10224","47220",1978,116579
"new.row.10225","47220",1979,127233
"new.row.10226","47220",1980,155147
"new.row.10227","47220",1981,190867
"new.row.10228","47220",1982,219391
"new.row.10229","47220",1983,242844
"new.row.10230","47220",1984,269539
"new.row.10231","47220",1985,288082
"new.row.10232","47220",1986,307192
"new.row.10233","47220",1987,319569
"new.row.10234","47220",1988,342992
"new.row.10235","47220",1989,420621
"new.row.10236","47220",1990,432355
"new.row.10237","47220",1991,434457
"new.row.10238","47220",1992,427236
"new.row.10239","47220",1993,433550
"new.row.10240","47220",1994,434952
"new.row.10241","47220",1995,476609
"new.row.10242","47220",1996,493793
"new.row.10243","47220",1997,528648
"new.row.10244","47220",1998,547303
"new.row.10245","47220",1999,535078
"new.row.10246","47220",2000,557985
"new.row.10247","47220",2001,581726
"new.row.10248","47220",2002,596996
"new.row.10249","47220",2003,628236
"new.row.10250","47220",2004,619371
"new.row.10251","47220",2005,589812
"new.row.10252","47220",2006,593106
"new.row.10253","47220",2007,677167
"new.row.10254","47220",2008,741882
"new.row.10255","47220",2009,748754
"new.row.10256","47220",2010,756905
"new.row.10257","47220",2011,814915
"new.row.10258","47220",2012,836839
"new.row.10259","47220",2013,866052
"new.row.10260","10740",1969,190461
"new.row.10261","10740",1970,227304
"new.row.10262","10740",1971,261247
"new.row.10263","10740",1972,296670
"new.row.10264","10740",1973,331979
"new.row.10265","10740",1974,385800
"new.row.10266","10740",1975,433490
"new.row.10267","10740",1976,479036
"new.row.10268","10740",1977,533300
"new.row.10269","10740",1978,631124
"new.row.10270","10740",1979,719974
"new.row.10271","10740",1980,864639
"new.row.10272","10740",1981,1055877
"new.row.10273","10740",1982,1235552
"new.row.10274","10740",1983,1340676
"new.row.10275","10740",1984,1514339
"new.row.10276","10740",1985,1698061
"new.row.10277","10740",1986,1827681
"new.row.10278","10740",1987,1904518
"new.row.10279","10740",1988,1986968
"new.row.10280","10740",1989,2076397
"new.row.10281","10740",1990,2234556
"new.row.10282","10740",1991,2345531
"new.row.10283","10740",1992,2426801
"new.row.10284","10740",1993,2556417
"new.row.10285","10740",1994,2841342
"new.row.10286","10740",1995,3080016
"new.row.10287","10740",1996,3315345
"new.row.10288","10740",1997,3528183
"new.row.10289","10740",1998,3676590
"new.row.10290","10740",1999,3581172
"new.row.10291","10740",2000,3765817
"new.row.10292","10740",2001,3987783
"new.row.10293","10740",2002,3781889
"new.row.10294","10740",2003,3743658
"new.row.10295","10740",2004,3911180
"new.row.10296","10740",2005,4444673
"new.row.10297","10740",2006,4978158
"new.row.10298","10740",2007,5394387
"new.row.10299","10740",2008,5551928
"new.row.10300","10740",2009,4934040
"new.row.10301","10740",2010,4938762
"new.row.10302","10740",2011,5521529
"new.row.10303","10740",2012,5995079
"new.row.10304","10740",2013,6131822
"new.row.10305","22140",1969,13644
"new.row.10306","22140",1970,15961
"new.row.10307","22140",1971,18471
"new.row.10308","22140",1972,21320
"new.row.10309","22140",1973,24307
"new.row.10310","22140",1974,29341
"new.row.10311","22140",1975,36142
"new.row.10312","22140",1976,41421
"new.row.10313","22140",1977,48595
"new.row.10314","22140",1978,56907
"new.row.10315","22140",1979,65552
"new.row.10316","22140",1980,80615
"new.row.10317","22140",1981,103544
"new.row.10318","22140",1982,125536
"new.row.10319","22140",1983,132772
"new.row.10320","22140",1984,144639
"new.row.10321","22140",1985,158251
"new.row.10322","22140",1986,163115
"new.row.10323","22140",1987,159447
"new.row.10324","22140",1988,161128
"new.row.10325","22140",1989,175382
"new.row.10326","22140",1990,179255
"new.row.10327","22140",1991,197105
"new.row.10328","22140",1992,201515
"new.row.10329","22140",1993,214117
"new.row.10330","22140",1994,232387
"new.row.10331","22140",1995,252580
"new.row.10332","22140",1996,272125
"new.row.10333","22140",1997,294510
"new.row.10334","22140",1998,304315
"new.row.10335","22140",1999,291959
"new.row.10336","22140",2000,291568
"new.row.10337","22140",2001,330294
"new.row.10338","22140",2002,321953
"new.row.10339","22140",2003,332731
"new.row.10340","22140",2004,355777
"new.row.10341","22140",2005,425414
"new.row.10342","22140",2006,455889
"new.row.10343","22140",2007,510686
"new.row.10344","22140",2008,530110
"new.row.10345","22140",2009,487180
"new.row.10346","22140",2010,489461
"new.row.10347","22140",2011,521632
"new.row.10348","22140",2012,580689
"new.row.10349","22140",2013,591145
"new.row.10350","29740",1969,27522
"new.row.10351","29740",1970,31840
"new.row.10352","29740",1971,37144
"new.row.10353","29740",1972,41273
"new.row.10354","29740",1973,46731
"new.row.10355","29740",1974,54815
"new.row.10356","29740",1975,63917
"new.row.10357","29740",1976,70124
"new.row.10358","29740",1977,78950
"new.row.10359","29740",1978,94486
"new.row.10360","29740",1979,109462
"new.row.10361","29740",1980,132318
"new.row.10362","29740",1981,161509
"new.row.10363","29740",1982,190875
"new.row.10364","29740",1983,211346
"new.row.10365","29740",1984,238591
"new.row.10366","29740",1985,268299
"new.row.10367","29740",1986,289310
"new.row.10368","29740",1987,309730
"new.row.10369","29740",1988,324633
"new.row.10370","29740",1989,367233
"new.row.10371","29740",1990,375438
"new.row.10372","29740",1991,395664
"new.row.10373","29740",1992,414500
"new.row.10374","29740",1993,444279
"new.row.10375","29740",1994,474460
"new.row.10376","29740",1995,516909
"new.row.10377","29740",1996,557407
"new.row.10378","29740",1997,581093
"new.row.10379","29740",1998,611891
"new.row.10380","29740",1999,590351
"new.row.10381","29740",2000,604893
"new.row.10382","29740",2001,679027
"new.row.10383","29740",2002,637033
"new.row.10384","29740",2003,629327
"new.row.10385","29740",2004,673301
"new.row.10386","29740",2005,774745
"new.row.10387","29740",2006,831040
"new.row.10388","29740",2007,949451
"new.row.10389","29740",2008,963810
"new.row.10390","29740",2009,918238
"new.row.10391","29740",2010,927339
"new.row.10392","29740",2011,1030883
"new.row.10393","29740",2012,1144452
"new.row.10394","29740",2013,1168894
"new.row.10395","42140",1969,36144
"new.row.10396","42140",1970,40660
"new.row.10397","42140",1971,45589
"new.row.10398","42140",1972,51316
"new.row.10399","42140",1973,57222
"new.row.10400","42140",1974,66800
"new.row.10401","42140",1975,71121
"new.row.10402","42140",1976,80382
"new.row.10403","42140",1977,91150
"new.row.10404","42140",1978,109950
"new.row.10405","42140",1979,130237
"new.row.10406","42140",1980,155650
"new.row.10407","42140",1981,201840
"new.row.10408","42140",1982,246898
"new.row.10409","42140",1983,259625
"new.row.10410","42140",1984,291703
"new.row.10411","42140",1985,331461
"new.row.10412","42140",1986,356382
"new.row.10413","42140",1987,372268
"new.row.10414","42140",1988,414929
"new.row.10415","42140",1989,455122
"new.row.10416","42140",1990,556264
"new.row.10417","42140",1991,557784
"new.row.10418","42140",1992,593825
"new.row.10419","42140",1993,655265
"new.row.10420","42140",1994,712315
"new.row.10421","42140",1995,815781
"new.row.10422","42140",1996,901429
"new.row.10423","42140",1997,941361
"new.row.10424","42140",1998,1029805
"new.row.10425","42140",1999,1043230
"new.row.10426","42140",2000,1173979
"new.row.10427","42140",2001,1162494
"new.row.10428","42140",2002,1068040
"new.row.10429","42140",2003,1079056
"new.row.10430","42140",2004,1213125
"new.row.10431","42140",2005,1408897
"new.row.10432","42140",2006,1589615
"new.row.10433","42140",2007,1732886
"new.row.10434","42140",2008,1728794
"new.row.10435","42140",2009,1583074
"new.row.10436","42140",2010,1466440
"new.row.10437","42140",2011,1613543
"new.row.10438","42140",2012,1793388
"new.row.10439","42140",2013,1809837
"new.row.10440","10580",1969,441102
"new.row.10441","10580",1970,483234
"new.row.10442","10580",1971,521383
"new.row.10443","10580",1972,559105
"new.row.10444","10580",1973,610816
"new.row.10445","10580",1974,691145
"new.row.10446","10580",1975,755920
"new.row.10447","10580",1976,794973
"new.row.10448","10580",1977,879529
"new.row.10449","10580",1978,949275
"new.row.10450","10580",1979,1080993
"new.row.10451","10580",1980,1308284
"new.row.10452","10580",1981,1589646
"new.row.10453","10580",1982,1839311
"new.row.10454","10580",1983,2002853
"new.row.10455","10580",1984,2279925
"new.row.10456","10580",1985,2387557
"new.row.10457","10580",1986,2534624
"new.row.10458","10580",1987,2637951
"new.row.10459","10580",1988,2835780
"new.row.10460","10580",1989,3387161
"new.row.10461","10580",1990,3301039
"new.row.10462","10580",1991,3395018
"new.row.10463","10580",1992,3399668
"new.row.10464","10580",1993,3436903
"new.row.10465","10580",1994,3641124
"new.row.10466","10580",1995,3920892
"new.row.10467","10580",1996,4040246
"new.row.10468","10580",1997,4349753
"new.row.10469","10580",1998,4524610
"new.row.10470","10580",1999,4445008
"new.row.10471","10580",2000,4729097
"new.row.10472","10580",2001,4832406
"new.row.10473","10580",2002,4227801
"new.row.10474","10580",2003,4586759
"new.row.10475","10580",2004,5143177
"new.row.10476","10580",2005,5841317
"new.row.10477","10580",2006,6371399
"new.row.10478","10580",2007,7136441
"new.row.10479","10580",2008,7421854
"new.row.10480","10580",2009,6473612
"new.row.10481","10580",2010,7072581
"new.row.10482","10580",2011,7312410
"new.row.10483","10580",2012,8166770
"new.row.10484","10580",2013,8354060
"new.row.10485","13780",1969,124619
"new.row.10486","13780",1970,136228
"new.row.10487","13780",1971,146763
"new.row.10488","13780",1972,158225
"new.row.10489","13780",1973,173999
"new.row.10490","13780",1974,195569
"new.row.10491","13780",1975,214674
"new.row.10492","13780",1976,228263
"new.row.10493","13780",1977,253532
"new.row.10494","13780",1978,270918
"new.row.10495","13780",1979,307427
"new.row.10496","13780",1980,364795
"new.row.10497","13780",1981,447165
"new.row.10498","13780",1982,519739
"new.row.10499","13780",1983,571814
"new.row.10500","13780",1984,662312
"new.row.10501","13780",1985,678494
"new.row.10502","13780",1986,718519
"new.row.10503","13780",1987,732130
"new.row.10504","13780",1988,774619
"new.row.10505","13780",1989,901554
"new.row.10506","13780",1990,900683
"new.row.10507","13780",1991,922385
"new.row.10508","13780",1992,923325
"new.row.10509","13780",1993,871154
"new.row.10510","13780",1994,888775
"new.row.10511","13780",1995,949494
"new.row.10512","13780",1996,979050
"new.row.10513","13780",1997,1062472
"new.row.10514","13780",1998,1070075
"new.row.10515","13780",1999,1068242
"new.row.10516","13780",2000,1130441
"new.row.10517","13780",2001,1141391
"new.row.10518","13780",2002,1081356
"new.row.10519","13780",2003,1093534
"new.row.10520","13780",2004,1236614
"new.row.10521","13780",2005,1171918
"new.row.10522","13780",2006,1281193
"new.row.10523","13780",2007,1529752
"new.row.10524","13780",2008,1658929
"new.row.10525","13780",2009,1535293
"new.row.10526","13780",2010,1525145
"new.row.10527","13780",2011,1654109
"new.row.10528","13780",2012,1895902
"new.row.10529","13780",2013,1931682
"new.row.10530","15380",1969,737764
"new.row.10531","15380",1970,781476
"new.row.10532","15380",1971,816504
"new.row.10533","15380",1972,851468
"new.row.10534","15380",1973,925583
"new.row.10535","15380",1974,1045772
"new.row.10536","15380",1975,1141910
"new.row.10537","15380",1976,1200133
"new.row.10538","15380",1977,1325814
"new.row.10539","15380",1978,1434858
"new.row.10540","15380",1979,1617937
"new.row.10541","15380",1980,1931755
"new.row.10542","15380",1981,2311749
"new.row.10543","15380",1982,2639099
"new.row.10544","15380",1983,2829555
"new.row.10545","15380",1984,3208579
"new.row.10546","15380",1985,3340266
"new.row.10547","15380",1986,3436513
"new.row.10548","15380",1987,3475716
"new.row.10549","15380",1988,3602274
"new.row.10550","15380",1989,3989440
"new.row.10551","15380",1990,4111406
"new.row.10552","15380",1991,4110885
"new.row.10553","15380",1992,4024560
"new.row.10554","15380",1993,4046123
"new.row.10555","15380",1994,4176872
"new.row.10556","15380",1995,4606876
"new.row.10557","15380",1996,4743225
"new.row.10558","15380",1997,5080350
"new.row.10559","15380",1998,5212091
"new.row.10560","15380",1999,5103503
"new.row.10561","15380",2000,5438610
"new.row.10562","15380",2001,5665312
"new.row.10563","15380",2002,5306093
"new.row.10564","15380",2003,5653999
"new.row.10565","15380",2004,5693979
"new.row.10566","15380",2005,6013251
"new.row.10567","15380",2006,6385512
"new.row.10568","15380",2007,7389101
"new.row.10569","15380",2008,7637346
"new.row.10570","15380",2009,6907875
"new.row.10571","15380",2010,6983444
"new.row.10572","15380",2011,7833231
"new.row.10573","15380",2012,9050737
"new.row.10574","15380",2013,9272428
"new.row.10575","21300",1969,49687
"new.row.10576","21300",1970,52371
"new.row.10577","21300",1971,54558
"new.row.10578","21300",1972,58969
"new.row.10579","21300",1973,64549
"new.row.10580","21300",1974,73776
"new.row.10581","21300",1975,79552
"new.row.10582","21300",1976,84171
"new.row.10583","21300",1977,92744
"new.row.10584","21300",1978,97759
"new.row.10585","21300",1979,106969
"new.row.10586","21300",1980,128161
"new.row.10587","21300",1981,155530
"new.row.10588","21300",1982,181377
"new.row.10589","21300",1983,190186
"new.row.10590","21300",1984,210034
"new.row.10591","21300",1985,217285
"new.row.10592","21300",1986,228972
"new.row.10593","21300",1987,234045
"new.row.10594","21300",1988,243240
"new.row.10595","21300",1989,290029
"new.row.10596","21300",1990,284283
"new.row.10597","21300",1991,292835
"new.row.10598","21300",1992,289696
